0: 489,1299,1123,698
1: 687,155
2: 498,316
3: 1249,962,630
4: 1217,19,158,1219,1103
5: 815,741,1174,433
6: 
7: 554,720,827,161
8: 1755,58,1256,672
9: 479,609,769,1363,1644
10: 812,11,857,177
11: 812,10,1169
12: 1440,1714,150
13: 
14: 1678,1350,1590
15: 270,1246,1522,716
16: 1614,249,1099,1094,449
17: 711,1183,1574
18: 1508,1721
19: 406,1217,4,86,158
20: 646,483,1411,1791
21: 1553,705
22: 1202,662
23: 417
24: 816,1784,532
25: 
26: 833,1015,1365
27: 965,589,1121
28: 456,830,1302,1603
29: 272,767,1536,120
30: 317,1744,116
31: 1432
32: 1510,68,1790
33: 767,399
34: 1264,118,102,856,724
35: 1539,1345,487
36: 371,648,267,603,1615,156
37: 405
38: 386,1504,1566,323
39: 688,294
40: 1750
41: 
42: 1487
43: 550,317,680
44: 754,864,966
45: 225,167,906,997,1241
46: 1500
47: 470,172,1205,1477
48: 1416,221
49: 719,924,299
50: 
51: 1699,1761,593,1503
52: 1279,493,601
53: 1744,1197,622,806,1405
54: 808,1159,1273
55: 1150,944,1478,1521
56: 1043,962,582,692
57: 1349,500,367
58: 8,1358,1755,1071,1568,401
59: 437
60: 1561
61: 1752,226,175
62: 216,1399
63: 103,949,115,621,458
64: 959,1285,1211,1021,372
65: 1270,1105
66: 1048,1428
67: 1530,1033,591
68: 1162,1510,674,1790,32
69: 
70: 838,1380,628,744,1340
71: 1223,1465,1473
72: 320,1796
73: 665,1423,420,1145
74: 1192
75: 1636,647,409,1133,327
76: 385,439
77: 1029,1210
78: 988,517
79: 721
80: 1259,655,951,1714,1227
81: 1491
82: 1231,1422,1631
83: 1473,1668,1138,1773,819
84: 1142,798
85: 1621,1313,1416,1183
86: 1169,1298,406,19
87: 1598,1738
88: 1240,1481,807,852,156
89: 342,1347
90: 1595,1272,1786,324,533
91: 866,1660,336
92: 1328,880,436,1635,819
93: 176,757,806,253
94: 101,1432,417
95: 1412,445
96: 1580
97: 1505,1585,1151,223
98: 528,727
99: 439,1607,1628,916,1565
100: 891,1267
101: 94,698,1681,1523
102: 856,1625,467,1264,34
103: 949,63,115
104: 
105: 1562
106: 925,353,186,1449
107: 936,907
108: 1781,1096,957,822
109: 1518,417
110: 1039,418,690
111: 1563,967
112: 1498,678
113: 477,811,638,671,765
114: 707,250,723
115: 1511,103,63,621
116: 1405,1077,30
117: 1479,1069,692,644
118: 34,1379,560,373
119: 685,617
120: 272,29
121: 
122: 1209,706
123: 1158,239,1162,674,1132
124: 738,960,1094,734
125: 369,395,1373
126: 470,1442,867
127: 1522,1411,1791
128: 234
129: 1659,745
130: 131,835,281
131: 130,702,999
132: 823,245
133: 1327,218,483,302,1257,696
134: 356,1247,1746,1371
135: 1125
136: 982,1653,241
137: 1393,1618
138: 959,1285,176,757,181,147
139: 543,154,1024
140: 1657,389,1082
141: 1160,531,544
142: 1276,1161,657,199
143: 710,1275,1280
144: 1521,1060,1109,1067
145: 985,1603,308,1745
146: 858,1157,1243,1413
147: 1552,959,138,372
148: 637
149: 1388,970,378
150: 12,1489,1633,740
151: 457,803,1091
152: 982,1200,1193
153: 909,1178,1786
154: 139,543,862,501,1024
155: 924,1
156: 1615,182,36,88,807
157: 1623,895
158: 814,19,4
159: 469,1092,1440,999
160: 1499
161: 1572,1382,720,7
162: 1359,910,1031,1626,1619
163: 
164: 476,917
165: 280,1300,780,507,173,1789
166: 246,1567
167: 225,906,45,1594
168: 779
169: 
170: 
171: 1420,785,742,1263
172: 597,1597,1205,470,47
173: 507,165,1789
174: 1587
175: 1208,663,588,1752,61
176: 757,93,138,717,181
177: 1045,693,10,508,1169
178: 1406,1245
179: 1666,677,824,1292
180: 333,1002,878
181: 717,176,138
182: 1615,156,807,511
183: 1472,387,385,1783,641
184: 1332,1459,909,1677
185: 
186: 925,106,525
187: 357,1066
188: 980,1272,362,1163
189: 506
190: 
191: 1235,463
192: 613,845,520
193: 1245
194: 
195: 938,1548,1023,947
196: 1050,742,1263
197: 1391,1630,1346,606
198: 1387
199: 1511,1409,1161,142
200: 922,883
201: 1038,497,841,722,992,1610
202: 629,1155,1695
203: 568,1339,1215,829
204: 1263,1378,1790,384
205: 1620,766,913
206: 1140,1039
207: 412,661,494,505,1774
208: 916,551,1051,1628
209: 368,1581,1237
210: 1616,870,380
211: 1049,722,841
212: 1580,1794,1785
213: 1632,614,1058,1557
214: 1535,1617
215: 1497
216: 1382,1399,62
217: 400,577,309,310
218: 133,1327,650,729,1257
219: 407,1654,478,377
220: 494,1786,770
221: 1443,653,48
222: 935
223: 291,1505,97,1706
224: 
225: 167,45,1594,1241
226: 1218,61
227: 1554,654,1357,1284
228: 1429,637,578,1356
229: 1074
230: 1791,302
231: 520,1613
232: 1316,1365,667
233: 
234: 128,1084,1212
235: 
236: 1375,643,1464,772
237: 954,894,1119,1008
238: 594,792
239: 123,1158,674
240: 328,576,1582
241: 662,1433,136,810,1653
242: 345,1307,731
243: 
244: 646,483,1327
245: 1601,918,132
246: 166,1567,1441
247: 374,1356,1429,1150
248: 
249: 16,1614,933,1099,1236
250: 723,1434,114,1735
251: 978
252: 1192
253: 1407,93
254: 717,1744,680
255: 772,1332,290,1178
256: 
257: 1171,1239,450,1038,497,1592
258: 1476,1625
259: 1590,730,893
260: 1391,300
261: 898,978,1311
1765: 565,704,1394
1792: 1550,816
264: 382,301,423,313
265: 1368,631,1058
266: 1104,1665,331
267: 1186,648,36,603,641
268: 1681
269: 632,986,1132
270: 1246,15,583,659,1522
271: 540
272: 656,767,29,120
273: 
274: 1323,1255,538,975
275: 973,335,589
276: 1112,669,1729
277: 659,1411,646
278: 670
279: 1008,597,1597
280: 165,1789
281: 130,835
282: 1004,1274,1532
283: 1398,1782,1287
284: 901
285: 712,950,1679
286: 1357,1661,1284,524,1299
287: 1200,1193,1627,1686
288: 1384,1372
289: 1407,1085,1348,1669
290: 1375,255
291: 223,1189,1151
292: 1053,440,1527
293: 460,555,857
294: 1342,39,688
295: 461,1454
296: 504
297: 1622,499
298: 1676,896,1402
299: 545,49
300: 260,415
301: 264,313
