241: 3331,770,3553,4093,435
242: 336,3806,1431
243: 2558,2601,64,4598,4083,487
244: 752,4665,1604,2672
245: 3511,287,2594,2916,2756
246: 517,481,278,1247,4270
247: 4618,3601,3733
4698: 3139,3830,2443,4218,3844,3981
249: 
250: 1807,3652,3831
251: 2848,4012,3440,4790,2944,59
252: 2650,4646,624,1991
253: 664
254: 3167,4146,3447
255: 372,547,2839,213,4409
256: 3597
257: 4386,4746,1829,2980
258: 2709,4407,1757,3716,1941
259: 782
4693: 1448,127,3476,3252,2820
261: 4152,4264,3166,240
262: 3683,1626,445
263: 1386,3760,3200
264: 1252,4029,4539
265: 3787,3917,1423
266: 
267: 2527,3946
268: 3264,2547,3859,2647,2233
269: 143,3365,4758,521,2203,513
270: 1266,2024,2100,4218,3981,911,429
271: 1968,4091,648,4634,4142
272: 3477,907,1498
273: 2534
274: 3422,899,2262,4480
275: 4232
276: 4443,1096
277: 3381,3454,2772,552,4786
278: 4577,2455,1247,3771,1419,246,481
279: 1089,2432,954,1157
280: 1728,3871,4483,4653
281: 46,1244,2058,721,4715
282: 2794,723,1227,904,4725
283: 4060,330
284: 3132,4646,624,75
285: 2816,1939,1672,4009,3883,4801
286: 4297,2337,3579,1697,4785,597
287: 245,3511,4137
288: 
289: 1641,1450,364,917,2293
290: 3470,2280,3786,652
291: 2538
292: 2961,358,1106,1316
293: 
294: 451,832,1380,3640,2266,4399
295: 105,2519,963
296: 2268,4466
297: 936,2344,3750,2885
298: 1895,3637,2803
299: 2014,3929
300: 1228,2970,1711,3854
301: 2900,1594,4309,1407,3303,1540
302: 4262,3424,2675,1121,439
303: 2351,3919,4758,3665
304: 1067,1562,3723,4686
305: 4207,3097,141,2451
306: 3373,3507,2202
307: 1896,3218,544,2342
4752: 4528,1514,3146,3564,2788
309: 2513,458,3984
310: 4778,2793,1777,1987,4776,4043
311: 854,4820,2284,3713
312: 379,3628
313: 1204,1797
314: 3160,3247,406,3020
315: 3788,4088,2319,1170
316: 3604,1083,3508,4663
317: 3559,4140,3176,2872,1471
318: 2397,2684
319: 726,2559,708
320: 4594,970
321: 1609,4428,2033,3048
322: 140,1356
323: 1467,3848,507
324: 1156,3265
325: 2142,1551,3632,1,1798,1930
326: 3564,4528
327: 3255
328: 2099,3624,2423,1910,4811
329: 1105,3387
330: 283,4060,2491
331: 3326,3419,2111,3558,2557,1973
332: 3793,91,2168,2990,1180,3227
333: 2754,1443,1954,802
334: 32,1068,4428,4296,4563
335: 947,2901,4546,3918,3305
336: 2430,242,1859
337: 3099,809,2532,3472,202
338: 4633
339: 2334,3554,3517,4443,985
340: 2193,993,3044
341: 1456,3457,3221
4580: 4276,1458,4369,489,3842
343: 46,129,1244
344: 2934,4228,4102,4678,3697,4005
345: 4617,1382,3163,1882
346: 4134,2533,606
347: 1729,2152,831
348: 1808,4624
349: 4042,453,4685
350: 1263,1242,2107,4482
351: 1439
352: 4789,567,2296,1680,1592
353: 4666
4766: 4231,4788,3565
355: 1468,4775,1586
356: 388,226,4415
357: 1494,4274,3476,2820,2758,2052,1284
358: 292,3284,1316,3252
359: 833,1576,3435,807
4648: 4148
361: 1061,2363
362: 2718
4740: 4015,1086,1112
364: 4242,917,2293,633,123,289
365: 4536,826,2898,3685,1752,2730
366: 1336,4180,2269,3649
367: 1105
368: 3934,3861,133,4241,1719
369: 3724,2921,572
370: 1915,3147,744,1470
371: 2123,495,998
372: 255,213,4185
373: 2599,4377,2068,1788
374: 4461,1667,2516,4053
375: 876,2325,3326,2652,3846
376: 4748,2796
377: 
378: 1996,4290
379: 312,4249,4265
380: 1106,3476,1316,1783,1494
381: 
4659: 3065,3068,887,3855
383: 1872,3731
384: 2605,1682,4496,2149
385: 143,3665,3608
386: 3104
387: 707,3608,788
388: 356,2905,226
389: 238,4401,674,2177,507
390: 2641,2860,4557
391: 847,1924,2940
392: 1618,3307,4711,3651,1653
393: 1675,4157,3442,1365
394: 3662,1447
395: 2084,4250
396: 2139,982,120
397: 4245,2343
398: 4550,146,4814,4260
4592: 4753
400: 3949,2221,2285
401: 3672,4053,3090,2112,592
402: 1194,1341,4769,2794,723,1174
403: 2776,2947,3980,2346,2893
404: 421,4339,2483,3715,752
405: 852,694
406: 3160,3247,314,1916
407: 3815,4754,3700,1276,4553
408: 4719,2547
409: 
410: 3761,1975,620,1961,2099
411: 893,2726,1141,1488
412: 1809,1959,4131
413: 467,2777,1701
414: 4226,2249,189,2129,108
415: 1705,2822,4253,2649
416: 4195,2463,1385
417: 2857,1091,2758,4451
418: 
419: 2125,4036,4680
420: 4422,4275,3388
421: 493,404,4712,4705,2483
422: 3047,4663
423: 881,4612,3783
424: 846,2493,877,1016,55
425: 836,2405
426: 1607,3316,2999,2218,4172,2785
427: 3322,4651,1613,3950,548,4119
428: 4214,1189,3125,1424
429: 3577,1517,4526,911,1266,270
430: 512,146
431: 3514,3874,2701
432: 1120,3353,2773,175,4492,942
433: 2339,41,1563
434: 1994,1024,772,815,873
435: 4257,2410,241,541,1835
436: 4076,4078
437: 2841,1339,2433
438: 2277,2629,1849,1558
439: 1121,4346,3932,2675,302
440: 2663
441: 4197,4474,1529,2274,1590
442: 2026
443: 4200,2278
444: 3384,4362,1330,4735,531
445: 3683,262,1903
4621: 1362,1169,2077,4210,4476
447: 2436,3165,2950,88,3627
448: 3148,3892,764
449: 2023,4033,2617,3291,3288
450: 972,1276,1226,1411
451: 294,2140,832,2266,3766,1058
452: 4202,1776
453: 349,4685
454: 3295
455: 111,2734,3068,3154
456: 2327,3775,2456,38,4625,3873
4691: 4048,198,1448,1957,3499
458: 3799,4311,309
459: 2493,4457,4486,1927
460: 1835,3905,2752,4445,2422
461: 2015,4406,1319,4178,1993
462: 
463: 3330,967
464: 37,1773,755
465: 2937,1800
4688: 3569,578,3368,3229,2617
467: 2777,413
4748: 2796,1053,1674,376
469: 2071,3199,2886,182,893
470: 2806,4133
471: 2222,2694,3548
472: 2268
473: 3314,155,4381
474: 1012,2424,2864,2044,2767,2750
475: 3164,1289,3755,4252
476: 1587,23,3039
4810: 4445,1401,3321,3519,1101,492
478: 2318,1051,3800,2969,1516
479: 2258,1005,82,1162
480: 827,3931,4099,897
481: 246,517,278,1419
4755: 2083,3309,1564
483: 3961,119,2227
484: 3722,1493,144,1413
485: 194,638
486: 3710,569,2637,3957,4809
487: 4083,3475,243,2189
488: 4260,3309,4227
489: 4580,1458,4626,3471,3153
490: 3753,1698,3892
491: 3436,1479,956,1183,2572,1969,4003
492: 4641,1101,4810,1401,3567
493: 421,4712,167
494: 4571,3897,4239
495: 998,371
496: 1383,724
497: 2829,4759,4326,2930
498: 2250,2053,1011,4584
499: 1425,1793
500: 1877,1954,1723
501: 2910,4132,2904,1173
502: 2658,2576,2662
503: 2484,2373,3670,1215,3158
504: 2496,3035,3780,1965,838
505: 3043
506: 1638,1721,2301,732,2823
507: 3848,2177,323,389
508: 2099,3624,35,4606
509: 1434,1409,1190
4663: 3508,1970,3047,422,316
511: 4005,2127,3786
512: 430,3961,819
513: 2203,4064,3232,4201,521,269
514: 3182,2782,4319,4014
515: 2796,1308,1717,1006
516: 4546,4347,2666,3305
517: 246,481,2918,1256,4222,4409
518: 3948,3908,2207,2167
519: 2147,2619,2308,3057,1778
520: 114
521: 4201,2031,3365,269,513
522: 1796,2583,1222,985
523: 4806
524: 
525: 2025,4436
526: 3459,1156,1353
527: 1684,2256,2813,3479
528: 1295,3233,2888
529: 3006,2895,3801,128,957,3182
530: 673,2677,2401,1393
531: 1592,4735,444,4362
532: 1547,4557,3601,2641
533: 2446,3340,3226,4052
4800: 3858,2626
535: 4575,1549,657
536: 1103,3959,3271,2885,2102
537: 
538: 715,2073,596,2385
539: 4167
540: 3542,3306,794,3408
541: 14,1854,4697,435,1835
542: 3664,51,4527,1454
543: 23,601
544: 71,307,2342
545: 4216,1294
546: 2345,2323,1472
547: 255,2608,4409
548: 4119,3243,427,3654,3950,2840
549: 2326,3983,4101,2150,3037
550: 701,2416,3283
551: 2544,1469,2859,182,2826
552: 2158,4786,277
4602: 1926,4412,898,3826
554: 
555: 4390,3069,190,1195,1520,1573,590
4636: 751,25,1223,2373,2764
557: 833,1286,118,3183
558: 834,1185,4759
559: 3343,4088
560: 2234,3626,669,2065
561: 1018,4588,4095,1212,4634,1968,1377
562: 1560,4662,2602,4784
563: 885
564: 4322,1431
4814: 3309,3736,398,1350,4260
566: 
567: 4789,4513,352,3247,3020
568: 1223,2484,2373,3105,3838,712,695
569: 3710,486,1642
570: 1711,1806,3190,3108,2970
571: 145
572: 1013,31,4107,1634,369
573: 900,2581,2129,189
574: 2144,3274
575: 1251,3633,3969,2184
576: 4044,3253,3646,4647,1712
577: 3561,1825,2720,2515,829
578: 3569,4688,4033,2384
4641: 1101,492,84,3567,4818
580: 3640,865,2266,1762,4135,677,4627
581: 1713,2952,1412,816
582: 
583: 1211,3524,1381,40
584: 1597,1948
585: 2163
4823: 3881,2044,1880,3659,1918,3394
587: 2896,1599
588: 2313,153,1084
589: 836,2405,999
590: 1573,4235,4390,555,1120,4490
591: 1164,3302,1500
592: 401,3090,4113
593: 1888,183,4316,4734,3505
594: 4310,3254,4236,2852
595: 
596: 1963,3235,2073,538,2385
597: 1678,2673,1697,2732,286,2337
598: 1095,210,1440,1567,1397
599: 2720,234,1203,3180,1390,3906
600: 1060,3988,3580,1550,615
601: 543,23
602: 1445,2034,2336,2010,3417,2147
603: 2579,2780,1814,1078
604: 4058,3222,1870
605: 2764,3596,81,1108
606: 3849,1655,346,2533
607: 2522,2453,4791,2278
608: 630
609: 1804
610: 1712,2028,2695,4055
611: 2487,4404
612: 1758
613: 
614: 920,925
615: 1871,600,2061,4578,1550
4767: 4367,3034,1173
617: 1804,946
618: 3065,3299,1307,1632
619: 1776
620: 3702,1582,410,3761
621: 2158,2063,1408
622: 3718,2657,3546,4079,3024,3779
623: 2300,2837
624: 3132,284,4646,252
625: 148,1703,1898,2870
626: 
627: 3937,1549,2406,3248
628: 3776,4762,3972,4585
629: 
630: 3765,608
631: 1623,2973
632: 3910,4147,217,2126,989
633: 900,123,2048,2178,4242,364
634: 910,4346,801
635: 4344,3745,3641,2387
636: 831,3442,3773,2152,728
637: 1508,3257
638: 1666,194,485
4806: 523,2833,3817
640: 4159,2119,4725,723,1174,3484,791
641: 4435
642: 741,4366
643: 3618,3940,822,1655,4096
644: 3303,4225,2719,3725,1407,756
645: 2705,3654,3950,3814
646: 3006,2895,1805,3074,2744,3458
647: 913,818,1904,3366,3768,3231
648: 1114,1668,3404,4142,4091,271
4660: 927,3777,1029,2655
650: 1439
651: 4082,771,39
652: 1879,290,3470,877,2280
653: 2773,175,1633,1261,4028,1850
654: 4211,4700,2520,839,2488
655: 1981,1168,4170
656: 2462,2518,1756,2517,4256
657: 4059,2473,535
658: 1176,2024,2100,2104,733
659: 
660: 1362,739,4095,2002,3980
661: 
662: 
663: 679,2478,214
664: 1490,253
665: 2911,66,1775
666: 3197
667: 4442
668: 3395,3283,1245,701
669: 560,3626,2065
670: 2572,1748,1022,956,2926
671: 767,2831,2881
672: 2585,4466,3226
673: 2677,530,1999,1008,2889,853
674: 389,4401,4762,2177,3872,3808
675: 1050,2217,2195
676: 855,4340
677: 904,4627,2266,580,1058
678: 1295,4640,3178,4637
679: 663,3974,3888,4540,214
680: 4069,2381,2929
681: 3646,4647,4574,4235,688,3976
682: 4411
683: 3792
684: 1590,886,2366
685: 1541,4670,4282,4615,2871
686: 2461,2777,1601
687: 2706,4289,4560,3653
688: 3976,681,3646,849,1736
4675: 1646,12,943,2174,4234
690: 1160
691: 2710
692: 2456,931,4709,3975,3138
693: 1483
694: 405
695: 3877,711,1223,568
696: 
697: 1516,1651,3617
698: 3364,3907,4236,834
699: 2968,1869,4078,705,2858,922
700: 2956
701: 550,1245,668,3283
702: 2455,4544,1118,4558
703: 4113,4404,1361,2890
704: 2552,921,2536,857,20,3153
705: 1327,699,4078,2669
706: 4797,2043,1729
707: 387,2914,2598,788,3960
708: 2559,319,4576,3657
709: 3824,2531,2936
710: 4668,227,1661,3088,214
711: 695,3877,3596,839
712: 2062,4343,3838,568,3105
4629: 3787,1243,894,2680
714: 3204,4773,1874,2439,3650
715: 538,2385,1749,3481
716: 
717: 3599,3456,2365,4349
718: 4186,4059,1050
719: 161,15,45,912,3174,3879
720: 2399,1056,2364,2574
721: 3662,4715,281,1244,2058
722: 2248
723: 282,2794,402,1174,640,4725
724: 496,1525,932
725: 2559,1414,4596
726: 319,878,1113
727: 4640,3173,4471,775,3284,3178
728: 3576,636,3442
729: 2670,2607,4573,110,2560
730: 1647,1348,1742,3011,1051
731: 
732: 2301,2568,1079,506,1114,2823
733: 2523,2104,2100,658,188
734: 3670,2864,3911,3644,3158
735: 
736: 3711,3360
737: 3515,2551,1096,3554
738: 49,1228,2760
739: 1362,660,1018,4095,2077
740: 4487,1531
741: 642,4366
742: 1998,2241,3366,1196,227
4706: 
744: 3229,2617,1470,1155,3291,370,3147
745: 4487,3900,1237
746: 1519,4014,3744
747: 1957,2442,2553,2070,3349,198
748: 1692,4417,4385
749: 3574,3429
4598: 4094,64,243,2161
751: 4636,25,859,4727,1201
752: 244,4665,1604,3102,4339,404
753: 3196,3597
754: 3847
755: 1773,1043,464
756: 3799,3725,3692,4225,644
757: 3562,4277,1094,1787,2618
758: 
4627: 904,677,3559,1227,580
4702: 889,1170,1510,929,1437
4603: 1312,4278,1164,3302
762: 2948,3313,1891,4737,4652
763: 4630,1726
764: 1695,3753,448,1971
765: 3804,1536,3717,792,827
766: 2245,4542,4655,2990,3227,3755
767: 1449,671,2191
768: 2956
769: 973,3486,2430,4746
770: 3331,241,3812,3553,4085
771: 651,2184
772: 3586,1548,815,434
773: 1691
774: 3615,3814,2705,1791
775: 1175,4072,4471,727,3284
776: 
777: 2106,1255,4187
778: 
779: 
780: 4268,3721
781: 3034,784,4304
782: 259
783: 150,968,1181,4750,4116,235
784: 3537,781,2755
785: 2872,4567,2794,1227
786: 2220,3046
787: 919,4739,3782,2010,1445
788: 2598,1640,387,707,2198,1556
789: 3637,3351,2787,1948
790: 3378
791: 3294,1844,3484,4159,640,4221
792: 2463,3717,827,765,1536
793: 4794,1686,1507,4182,1659
794: 1070,1653,3,3306,540,3408
795: 3263,1905,2342,2868,4138,4243
796: 4500
797: 2575
798: 1557,3043,1366,187,2054
799: 1584,2505
800: 3238,3122
801: 4092,4346,634,2577,4408
802: 2977,2754,333,2097,2989
803: 1163,3540
804: 3549,3696,3686
805: 3399,3549
806: 2924,1754
807: 1755,359,833,3435
808: 1169,3980,2893
809: 3099,337,202,2432
810: 2506,4336
4812: 2012,2360,2055
812: 4370,1142,1107
813: 4652,1230,3369
814: 2201,2997,187,2716
815: 3137,873,772,434
816: 4670,581,1713,2613
817: 2593,1045,3112,2393,3038
818: 913,905,647,3710,3957,2749
819: 512,3961,3092
820: 1594,2676,1643
821: 3356
822: 1108,3940,1940,1655,2210,643
823: 2756,3511
824: 1627,61,3189,2022,2160
825: 3944,3937
826: 4536,365,1851,4723,2730
827: 480,3717,792,765
828: 2267,4066,1986
829: 4483,4606,577,1825,2515
830: 3802,2485,3495,1599
831: 636,2145,347,2152,3576
832: 451,294,2140,1380,4147,217
833: 557,1286,359,807
834: 558,698
835: 3591,1281,1312,2593,1370
836: 589,2405,3072,425
837: 3490,4306,4420,1068
838: 1638,3780,504,2496
839: 2488,711,4333,2520,654
840: 2443,1001,2677
841: 33,4258,2882
842: 
843: 2080,2075,3042,3124
844: 1185,976,4759
845: 2514,4187,3663,4016
846: 424,1919,2493
847: 391,2940
848: 4061,2942,1734,29,3933
849: 3800,1736,3534,688,3976,1288
850: 1512,1875,2447,3269
851: 2737,2519,4108,2437,105
852: 405
853: 2889,1031,673,1999
854: 311,1310,3713
855: 676
856: 
857: 2536,2649,2528,2019,2552,704
4799: 4424,2786,2106,3167
859: 3644,3358,3158,751,4727
4666: 353
861: 1159,1572,1333
862: 73,4613,4475
863: 3150,4687,2621
864: 2974,1172,3649
865: 3640,4399,580,4135,3095,2549
866: 2960
867: 3928,4127
868: 2117,2922,1767,1616,1919
869: 1399,1523
870: 
871: 2878,3497,4534
872: 1220,1434,2610,3455,4136,1190
873: 3137,815,2729,434,1024
874: 99,100,3262,229,3746
875: 4657,4130,3188,4421
876: 375,4756,2066,2325,2067
877: 1016,2850,424,3470,652
878: 726,1641,2664,4633,1113
879: 1359,4794,4382
880: 4495
881: 423,4612
882: 4792,1891,2197
883: 3517,4030,3901,4408,4092
884: 4308,2133
885: 563,2951
886: 1897,2366,3629,3452,684
887: 4678,3530,942,4659,3855,4228
888: 1046,1488,3434,2544
889: 4702,2543,929,3956
4630: 763,2356,1726
891: 1588,3777,4112,4144,177
892: 3354,3931,116,897,1340
893: 182,411,2886,469
894: 1243,4064,3232,4629
895: 1217,3998,4624,1304
896: 4494,3012,2636,4196,1694
897: 1340,892,3931,480
898: 3416,4784,4412,3826,1926,4602
899: 3001,4609,3422,274
900: 573,633,3759,2048,2581
901: 3580,2061,3014
902: 2880,2053,1011,3845,2135,2347
903: 4122,2393,3038,4643
904: 677,4627,282,1227,4725,1058,2770
905: 913,3168,818,3710,1028,2076
906: 938,3658,4807,4456,1279
907: 1792,1955,272
908: 2961,58,1175
909: 3876,2000,4742
910: 2556,634
911: 4218,1522,3981,2216,429,1266,270
912: 3278,45,2841,719
913: 3168,818,905,647,3768
914: 4647,4235,4490,72
915: 2478,3966,2369,2967
916: 3584,978,1570,3898,1779,3512
917: 364,123,189,1450,289
918: 4614,4473
919: 4819,787,3782
920: 614
921: 2552,704,3201,3471
922: 2858,2822,2761,699,2110,2669
923: 2009,3463,3566,1184,2449
924: 1499,163
925: 614
926: 1015,996
927: 3550,4660,2715,1029
928: 4653,2522
929: 3985,1293,1437,889,4702,3956,193
930: 2229,2391,2419,2004,4538,2392
931: 692,4709,3975,3138
932: 1053,724,1525
933: 3775,4010,962,3372,3156
934: 1238,4133
935: 221,2426,1648,157,2508
936: 297,1722,2419,2535
937: 4798,2812,2111,4344,3641,1973
938: 906,2172,1279
939: 4238,3315,1588,3886,1619
940: 2306,174,3754
941: 81,2210,1841,4158,1082
942: 887,3530,4492,3353,432
943: 1711,3727,4675,1646
4811: 1910,2799,2423,328,3624,80
945: 3705,3757,4148,3375,1415
946: 617,4382
947: 335,4105,1797,2418
948: 1905,2767,2750,3911
949: 4393,1355,1353,4413
950: 3629,3452,963,3802
951: 2821
952: 2600,1822,4199
953: 3480,1651,3617
954: 2654,2109,279
955: 4298
956: 491,1479,670,2572,958,4003
957: 4770,4319,1815,529,3182
958: 3936,956,4734,2959,3996
959: 4683,3279,1676,1408
960: 
961: 2550
962: 4010,1496,4459,3775,933
963: 295,950
964: 4316,1853,2926
965: 1980,2836,2670,4440,2310
966: 1612
967: 463
968: 987,150,2305,783,1181,2225
969: 3116
970: 320,4594
971: 1262,4125,1583,3709,3734,3723
972: 1276,4553,450,1581
973: 3486,769,2422,3091
974: 2941,3492,2113,2204
4623: 2990,1180,3873,1750,1747,4193
976: 4046,3630,168,4182,844
977: 3923,3816,2459
978: 916,3584,13,1981
979: 1430,2633,3386,4115,4254,4111
980: 
981: 
982: 1144,3736,396,120
983: 1064
984: 1307,3794,4305,4028,3018
985: 4443,3517,522,339
986: 1497,2219,1144,1908
987: 150,2305,968,3347,1181,2225,183,4041,1139
4664: 4191
989: 4391,3310,4147,632,1622
990: 1464,3461,2135,1398
991: 4295,94,4662,3141
992: 3410,3091,1401,3393
993: 3872,3044,4401,340
994: 88,4523
995: 4613,1489
996: 926
997: 3376
998: 495,3942,371
999: 589,3121
1000: 1226,3204,4582
1001: 4383,2443,840,3842,2401
1002: 2580,4031,1744,4470
4792: 882,2197,4094,64,2120
1004: 1922,236
1005: 2258,479,1162,1967
1006: 1717,2264,515,2796
4673: 1932,2486,3902,3210
1008: 2330,1393,673,2889
1009: 4284,2582,3464
1010: 1598,3318,1449,2795,2702,41
1011: 2880,2053,902,2347,498,4584
1012: 474,2424,2864,4494,216,3677
1013: 31,572,4107,4143
1014: 2371
1015: 2693,926,2716
1016: 877,3290,424,4332,55
1017: 4507,3678
1018: 561,4095,1212,2077,739
1019: 1475,4554
4720: 3564
1021: 
1022: 670,2572,1748,3339,4451,2857
4650: 2927
1024: 434,1994,1805,873,3074
1025: 1570,2696,3048,1636,4772
1026: 4714,1259,2474,2653,2312
1027: 2143,3913
1028: 2076,1532,3220,905
1029: 3822,3728,2715,927,4660,2655
1030: 4714,2128,1744,2580
1031: 2889,853,3079,85
1032: 4708,3414,2746,3005,3527,3377,1918
1033: 4783,3692,2890,4311
4739: 787,3782,3889
1035: 4324,3224
1036: 
1037: 1695,3753,1900
4704: 171
1039: 4777,1278,3909
4722: 1763,2685,1566,4427
1041: 2171,1829
1042: 3882,1856,1245,4185
1043: 1543,4341,755
1044: 1585,1358,1081
1045: 2593,1370,817,4530,3038,3543
1046: 888,4656,1488,2635,2782
1047: 1077,1591,1236,3884,2354
4670: 685,816,1541,2871
4764: 4628,2304,3989,4765
1050: 4059,4186,675,718,2217
1051: 478,2318,3011,1742,730
1052: 2743,4376,1941,4020,2460
1053: 932,4748,1466,2811
1054: 2248,3595,1911,4302,3279
1055: 1333,4018
1056: 2105,2399,720,2686,2364
1057: 4269,2541,1553
1058: 3766,2770,904,677,2266,451
1059: 2155,3069,1850,52,3296,1261
