0: 3393,460,2228,4688
1: 1212,4746
4450: 2066,3404,648
4812: 3541,28,2875,1334
4: 
5: 4231,1465,561,1637
6: 3689,2290
4620: 
8: 3424,2261
9: 1174,775,317,1677,4332
10: 784,3920,776
11: 1885,3210,4607,4368
12: 4627,3811,846,2493
4264: 691,4307,4113
4608: 3461,927,3897,1662,1112
15: 2217,3382
16: 3592,2770,3951,4049
17: 4234,3230,4792,1806,3956
18: 1272,4238,1641,2189,1072
19: 951,3060
20: 3289,4486,121,77
21: 3655,1034,4322
22: 2330,4705,1836,4384
23: 1101,2883,1734
24: 2139,4292
25: 2987,547,1114
26: 2078,2926,2056,3438,2758
27: 2033,2234,3953
28: 4812,1334
29: 2929,3197
30: 1132
31: 4407
32: 2338,4776,4768,2160,780
33: 3379,632
34: 3355,3465,2181,2607
35: 
36: 3418,990,4043,4172
37: 2173,2546
38: 2828,527,156,1757,1770
39: 3562
40: 3487,504,1649,375
41: 1528,949
42: 
4669: 777,3307
44: 194,4060
45: 2580,3772
46: 812
47: 426,3029,3866
48: 1838,1517
49: 2431,2603,3285,1123
50: 2111,3610,204
4776: 2338,32,780,543
52: 3531,3011,1028,3447,905,290
53: 3081,1184,411,2726
54: 1159,749,1671
4306: 1684,1031,4253,4188
56: 4474,2200
57: 2128,1888,170,3434
58: 2707,1816,2005,2635
59: 2383
60: 2341,1618,3634,117
4539: 4344,2587,1959,2947
62: 1610,2583,1307,4533
63: 3061,844
4228: 4343,962,2627,4252
65: 1441,1969,4274
66: 663,2857,785,3758,3816,586
67: 2054
4304: 4807,1639,1506,4687
69: 3322,3004
70: 1737
71: 2779,2754,1991
72: 3332,4701,2778
73: 1132
74: 1361
75: 4727,2153,3232
76: 1461,2321
77: 4163,121,1662,20,3289
78: 4792,3190,455,4724
79: 4583,4313,1541
80: 1930
4367: 
82: 3557,1367,2757
83: 1776
84: 2337
85: 1577,2533
86: 4030,1514
87: 
88: 4666,327,2849
89: 1874,2908,3391,1232
90: 3389,1489
4821: 2757,4644,331,1260
4616: 933,4198,891,3709,2126,939
93: 
94: 
95: 3134
96: 
97: 3796,2914,3260,2122
98: 3525,2986
99: 1459,2127,1747,244,3746
100: 4222,1706,4128,2102,3619
101: 1492,3018,2688,1120
102: 1463,4458,1461
103: 2963,3501,3008,1771
104: 619,3539,2292
105: 
106: 
107: 684,2714,1607
4768: 2338,32,3678,2160,600
109: 
110: 1600,422,4371
111: 1449,1485,2021,178,2205
112: 2304,3027,1825
113: 3240,1543
114: 117
115: 3300
4662: 1910,2748,695
117: 3634,60,114
118: 3159,2913
119: 4211,4091,1551
120: 
121: 3657,4163,77,20
122: 1353,128
4455: 3777,3974,2697,2704,791
124: 2478,3800,1840
125: 1533,1454
126: 4105
127: 1051,1448,791
128: 1544,122,1353
129: 2978
130: 1296
131: 1240,319,3333,4492
132: 1861,2841,4259,675
133: 988,1976,2511
134: 1879,3110,144,451,1316
4665: 1604,307,1067,4733
136: 2819,756,1587,3410
137: 4200
4325: 2621,3796
139: 2000
140: 3371,3818,3162
141: 3030,4158,3826,3838,1397
142: 1766,2611,1718,3249
143: 3744,1002,1463
144: 4682,3556,134,1879,451
145: 2663
4802: 4648,1081,1902
147: 3506
148: 2940
4787: 1384,3704,522,3997
150: 4316,1998,3377,161,1476,2145
4301: 
152: 863,568,3493
153: 1788,3795,1198,3290,2990,2072
4449: 2125,1137,4054
155: 1449,1485,1985,290
156: 3417,3575,1770,527,38
157: 791,3231,2477,4010
158: 3059,4545
4482: 3043,3764,4503,1930
4429: 203,3624,199,3345,1787
161: 1476,3453,1205,150,3377
162: 3927,3203
4614: 
164: 2775,1801,985,4813
165: 2847
4272: 702,3178,3487
167: 1095,711,4213,1063,1503
168: 4463,4210,272
169: 4012
170: 3081,1184,818,3434,57
171: 959,2728
172: 
173: 2839,1732,1968,3674
174: 2584,416
175: 3747,190,4109,1437
4798: 3978,430
4715: 
178: 2615,2021,4809,3167,569,111
179: 
4534: 1141,2191
181: 
4360: 3583,3142,2480,3149,4125
183: 4009,783,4046
4286: 3820,4529,3216
185: 3122,3638
186: 627,3535
187: 3569
188: 1324,1721,4697
189: 1059,3875,421,1020,4102,766,3083
190: 175,3747,2934
191: 318,3984
192: 3506
193: 1425,4342,3028
194: 44
195: 2966
196: 
197: 2254,442
198: 1583,3723,1373
199: 203,4429
4558: 3523,4006,2823,2443,1256
201: 1122,4650,2892,1782,780,1617
4337: 4101,4046,4284
203: 4429,3624,199,3364
204: 2368,3790,50,2258,403
205: 2156,369,1678
206: 1384,3858,3307
4706: 3507
208: 1244
209: 3621,1909,1541
210: 948,3005,1018,3996
4753: 2575
212: 1152,3502
213: 3178,3198,1722,3487,1973
214: 785,678,2266
215: 2298,4591,1113,3612
