0: 1533,2858,3465,3471,3392,3706
4486: 2512,4384,1522,1275
2: 2105,4307,4257
3: 2554,2729,1963,4279
4548: 4769,1319,4005
5: 4710,4455,1990
6: 3330,4748
7: 4330,1369,61
8: 2183
9: 971,3339,3657,4102,1677,685
4717: 3579,1938,4785
4739: 2548,1430,2355
12: 2187,738,1704
13: 1382,579,4580
4792: 2177,1059,1044,2431,4571,3266,4045,674
4186: 754,3825
16: 1864,2825,2636,2170
17: 2393,3108,2254
18: 3038,2642
19: 2010,4615
20: 3492,3878,55,3836
4119: 409
22: 3316
23: 
24: 
25: 3208,2149,3300
26: 4821,2915,332,702,3358
27: 3091,435,3716
28: 2534
29: 
4523: 
4057: 1793,905
32: 311,4268,1177
33: 887,570,3496,3763
34: 699,3682
35: 2345,3482
36: 2420,1031,1008
37: 1490,1711,1483,2296
38: 3014,1445
4433: 2590,2445
40: 4481,620
41: 2182
42: 
43: 3491
4461: 2379
45: 2914,728,3322
46: 3808,2223,676,4642
47: 3008,1379
48: 270,3553,3512,4170,709
49: 3405,52,2760,4002,1952
4628: 1000
51: 1246,1439
52: 215,2563,49,3176,4002,865
4319: 3051,4363,1786,823
54: 4061,4397,2029,1166,3052
55: 4591,3836,3492,20
56: 
57: 1971,1344,2172,2226
4561: 3634
59: 3098,1028
60: 2040
61: 4768,312,1678,7,4818
62: 
4622: 4512,1601
64: 327
65: 4158,1150
66: 1191,2990
67: 4692,3832
4525: 4250
69: 2206,150,3951,3883,4100,1944,2137
70: 3383,3311
71: 4087,3327
72: 444,3747,3517
4651: 637,4379,2735,2474,1791
4689: 4088,909
75: 3633,341,844
76: 3566
77: 4479,4686,4625
4378: 4304
79: 1725,4053,2519
80: 307,1494,3533,2520,3654
81: 1856,941,1474
4771: 2252,137
4354: 4176
84: 267,1306
4172: 3716,1276,3316
86: 4711,3939
87: 3819,1258
88: 2034,4584
89: 1677,2817,3559
90: 804,2964
91: 4312,4718,4554
92: 3606,3586
93: 2232
94: 3103,4812
95: 2143
96: 
97: 2198,385,2886,2621
98: 1109,1904,1106,3531
99: 1034,2140,3750,2280,3910
100: 1284,989
4037: 2066,1824
102: 1901,1525,548,4575
103: 3242,835,4054
104: 4780,1208
4733: 1375,774,2056
106: 116
107: 3155,3374,2697
4087: 71
4491: 4169,792,3983
110: 4634,4569,4746
111: 3088,3768,1642,3646,1683
112: 
113: 4735,3564,3161
114: 4519
115: 651
116: 106,2354,3119
4626: 1023,2892,2419,4447,975
4784: 2700
119: 3311
120: 3909
121: 2885,3587,917
122: 2005
123: 459,4285
4006: 2171,911,4765
125: 1724,312,3620,1369
126: 3360,243,2728
127: 826,527,2686
128: 3661,4790,3041
129: 2524,2651
130: 445,2253
131: 1388,338,604,1100
132: 2095
133: 1081,4352,3024,4530,1529,296
134: 898,3001
135: 2702,3681,4363
136: 2777
137: 1094,1444,4771
138: 432,251,2224,4484
139: 
140: 1264,3643,3459,2321,233
141: 3702,3061,4183
4314: 1611,4095
143: 4213,3245
144: 2748,4391,4691,173
4702: 193,3703
146: 4200,2451
147: 4770,2320
148: 2811,4595,2055,2868
4576: 2127,3685,1034,4574,930
150: 2206,69,2758
151: 3458,2128,1506
4072: 2967,2028,1065
153: 2191,3199
154: 155,4422
155: 1756,3434,154
156: 2892,2607,4276,4447
157: 399,1040,390,4536
158: 
159: 4669,3463
160: 4157,3751
161: 427,4795
162: 
163: 2613,3014,2880,3417,4585
164: 1658,4202
4270: 927,2670,1619,2279
166: 742,845,2931,2547,2121,3957
4064: 2582,3377,3002,1351
168: 606,2221,2441,1268
169: 465
4593: 599,3784,3097,3462,4600
171: 947,1810,4216
4012: 3503,2514
173: 1722,4691,144
174: 751,2038,1150,4158
175: 2969,3240,2913,4305
176: 3375,2810,3293
177: 4567,3760
178: 
179: 277
180: 2354
181: 2458,2088,2248,3611
182: 469,3917,1637,3653,4388
4477: 4470,4801
184: 2341,1653
185: 
4732: 556,4085,2568
187: 1021,1611,1363,2976
188: 4619,2002,431,3577,2207,2330
189: 3646,1319,584
190: 3974,1071,1195,3526
191: 
192: 2030,3683
193: 2307,4702,693
194: 
4004: 4405,4070
4521: 348
197: 1692,3160,4267
198: 1780,2110,922,1974
199: 4104,4326,3215
4786: 4701,3206,4729,4105,2088,2248
4100: 3883,1944,3649,2137,69
202: 3783,3542,4790,4694
203: 2764
204: 4409,1925,2430,1873
205: 2104,3090
206: 3862,397
207: 3078,3764,4539,713
208: 
4767: 2606,1002,746,3744,2385,3252,2789
210: 4103
211: 1798
4373: 2214,3419,1005
213: 1970,2209,937,4174,257
214: 4611,4289
215: 52,2794,2760,730,2563
216: 2580
217: 3690,2117,1974,729,4350,3109
218: 3003,4034,4273,955,3586
219: 1396,4401,2328
220: 2890,1890,2634
221: 1528,4147,2572,2374,4725
222: 
4357: 4462,1226
4397: 54,4313,3052
225: 1768,2586,1908
226: 3326,2377,3244
227: 4800,522
4780: 3120,1208,104,2257
229: 705,3714
4441: 960
231: 
232: 1678,2461,1190,312
233: 571,1087,2321,140
234: 4545,3828
235: 2520,675,1479,624
236: 4820,2381
4520: 
4353: 1868
239: 1488
240: 
241: 4000
242: 3523,2677,1434,4688
243: 126
4330: 7,3410,3196,3125
245: 4176,3179,1300
3982: 1261,4671,777,1948,4141
247: 2600,3083,2521,1927,952
248: 849,4298,1328
249: 1489,3340
4581: 
251: 432,138,1096
252: 609,859,3394
253: 
254: 1372,4187,3712,3074,4151
255: 2823,2245,2416,3350
3957: 2121,3460,166,2931
257: 3639,213
4039: 2855,2848
259: 2733
260: 4032,616,4463,492
261: 
4136: 3739
263: 846,4063
4501: 2089,2676,1854,916
4014: 3631,4367
266: 3805
267: 1306,84
268: 2869,1563,1618
4691: 4391,173,417,144
270: 48,3732,3955,1455,709
271: 2620
272: 
273: 3126,2530
274: 1245,482,4227
4174: 213
276: 4508,791
277: 1907,179
278: 4207,3422,3395,4503,3780
279: 2742
280: 
3980: 1270,2378
282: 473,1046,1067
4633: 4197,857,2561,4741,4098,4394
284: 3077,2746,4470,4801,1723
285: 1954
4470: 4801,4477,3077,284
4377: 878
288: 4788
289: 3795,4640
290: 2334,4438,618,300
291: 2622,4347
292: 3755,2553
293: 4674,855,3387
294: 2178,424,1919,1927
295: 
296: 3802,1529,133
297: 4591,3836,1412,4384
298: 1796,1746,4315
4371: 2812,3422,1883,404,620
300: 2405,4678,618,290
4813: 2296,1711,3167
302: 4190,1554,425
303: 3443
4150: 1940,2484
305: 4211,2730,3785,1211,3297,2078
306: 3625,1996
307: 1993,3533,80
308: 1793,4149
4307: 2105,2
4608: 1312,1953,2039
311: 32,4268,3324,1177,4793
312: 1724,125,232,1369,61
313: 2486
4369: 3846,2664,2528,2004
315: 4678,569,1573
4306: 1033,3338,4816,3035
4554: 1662,91,4098
318: 
319: 4596,705,2347,4670,3714
320: 1538
321: 1166,3584,2610,3725,1502
322: 985,1222
323: 4239,4635,4808
324: 
325: 348
326: 1271,2079
327: 1482,64
4096: 1706,2078,1185
4572: 2096
330: 3179,842
331: 4224,3204,4791,3989,3826
332: 702,2889,26,2804,3358
4356: 
334: 3485
335: 
336: 1872,1882,744
337: 3069,3526,4649
338: 3941,414,131
4657: 
340: 3367,4635,3211
341: 3633,75
342: 3288,2982
343: 3928,2259
344: 3176,3870,1106
345: 2921,1757,4322
4665: 933,3169
347: 3388,4677,1030,764
348: 325,4521
349: 894,1076,3922
350: 2800,3080,793,3420
351: 1758,3378
352: 4021,3899
353: 3305,4237,3362,4673
354: 3820,3263
4595: 2811,3630,148,1303
356: 2139
357: 491,3394,859
4210: 4425
359: 
4649: 337
361: 3031
362: 
3993: 732,1693,1624
364: 3605,1291,3448,2678
365: 2442,4339
366: 843,1419,3882,4703,4231
367: 1964,1771
368: 1928
369: 4532
370: 566,2924
371: 3130
372: 1910,3916,3276
373: 1972
374: 
375: 1162
376: 
377: 2016,2165
4794: 2700,4487,1531
379: 1027
4545: 1263,3949,3828,234
381: 858
382: 651
383: 1612,4814,4822
384: 1390,2962,1404
385: 2198,97,1352,938
386: 2763,4292
387: 4031,908,3458,1506
388: 
4718: 1378,3214,1662,91
390: 4536,1722,2748,157
4019: 1404,3341,1975
392: 2594,2005
4339: 365
394: 3695,2842,3887
395: 3186
396: 1908,3815,3647
397: 206,4066
398: 3965,3504,1716
399: 1040,157,3650,3775
400: 
401: 3029,3129,4115
402: 871
403: 2375,3824,3062
404: 1883,2812,4371
405: 
4381: 2853,3470,1633,3941,939,3897
4113: 1055,1013,2505,1572
408: 3958
409: 4797,4119
4252: 2496,1265,643,3873,3715
411: 1661,3977,2369,4251
412: 2207,4751,509,2330,3393
413: 4257,1306
414: 1388,3225,3200,338
415: 1941,4276,1382
416: 
417: 1449,3488,4691
418: 
419: 2521,1386,1164,3769,4803
4382: 1082
421: 1522,4670,3066,3844
422: 795,4526
423: 
424: 4724,2600,1822,294
425: 4047,302,3369
426: 703,2516,4056
427: 1751,4556,4795,161
428: 2508,2597,3935,4214
429: 1684,2102,1965,1262
430: 1133
431: 2002,188,911,2171
432: 138,251,2778
433: 4031,908,968,4090
434: 1026,1986,3920,3665
435: 3812,1636,27
436: 1662,708,2714,4449
437: 2961,4556,1751
438: 3259,4258
439: 569,1806,1573
4631: 1130,2227
441: 2202
4656: 4468,1316,3510
443: 1737
444: 455,72,3973,1192
445: 130,2253
446: 459,2646,1550,1995
447: 4658,1072,1727,3733,4246
448: 3075,3212
4103: 210,4180
4465: 2656,4352,2436
451: 4161,2351,2655,3979
452: 4393
4710: 3415,4455,5,3314
454: 4753,920,1128
455: 444,3517,2246,1192
456: 2672,3497
457: 551,4795
4493: 817,2026,4789
459: 446,123,2646
460: 3512,4085,2422,2372,2568
4176: 245,3179,4354
462: 2036,4168
463: 
464: 
465: 169
466: 4231,1567,4116,4476
4374: 
468: 4512,1601
469: 3917,182,3653,1556,4775,1950
470: 3491
4231: 1567,466,366,4116
472: 3375
473: 282,1046,2115,1341,2477
474: 4682,4531,1012
4009: 3144,656,1702,4213
4056: 4820,2835,426
477: 4719,4139,3379,3343
478: 2106,1195,2114
4725: 1528,221,2374,4471
4257: 413,2
481: 2652,1967,1697,4189
482: 1285,274
4715: 
484: 1503,4263,1090,3479
485: 2016
486: 2688,4141,2114
487: 4719,3083
488: 
489: 2968,919
4425: 4210
491: 357,4274,2411,1215
492: 4463,3911,2346,616,260
4304: 4378
494: 1019,952,1386,4803
495: 2901,2197,2950,587,1417
3998: 3114
497: 3969
498: 4512,4309
499: 
4538: 1266,1412
501: 4132
502: 
503: 1032,3508
4457: 2558
505: 1617,2893,4814,4624
4602: 3536,4600,3462,3948,1968
507: 581,2189,570,4058
4290: 
509: 2330,412,3393,1925,2414
4227: 2453,274
511: 3800,2571,1604,971,3657
512: 2428
4544: 1981,2186,2536,1540,4078
514: 
515: 2754,3294,4775,3061
516: 2948,2824,3988,4762
517: 2216,1721
518: 2797,2416,2420,4218,936
519: 854
4288: 
521: 4456,2859,3144
522: 227
523: 1584,4820,1701,1122
524: 
525: 2116,3082
526: 
527: 2686,127,937
528: 1191
529: 2500,2080,4775,3294
4121: 2337,2570
3987: 2229
532: 622,917,857
533: 3914,3399,2019
534: 2972,841,2395
535: 
536: 4585
537: 
538: 
539: 3840,4776,2042
3983: 4355,4491,2057,4801
4343: 974,2528
542: 4772,990
543: 3489,4069
4484: 772,2224,138
4061: 54,4563,1166,2610
3971: 4011,993,1858
547: 783
548: 4823,102,3251
549: 
4625: 77,3227
551: 457,3409,2035,792
4474: 3718,1913
4563: 4061,3655,1424
4505: 1643,2422,4428
555: 
556: 4732
557: 2297,1625,1909
558: 598,3443,2864,2989,3474
559: 
4394: 4111,4098,4633,2561
4580: 13,579
4698: 2364,673,2024,3908,2037,4796
563: 4173,997,1828
4724: 2600,3083,424,3545,1822
4456: 521,2306,3144,4256
566: 370
567: 914,1597
568: 3737,2208,739,1373,1507,775
569: 2543,439,1573,315
570: 507,2189,33,3763
571: 2273,233,3643
4026: 
573: 2512,2941,1496,2659,1275
4817: 
575: 2044,3453,827,3275
576: 3290,2878,3800
577: 2435,2315
578: 4032,4582
579: 13,4580,4036
580: 2926,4211,3785
581: 507,2189,4058,4571,4086
582: 
583: 1285,3106
584: 1319,2878,2495,189
585: 
586: 4390,4524,4209
587: 762,2644,495,1417
3986: 1751
589: 
4783: 2834
591: 4774
592: 3696,3057,2072,4713
593: 
594: 754,1536
595: 2425
4766: 2062,1583,1060,4165
4648: 3381,1294
598: 3443,558,2961,2989
599: 4403,4562,3784,4593,4754,3097
3978: 4765
601: 4414,2125,3226,2648
602: 3378,4453
603: 
604: 1100,3492,131,3959
605: 3755,4531,4499,1397,3232,4682
606: 168,2221,2441
607: 1392
608: 
609: 252,2841,2342
4331: 
611: 3968,848,4816,1458
4795: 2985,457,4556,427,161,4284,2356
613: 
614: 
615: 733,1327,4578,2456
616: 2346,1873,4463,492,260
617: 4610,3871
618: 300,4678,942,290,4438
619: 
620: 40,4481,1883,4371
621: 3160,2643
622: 917,532
623: 4047,1151,2020
624: 4184,3581,1479,235
625: 
626: 4297,2725,2732,3806,3597
627: 629
628: 3956,4598,882
629: 627,1640
630: 3363,1135
631: 
4764: 2809,806,926,2997,899,986
633: 3271,2098,1575
634: 
635: 3916,3276,3743
4512: 498,4622,468
637: 4651,4379,2735,893
638: 2000,3572
4591: 55,3836,297
640: 1156,1741
641: 
642: 
643: 3873,3487,2608,2496,4252
4109: 2472,2666,2090
4053: 1521,835,1725,79
646: 3667,2199,4551,3042
647: 1903,1463,1283
4245: 2621,2886,1756
4390: 586,871
650: 2147
651: 382,115
652: 4151,1372,3253
4065: 2865,3268,1551
654: 4131,1256,4765,1428
4242: 3545,3044,1477,3985
656: 4009,4760
657: 1117
4131: 654,1256,2414,1428
4187: 1485,254,3081,3074
4802: 1004,4819,2649,1017
4789: 2640,817,4493,1202
662: 1115,3573
663: 1639,3979,2854
664: 2596,4711
665: 1298
666: 2505,4489,1572
667: 3368,1126,3234,4081
668: 795,3632,964,3936,3513,4811
669: 731,1013,3588
4082: 2184
671: 2637,2986,4605,750
672: 2317
673: 3195,2024,4667,3908,4698,4796
674: 3266,4045,4792,2431
675: 2758,4041,1479,1215,235
676: 46,2223
4169: 792,4491
678: 1677,3480,766,1762
4778: 3823,3984,1838,3402,2060,1777,3765,4404
4365: 876
4414: 2125,601,3226,4721,2648,1559
4322: 1757,345,2709
683: 2711,2685,3181,4083
684: 
685: 891,4726,9,3339
686: 
4643: 4557,3496,4803,3972
688: 1206,2688
689: 1429,2132,1632
690: 737,3943
691: 3558,1609,3125,4641,1182
692: 1715,3722,3156,2249,3227
693: 193
694: 4120,3803,2384
695: 3723,4444,1679
696: 2190
4289: 1254,214,2782
698: 1564
699: 34,3682
700: 4604,1773
4776: 2042,3094,539,3282,3431
702: 332,2919,4821,26
703: 426,1221,2516
704: 2125,2308,2409,3226
705: 4596,319,3714,229
706: 3004
707: 2589,2854
708: 1662,436,2714
709: 1455,48,270,2003,1092
4052: 4806,3429,3970
711: 1562,4071,1060,2062,1738
712: 1203,1905,2977
713: 1400,926,207,3078
714: 1630,870
4667: 673,3195,2024,2392
716: 
717: 1683,2635
718: 2269
719: 3707,4101,3430
4809: 3663,3903,1384,1994
721: 
722: 2573,3926
723: 1528,4147,1862,4455
724: 1900
4502: 2045,2243
4032: 260,578
727: 2310,1992,1567
728: 4630,2914,45
729: 2607,217,1941,3109
730: 4198,3708,215,2794,2760
731: 669,3588
732: 4822,3993
733: 615,1327,3201,1325
4155: 2675,3703
735: 3552,4120,4224,864
736: 
737: 690,2546
738: 3413,4683,12
739: 3737,2208,568,4750,3883,2137
740: 2184
4118: 3484,4112,3524,2266
742: 166,845,2164,2121
743: 1578,1285
744: 972,1872,336
745: 1672,4419
746: 4767
747: 1888,4587,1647,3827,2478
748: 2026,4752,3856
749: 
750: 1376,671
751: 174,2038
752: 3910,4574
753: 3880
754: 4186,594
4134: 1091,2730
756: 1913,4650
4122: 4208,2189,1819
758: 2984,3041,2899,4034
4418: 1782,3724,2166
760: 4001,3165
761: 
762: 2644,587
763: 
764: 347,3388,4500
765: 
766: 1762,3339,678,4726,2280,3750
4823: 548,3719,4668,2731,4517,2995
768: 4704,3116
4775: 1950,469,529,879,515,3061
770: 3177,885
771: 1337,3021
772: 2911,2224,4484
4220: 
774: 4733,2056,3054
775: 1507,879,2208,568
776: 3919,4714,1259
777: 3982,1261,4094,1948,1767,3854
778: 
779: 2243
780: 1349,3713
781: 1644
4055: 1802,3279
783: 547,3632,1469,4811
784: 1328,1931,2756,2417
785: 1127,1194,2615
786: 1036
787: 4079
788: 
789: 1267,1989,3637
790: 1370
791: 1205,276,4508,2233
792: 4169,2035,551,4491
793: 3080,350,2074
794: 
795: 668,3632,964,3936,422,4526
796: 
797: 1702,3709,4668
4141: 2688,486,1948,3982
3990: 4104
800: 
801: 1618,1255,2362,4215,3851
4040: 
4364: 
804: 3194,90
805: 2996,4166
806: 4764
807: 1281,1219,3024,1897
808: 
4753: 454,3963
810: 2222,1938
811: 
812: 2780
813: 1704,4427,2357
814: 3106,2741
815: 3034,2855
816: 4490,3543,3328,4616
817: 4493,2026,2803,4789
4763: 1508,2746,2052,1723,3630,1833,2086
819: 
3985: 2161,4242
821: 
4772: 2678,1530,2633,2917,542
823: 1476,4319,2744
824: 3213
825: 
826: 127,1226
827: 3453,575,2044
828: 
829: 
830: 1867,1388,1100
831: 1150,1050,4046,946,3551
832: 3136,2572
4616: 1575,3328,4490,816,4740
834: 4259,1242,2252
835: 2649,3242,103,4053
836: 4262,1408
837: 
838: 1226,1684,4462
839: 4440,3674,1042
4311: 
841: 3387,2395,534
842: 330
843: 366,1419,1752,2310
844: 75
845: 166,742,2547
846: 4111,4135,4063,263
847: 
848: 1464,2660,854,4816,1458,611
849: 248,4298
850: 2183
851: 2772,3222
852: 3505
4661: 2651
854: 519,848
855: 1719,293
856: 
857: 4197,4633,532
858: 381,991
859: 252,3394,357
4787: 1816,2582,3002,3592,2225,3677,2306
861: 4810,3724
4726: 891,2280,685,3339,766,2100
4647: 4533,2492
864: 4233,4798,4120,3552,735
865: 1471,4002,52,877,3176
866: 4506,1708
867: 
868: 1916,949,1288
869: 1846,1544,881
870: 1630,714
871: 1598,402,4390,2191
872: 1873,3062
873: 
4529: 
875: 3218,941,2533,3268
876: 3276,3743,4365
877: 3176,3870,1471,865
878: 4377,922,2110
879: 775,4775,1950
4267: 3160,197,2251
881: 2554,869,1544,1963,3892
882: 3413,628,4720
883: 3168
4345: 3834,1303
885: 3177,770,2689
886: 
887: 3475,33,2737
888: 1351,957,3592
4728: 3152,1078,1837
890: 3324,1177,4793,3166,3411,4070
891: 4726,2280,685,2230,2100,1174
4073: 2956
893: 1640,637,2735
894: 349,1076,2864,2989
895: 
896: 3434
897: 2611,4269
898: 134,2488,2480
899: 2997,4764
4555: 2220,2743
901: 2313,4655,3292
4262: 3503,836
4473: 4335,2924,1565
904: 2571
905: 1842,3412,4057,1793,3530
4480: 
4781: 
908: 4031,387,433,957
909: 4511,4689
910: 
911: 2877,2002,431,2171,4006
912: 
913: 3405,2277,4140,3869,1198
914: 567,1597,1895
915: 4396,2831,4498,3510
916: 1854,4501
917: 622,532,121,4312
918: 
919: 2968,489,2858,3471
920: 1689,4059,454
921: 3357,4447,1327
922: 1974,878,198,2110
923: 4393
924: 3217,1455
925: 3665,3388
926: 713,2809,4764
927: 4270,2004
4427: 950,3637,2357,813,3525
929: 1543
930: 4574,3734,4576,1441
3967: 3940,1169,3841,2745
932: 2008,4203
933: 3169,4665
934: 1082,1110
935: 4112,3524,956,1583
936: 2797,518,4218,4074
937: 527,1970,213
938: 1629,1461,2198,385
939: 3169,2853,4381,3897,2129
940: 2863,2031,4206
941: 81,1223,3218,875
942: 1277,618,4438
943: 1493,1307,1870
944: 2667
4650: 2548,756,1621
946: 3551,1956,831
947: 1810,171,1597,4255
948: 3562,2750,4333,3541
949: 868,3833,4800,1288
950: 4427,3637,1526
4143: 4746,3196
952: 494,247,2521,1386,1927
4720: 882
954: 1793,3530,1086
955: 1353,3396,218,3586
956: 2898,4734,1712,1836,935
957: 888,3148,908
958: 4329,3746,3962
959: 2237,2956
960: 3450,4441
961: 3864
962: 2408,2562,2715,3480,1762
963: 1569,994
964: 795,668,3936,3687,3513
965: 3357,4578
966: 
967: 1718,4068,3031,4124
968: 4027,4031,433
4679: 2963,1778,1897
970: 1107
971: 9,3657,2571,511,4102,2922
972: 744,1362,2893
973: 3762,2286,1199,3578,3519
974: 4343,2167,1180
975: 4626,1023,4796,978
976: 3551,4084,1197,3473
977: 1698,1344
978: 3981,975,4796
979: 1179,1937,2999
980: 2046,3344
981: 
982: 1708
983: 4294
984: 4605
985: 1222,322
986: 4764,2997
987: 3322,3175,2057,4801
988: 4045
989: 2888,2553,100,1375
990: 1257,542
991: 2124,858
992: 1041
993: 1858,2390,3971
994: 1569,963,1137,2448
995: 1913,3718
996: 2873
997: 563
