0: 1673,1996
1: 1190,260
2: 2710,3739
3: 3753,2869
4821: 3111,668
5: 3670,3110,1827,2820
6: 2518,1971
7: 1724,1587
8: 4092,2159,3566,2383,1096,2447
4728: 4724,1599,2125
4688: 4353,798
11: 1216,1917,4680,3343
12: 604,4002,1113,3878,3822
13: 775,198,3163
14: 2836,4339,4820
15: 3911,1231,2424
16: 1099,4279,151
17: 4742,2319,1294
18: 3836
19: 1922,1502,329
20: 4596,3964,421,2607,911
21: 2310,2471,673
22: 4043,1499,1450
23: 1036,2434
24: 381,3327
4153: 2885,3197,2516
26: 4547,284,864,3524,843
27: 2065,2465,3908
28: 4462,3064,3871
29: 
30: 
31: 3303,973,1025,241,4107,4768
4419: 4022
33: 3763,1616,3190,902
34: 456,2426,1762,4591
4478: 1064
36: 3984,3725,3812,1033
37: 
38: 299,3024,4163,364
39: 3641,2107,4812
40: 3173,3105,2478,732,4207
41: 455,914,2352,486
42: 4373
43: 2111,4154,3321
44: 3385
45: 3615,1053,3950
46: 88
47: 4747
48: 2939
49: 424,2579,3285
50: 1649,4333
4657: 71,3770
52: 689,4736
53: 4391,1840,1376,1563,3715
4638: 587,2260
4711: 3903,2831,2162
56: 1331
57: 3005,235,3923,1955
58: 551,2359,859,4221
59: 915,490,1254,1399
60: 2343
61: 3145
62: 1916,3179
4645: 3519,1273
64: 2146,984,2970,4302
4324: 4259,1212,2044,3940
66: 1174,3875,4447
4608: 2019,4229,3792,3648,368
4318: 151,1099,1816
4666: 3865
70: 2285,328
71: 1992,4657,2754
72: 905,1293,4769,2547
73: 2176,1601
74: 472,2513,1331
75: 4099,2875,757,1211,1009
76: 4304,3193,4413
77: 4416,4557,247
78: 3159,1676,3302
79: 523,1246
80: 3482
81: 3781,4360,3508,4784,4158
82: 606,1226,4051,1841,2099
83: 2205,2165
84: 
85: 4440,1730,4074,3419,207
86: 4073,4792
87: 
88: 46,1442,2294
89: 3357
90: 1213
91: 1413,157
92: 784,4656,2321
93: 4037
4631: 1270,713,1808,3477
95: 4374
4169: 1513,3541,624,1487
97: 3464,3236,2342,237
4177: 388,2557,4017
99: 2748,2812,3522,2566,3647
100: 4138,332,1189,1116,729
101: 181,545
102: 894,2075,2116,1748,2031
4743: 448
104: 574
4155: 
4346: 2773,1514,2788,4604
107: 2477,1595
108: 2664,1079,1072,1327,600
109: 442,3856
110: 3484,365,4196,1448
111: 243,177,573,3211
112: 814,4814
113: 4109,2158,1216
114: 
115: 
116: 1969,2868
4503: 1278,1018,2077
118: 773
119: 3062,2252,4301
120: 1304,3407,2404
121: 1997,4782,2091
122: 4005,4656
4733: 1974,4540
124: 4147,4406,678,528,3977
125: 4474
126: 1936
4198: 2952,2734,2391
128: 
129: 
130: 448,3131
131: 580,3534,1974,2128
4275: 774
133: 2850,693,3250
134: 1741,2615,1985,4518,3787,1998
4566: 721,1928,3718,3152
136: 336,1866,4085
137: 3013
138: 953,1046
139: 
4640: 3349,366
141: 4429,4231,4727
4410: 3509
4368: 1588,2570,2048,2563
144: 1980,2135,1008,2171
145: 
146: 1285
147: 
148: 362
149: 1397,168,3446,3916
150: 2814
151: 4318,1099,16,1816
152: 169
153: 633,3682,4399,4079,3962
154: 4396,4770
155: 1647,4625,3287,663
4701: 402,3821,3870,681
157: 1871,2871,2512,91
158: 
159: 2417,2440
160: 3182,4201,2859,894,2116
161: 4101,3365,3037,4388
162: 1394,3018
163: 1499,2372
164: 3927,3127,4389
165: 3700,2015,428,1721
166: 2510,1534,4531,1622
167: 2350,2374
168: 149,808,1397,3446,2602
169: 152
170: 1127,3608,1888
4626: 372,2066,3262,564
172: 1321,4777,4353
173: 4010,3979,4709,3267
4745: 833
175: 478,352,2335,444,697
176: 4642,3861
177: 573,3211,111
178: 
179: 4427,3305,4737
180: 448,3131
181: 101,3179,1512
182: 4789,2280,2070,1380,2108
183: 2989,212,3012,1259
4611: 4421,4750,2961,2582
185: 4013,2751,1698
186: 3295,1731,2025,2658,1674
187: 4017,3593,4327
188: 4263,1257,4043,1168,2372,1499
189: 4139,4190,789
190: 1175,2769,588
4729: 
192: 1480,2203,2312
193: 4342,634,2644,1258,552
4756: 4481,4212
195: 1977,3464,237,4345,1513
196: 4160,2091,2029,4166
197: 
198: 1968,13
199: 2746,1153,3416,2130
