0: 267,3912,2590
1: 2947,1190,3228,1362
2: 2909,43,1537
3: 2132
4821: 1611,3047
5: 57,2730,2062,859,1515,1769
6: 938,3493,3915
7: 3666,3032,3514
8: 3901,2704,4424
4728: 3941,3214,3792,3485
4688: 172,3007,1155,3291,3660
11: 109,2665,813,2088
12: 2129,3759,1588,3195,752,3230
13: 4032,2359,3355,1738,1063
14: 4296,1031,536
15: 3464,2875,3132,4009,2130
16: 940,2735,2985,1074,3538
17: 4742,3190,1683,2850
18: 3682,4615,1040,3227
19: 1105
20: 2660,3191,270,1168,4580
21: 530,1882,1031,1733,3577
22: 3079,4698,2856
23: 
24: 1655,1825,4320
25: 1918,1556,1567,668
26: 2484,1637,896,620
27: 4313,1093,2884
28: 1440,2623,2781
29: 3237,3678
30: 
31: 1593,4380,3213,2033,3402
4419: 1513,1035,1237,4182,3329,1561
33: 2850,4742,2579,3545,2358
34: 962,1119,4135,3488
4478: 595,4738,2713
36: 3316,1540,4768
37: 2144,1504
38: 4402,2010,4229,2935,1246
39: 1582,149,1545,4788
40: 200,1284,2070
41: 411,717,2911,1633
42: 2143
43: 2,2909,1282,4374,2092
44: 2675,850
45: 4345,1009,427
46: 
47: 2308,3799,2585
48: 973,1650
49: 3546,3374,4334,1080
50: 3468,1965,2102,1706,4588,3523
4657: 4186,1440,2816
52: 801,3885,4146,4535
53: 453,908,4611,3037
4638: 4585,3509,684
4711: 1297,3472,1952,2365
56: 90,994,1055
57: 1465,5,843,2730,2062
58: 2075
59: 614,540,303
60: 3542,571,2556
61: 3678
62: 4604,2912,1121,1846
63: 558,2012,237,3394
64: 2521,193,4385
65: 4046,4547,4119,3382
66: 2127,1183,4589,1058,4633
67: 1027,885,2023
68: 1884
4666: 2490,3861,1585,3387
70: 158
71: 1935,3505,4009
72: 1120,3858,4434,3833,3016,1592
73: 1559,2042,4418,426,3452
74: 1055,3696
75: 2754,2473,3654,3505,513
76: 3099,4027,3599,1931,3193
77: 424,1849,2277,2952,111
78: 3454,2901
79: 4684,1725,862
80: 991,698,4480,934
81: 2609,4784,875,2839,4243
82: 1841,4050,606,4476
83: 3932,1192,2775,1514,4155
84: 
85: 4582,2771,3806,4283
86: 2314,3072,181,1505
87: 
88: 1585
89: 1750,3163,974,421,2560
90: 1421,3246,56
91: 2528,1241,3153,1413
92: 1089,4192,3015,2076,1906
93: 3373,3721,2797
4631: 4814,1910,3103,2671,1915,3916
95: 
96: 3570,3244
97: 3831
98: 2647,3074,3617
99: 3650,2597,1730,2131
100: 4023,937,4369,4663,4272,4071
101: 1178,1064,1658,1300
102: 4587,3919,871,2578,2164
103: 2538,4603,790,4802
104: 2296
105: 4466,4642,1707,2622,4171
106: 4393,1006,3207
107: 3108,3777,1927,1767,3328
108: 3878,3886,4447,4740,2599
109: 11,2334
110: 4586,4531,2959,1200,2758
111: 3259,3211,2277,77,1849
112: 
113: 2174,2334,552
114: 
115: 2799
116: 1139,2130,783,3263,4223
4503: 2368,1546,2077,3647,1377
118: 4783,886,1105
119: 4247
120: 1825,2806,4227
121: 2834,820,1398,3626
122: 3099,4027,279,2606
4733: 3709,1376,1532,1534,2749,1563,3534
124: 3975,1720,4455,1647,3571
125: 1458,3560,2900,2465,1724
126: 
127: 1284,1067,4640,3294
128: 423,538,2731,1749,3783
129: 2624
130: 1923,1296
131: 3728,2140,576,933,3044,877
132: 2529,2870,4035
133: 3763,2711,2193,4761
134: 1494,2128,1775,1864,1783
4566: 179,4737,998,1164
136: 4188,4617,1705,3393,4306
137: 2932,4483
138: 4367,3506,3957,1037
139: 
4640: 127,1067,2119,3310
141: 2632,1792,4429,3001
142: 3295,1002,4007
143: 3478,3434,2474
144: 3271,2819,2660,931,1257
145: 596
146: 
147: 
148: 4269
149: 39
150: 3382,2473,1231
151: 4201,2985,1074
152: 169,1371,2312
153: 4486,3807,2969,652
154: 3265,873
155: 1463,3709,1376,2119,2115
4701: 3403,4351,3253,1188,2768
157: 2392,1327,3479,1619
158: 70,3063
159: 2738,3901,3997,2106,2415
160: 2001
161: 3547,3232,3583,1351
162: 3045,985,4346
163: 3706,530,2823,1893,4074
164: 809,1121,4669,4493,1846
165: 3669,4383,2822,4309
166: 958,170,453
167: 1319,4285,4398,4573,3395
168: 4051,2790,1245
169: 152,2203,2071
170: 958,3787,453,166
4626: 213,874,937,4369,2416
172: 3007,4688,1920,4754,226
173: 4450,1319,4032,1738,4573
4745: 4410,4618,1605
175: 3858,1518
176: 886,1105,4684
177: 3374,4670,1080,2872
178: 1875,2556,1663
179: 4690,4566,4237,1164
180: 758,361
181: 86,2314,4704,1512
182: 3415,2722,710,269
183: 1944,3080,3645
4611: 1853,3499,3037,53
185: 324
186: 706,687,3960,2470,2057
187: 1027,1760
188: 1029,436,1104,2015
189: 4659,2714,2787,1949,4199
190: 4044,2456,3550,1343,4028,1677
4729: 3809
192: 3306,490,2312,863,2630,906
193: 2521,64,4385,696,947
4756: 3642,2566,3604,2587,4131
195: 2340,1339
196: 756,3490,4166
197: 1151,4073,3240,2897,4372,2026
198: 4450,3054
199: 2602,718,508,1153,3422,1115
200: 40,2070,399,4531,292
4772: 2104,2691,345,4397,3553
202: 2191,3460,1436,529
203: 1238,1460,2304,3633
4859: 
205: 1013,2709
206: 2257,2388,1420,245
207: 2301,1789,2089
208: 
4427: 3843,2187,4774,3308
210: 964,3414,1933,968,2056,3581
211: 
212: 500,1181,4485,4693,1880,1211
213: 874,4626,492,937,4369
214: 647,1786,469,1958
4585: 4638,3778,790
216: 2754,2658,792
217: 1520,725,1583,2426
218: 1065,4348
219: 1949,1219,1771,308,3285
220: 2234,1627
221: 725,2213,4228,4125,3766
222: 249
223: 3621,2094,3014,498
224: 3608,3110,3583,2137
225: 566,2805,2201
226: 3660,1920,172,3007,407
227: 2753,2986,3231,3359
228: 3512,3714,3968
229: 1215,1851,3483,739
230: 1897,2436,4054,4278,3289
231: 337
232: 1614
233: 3481,2432
234: 2262,1278,2991,2142
235: 4734,4252,2316
4781: 938,2071,3867
237: 4065,2868,280,63,558
238: 
239: 3571,2670,2115,2206,3173,3102
240: 2397
241: 2338,3363,556
242: 1789,4569,4577
243: 4239,2237,2120,993,2640,902
4742: 762,17,4559,33,2850,3545
245: 1274,206,1420
246: 4616,2004,4709,4196,1604,2857
247: 2277,2714,3211,952
248: 1963,4393
249: 222,760,3189
250: 
251: 794,3903,873,3265,4549,3606,1320
252: 
253: 1394,298,4669,4155,4493
254: 3634,1759
255: 1189,2374,2350,1116
256: 460,336,1866,4173
257: 3398,3905,2847,3558,2616
258: 642,3196
259: 
260: 918,1276,2410,1484
261: 1701,306
262: 1818,1527
263: 1136,2327,4591,3138,4332,2818
264: 
265: 1816,3182,4795,4560,4590
266: 
267: 0,4089,3593,1696
268: 3526,4092,2154
269: 2510,2961,3415,182
270: 20,3191,4580,1871,1445
271: 2216,3508,3556,3268,4710,1326,3297
272: 1005,713,2766
273: 3820,4355,1309,2816
274: 2740,1402,1217,4260
275: 350
276: 2795,777,730,4574
277: 2837
278: 3731,2256,1779,1369,4386
279: 1356,2170,2606,4021,3099,122
280: 1139,2130,2875,558,237,2868
281: 4495,1589
282: 2958,4147,1583
283: 2036
284: 2150,2078,1406
4530: 919,3601,2780,2270,360,2287
286: 731
287: 4288
288: 3990,2555
289: 2963,2941,4596,4078
4695: 2689
4614: 2428,1645
292: 4586,4531,200
293: 
294: 1198
295: 2064,3293
296: 4063,3988,4523,3676,3417
297: 930,3479,2963,2392,4280
298: 253,1394,3899,4155,2775,3045
299: 4724,2190,4239,4643
4804: 3096,2222
4769: 322,3447,2742,1225
4659: 189,2787,4724,4086,2190
303: 540,59
304: 3436,3691
305: 3047,4593,3111
306: 1701,261
4577: 2131,1092,403,4212,4569,242
308: 2882,639,3285,1949,219
309: 2135,3636,1530,2275,3292
4582: 85,3806,4283,1329,1190,4194
311: 2204,3898
312: 3321
313: 1062,3273,664,3160
314: 4417,959
315: 3362,2682,2737,1100,4446
316: 518,3523,2597,481,4437,3780
317: 1745,3976,3403,4351,1307
318: 2709,2286,3032,2993,435
319: 4238,2563,2655,1207
320: 3060
321: 3812,4732,1643,3725,2065,854
322: 4769,2637
323: 3360,2965,534,841
324: 185
4592: 
326: 1573,1071,3855,2614,1492
4680: 2117,817,3259
328: 3949
329: 1361,3397
330: 
331: 2533,2441,3084
332: 3896,1189,4329
333: 2839,4243,1957,2052
334: 3981,2256,2669,2037,1779
335: 
336: 256,460,1866
337: 231,452
338: 4339,2136,492
339: 4605,4354,4535,3526,881
340: 4618,4762,368,1605
341: 2074
4786: 4722,4127,3428,4058
343: 1447,3999,1014,1427
344: 3202,3704,681,3537
345: 1981,4772,3553
346: 695,474,3649
347: 2705,1128,706
348: 2111,3578
349: 3182,1591,521,3719
350: 275,1582,4812
351: 3008,4453
352: 2558,4362
353: 2737,1100,2082,1415
354: 1433,3581,3414,875,2150
355: 2565,525,2796
356: 1708,1438,2997
357: 3881,3816,3110,3653
358: 1046,4468,4601
359: 3375,2849,1358
360: 3591,683,2041,2270,4530,2287,2642
361: 3131,180,2708
362: 852,3535,4156
363: 3137,4016,4367
364: 2657,1086,2830,2759,2263,2648
365: 3513,1262,2359
366: 1556,583,3524,3582
367: 902,1641
368: 917,340,414,3662
369: 2610,714,2422
370: 3602,4403,449,2693
371: 
372: 3149,4588,1432,3650,2597
373: 2416,3750,2443
374: 3607,2942
375: 3111,4496
376: 4677,2462
377: 4389,3256
378: 648,2047,2879,4550,2873
379: 4214,2813,3987,3398,2847
380: 4629,4274,3199,4388
381: 
382: 405,4200
383: 4509,3291
384: 3965
385: 3983,2735
386: 1760
4654: 2039,3934,2759,1869
388: 4126,1177
389: 2668
390: 604,3470,610,1475,3379
391: 4019,3281,3680,4662
392: 2831,815
393: 3652
394: 2157,963,1370
4801: 2515,3940,3216
396: 3368
397: 4034,1994
