0: 1789,838,4558
1: 3552,3062,4621,4373
2: 1013,2332
3: 1160,2482,4132
4: 2457
5: 210,3233,2208,3667,2206
6: 4687
7: 3133,2531
8: 1800,1233,266,4515,4681
9: 868,1058,2241,3766
10: 3272,2119,3408,2246
11: 570,993,1917,3545,1595
12: 3068,4055,2545,4792,4230
13: 436,916,4576
14: 2037,3655,4810,3898,1431
15: 3772,3825,1944,3879
16: 4064,420,2198,1639,4256
17: 2644,2688,4305,3564,4190
18: 4128,319,900,4280
19: 1725,2511,2429,672
20: 1090,4576,704,1445
4820: 2366,756,4309,4115
22: 4329,3139,1393,733,2181
23: 2220,261,1601,2902
24: 2283
25: 4150,734,1465
26: 2210,167,3283,4628,654
27: 837
4800: 2447,1776,2289,2276
29: 2381,3995
30: 401,4887,666
31: 1401,3393,1617
32: 1135
33: 4058,3266,1870,2117
4767: 1929,1024,2954
35: 3221,2930,976,682
36: 3316,2186,680,1122,2883
37: 4317,1204
38: 4538,1272,683,2485,3601
39: 2946
40: 3233,4343,4823,1211
41: 915,1196,730,2481,1488
42: 3078,3656
43: 2689,4029
44: 2447,2289
45: 2097,3654,3937,1473
46: 612,603,293,4568
47: 3698,1724,3213
48: 4461,2355,2561,2094,3292,924
49: 3353,1632,3065,290,2629
50: 407,732,660,3700,3815,518
51: 
4917: 4722,2294
53: 2826,2961,679,3051,2702,3884
54: 3402,2333,1654
55: 4726,4416,3230,2249,4238
56: 
57: 1091,1410,521,987,4388,1556
58: 1099,3497,4595,4101,1888,4274
59: 2398,122,2731
60: 2036,2583,1138
61: 2489,2835
62: 3028,1486,4702,4774,1891,3101
4773: 2455,2865,1189,4577,1925
64: 1230,3854,3016,3169
65: 292,3110,2959,2636,2316
66: 1741,1174,3314,1449,1985
67: 1220,2692,3600,2096
68: 364,3760,289,3492,1386,2175
69: 3158,2044,2764,2520,1659,3940
70: 3767
71: 1457,3986,1172
4759: 2631,3671,2650,2816
73: 543,979,523,236,2963,2176
74: 3400,1439,3060,3672,3701,1452
75: 834,2180,2852
76: 2848,2321,2789,2949,1348
4986: 2625,2904
4721: 3338,4782,3452,2737,2270
79: 2042,602,3501
80: 1497,203
81: 4712,1474,1223,1032,2374,4243
82: 1018,1169,2533,4062,1795,3780,4593
83: 2775,2803
84: 
85: 2683,4017,1874,1996
86: 2254,4030,352,755,4057,3795,1793,1202
87: 
88: 1605,3417,1281,4278,3423
89: 874,4252,3746
90: 3387,4666,2147
4709: 3975,4238,3087,446
92: 3720,3661,2831
93: 918,3514,1587,4189,2222
94: 3022,1239,3961
95: 753,4717
96: 2960,3789
4913: 3609,1985,1449
98: 1194,3231,1518,3756,1583,2547
99: 935,3685,747,1562
100: 2607,1722,1118,2858,4032
101: 3788,3020,2174,3708
102: 143,3749,2630,2582,551,1315,3983
103: 1286,591,3194
104: 
105: 612
106: 
107: 4015,3156,1395,3083,3836
108: 2275,459,1086,1034,1577
109: 2897
110: 3674,1503,4623
111: 618,1418,2773
112: 382
113: 1680,1437,4346,1192,455
114: 
115: 
116: 1309,1468
117: 4294,1505,2183
118: 969,3223,674
119: 398,2107
120: 3427,4365,626,1428,2740
121: 1530,2336,3889,447,4674
122: 2398,59,955
123: 604,2711,2189,4334
124: 3071,4161,3042,1769,4451
125: 4296,1484,4276,3655,3410
126: 4808
127: 1380
128: 3837
129: 1755,1707
130: 2141,1900
4811: 3921,1825,3743,4644,1321
132: 3474,3257,1669,4084
133: 4603,3929,3591,2714,1370
134: 2767,2888,4101,1888,1528
135: 3095,4228,1712,4567,2140,632
136: 476,3032,2634,4772
137: 381,4599,822,667
138: 
139: 
140: 1089,1846,2383,2440
141: 1910,1115,1511,3826
5032: 
143: 4318,3749,102,2630,3983,2662
144: 1836,373
145: 2273,4500,4315,582,4484
146: 1085,1868,234
147: 3192,3963,2040,1790
148: 3590,2529
149: 1321,274,4644
150: 3464,212,4355,1702
151: 1296,2354,3148,4124,2544
152: 2170,1852,3613
153: 729,528,1600,4125,2303
154: 324,2031,3265,4632,4068
155: 357,2636,1972,3923,859
4683: 4361,2006,959
157: 971,1957,3436,3881,3888
158: 735,2718
159: 2881,794,3220,1173
160: 166,4601,1205,1074,710,170,3478
161: 4009,2342,594
162: 1195,3160,3517,821,2546,984
163: 2364,498,3048,2053,1684,3335
164: 2923
165: 242,504,3806,527
166: 160,4601,1074,888,4629,2137
167: 26,4357,3283,246,3358
168: 1545,3687,3803,1896,2099,1359,3820
169: 4124,3388,1383,1519,3075
170: 3478,4595,1998,160,3951
171: 1408,4372,1826,487
172: 2947,2404,2617,3426
173: 1840,702,4252,3483
174: 4003,3105
175: 1793,1945,1739,1510,1216
176: 
177: 3333,1023,3156,390,3836
178: 463,582,4500,3356
179: 2808
180: 3058,1250,2194
181: 3752,4088
182: 1074,888,3816,1436,3051,3251,2702
183: 1181,4337,1783,1933,427,3209
184: 2729,3661,4298,923
185: 1894
186: 3652
4776: 1937
188: 3935,4562,4038,1738,1262,2420
4684: 2538,886
190: 478,406,1948,1895,1516
191: 4004,2513
192: 3162
193: 4607,4190,1294,2970
194: 3634
195: 879,3449,961,844
196: 2112,2022,301,1777,2516
197: 2045
198: 1247,372,2672,4023
199: 3254,771,2718
200: 456,1029,1788,3722
201: 820,4783,1951,799
202: 2992,4367,3592,3015,2910,3074
203: 3114,4175,80
204: 4822,2574,564
205: 4170,770,4189,3444
206: 1485,3515
207: 2771,3806,2330
208: 3999
209: 3898,1593,3987
210: 3233,5,3785,2208,3737
211: 4247
212: 3464,150,4421,1702,3132
213: 1118,2483,752,1218,1836
214: 3758,3284,1423,2888,1622,2021
215: 3827,3530
216: 3409,2342,2746
217: 3786,1029,2126,1927,1241,1919,3886
218: 1958,2831,3003,322,1462,3661,3207
219: 653,2161,1870,3941,1764
220: 2333
221: 1604,1720,4542,3723,1851,1732
222: 3246,533,249
223: 4162,2828,4806
224: 1816,977,4279,269
225: 3735,3569
226: 2067,4081,1809
227: 2866,1255,1618,4215,1715
228: 2409,4197,4253,1987,3621
229: 1008,2272,2229,3372
230: 3705,3861,2603,3255,2436,2619
231: 
232: 4441,3019,4376,4136
233: 2073
234: 1304,4467,1868,146
235: 3322,3037,3645,4517,3142
236: 301,2112,543,73,2176
237: 4547,4355,1702,513
238: 841
239: 3881,4488,3888,417,3499,4665
240: 
241: 4407,4582,4818,345,3567,2686
242: 165,3035,527,4437
243: 4724,4242,3161,2197
244: 2483,332,874,2456,4655
245: 2159,985,4604,3526,4719
246: 3283,2403,4450,3513,4357,167
4790: 3903,1024,2954,873
248: 2554,397
249: 3397,222,3293
250: 2708
251: 1929,2182,3366,3361,3891
252: 4277,2086,719
253: 3274,4780,3053
254: 801,1916,4799,406,2224,914,4044
255: 3267,4212,3693,2102,2419
256: 4374,1306,753,3134,4464,992
257: 4271,2171
258: 1398,3560,3713,4768,2372
259: 1102,768,4546
260: 1411,4697,2980
261: 2220,23,2681,3721
262: 4781,1901,324
263: 1343,4036,2408,2922,2563
264: 4614,1557
265: 2530,548,4355,1898
266: 8,4681,522
4734: 565,4686,3438
268: 1425,2239,1341
269: 3665,2172,224,1816,977,3434
270: 936,3832,1079,4445,2771
271: 1655,1735,2142,3980
272: 4609,3084,1377,3241
273: 1290,395
274: 149
275: 
276: 3901,954,1658,3651
277: 589,1603,4689,4302,2020,3829
278: 4074,4577,1925,2051,3948
279: 
280: 2930,2360,1942,682
281: 2780,4045
282: 2280,904,4945,610
283: 2482,1628,3851,1160
284: 387,1231,2017,4693,4223
285: 4158,2424,3218,3702,795,864
286: 
287: 690,4251,689,1875
288: 3141
289: 68,3760,3496,2175,3657
290: 2773,1418,49,2629
291: 3757,3352
292: 2959,65,357,2636,3476
293: 603,4568,46
294: 424,3412,3480,1616,3200
295: 2538,1426,1143
296: 2436,919,2619,3289,4658
297: 3271,2761,1090
298: 1885,1806,1646,3370
299: 2972,3222,835
300: 4110,1045,917,4058
301: 236,2112,196,1777,2516
302: 2699,634,3247,910
303: 3801,2306,2459,358,671
304: 3582,2958,4640,4196
305: 3420,1373,1637,1139,4712
306: 786,1159
307: 2520,701,4243,1918,568
308: 1526,559,1595,1277
309: 4420,1533,2033,1430
4805: 4678,3351,2934,3323,1249
311: 924,2355,2465
312: 2410,3978,4645
313: 998,3776,4808
4843: 1316,2495
315: 3546,1073,3694,3285
316: 422,4050,4185,4703,2310
317: 3531,2872
318: 4405,4020,1093
319: 4128,18,4280,726,2048
320: 3086
321: 468,1854,3716,2242,3133,556
322: 2881,794,1462,3003,3592,218
323: 4401,3313,2972,4347,696,2090
324: 1026,154,262,2031
325: 356,1908,2725,3544,4543
326: 983,4417,2897
327: 1623
328: 3761,2720,4429
329: 1286
330: 881,828,4315
331: 4621,4233,2522,3998
332: 4272,1069,3227,2100,2456,244
333: 968,544,1637
334: 4584,1499,3411,3335
335: 
4980: 433,2886,3251,3884
337: 465
338: 2003,3844,2392,2941,3465,1103
339: 823,849
340: 534,3085,1641,3302,1763
341: 2930,976,4812,2360
342: 3133,556,4123,4020,4257
343: 1129,1447
344: 3069,590,3617,3977,4149
345: 3567,3344,241
346: 4180,1212
347: 3707,706
348: 
349: 2056,3787,1200,1433,3009
350: 4210,1920,4602,3675
351: 641
352: 86,1394,755,4057
353: 
354: 3803,694,1896,1956,1440,2966
355: 4592,706
356: 1908,325,4095,986
357: 2636,155,3781,292
358: 3252,2329,4787,2459,303
359: 1415
360: 2853,1257,3964,3682,1501
361: 
362: 4525,1669
363: 646,4439,2789,1348,1815,2578
364: 68,3760,3492,4538,683,1412
365: 1732,2359,4010
366: 1032,3877,4213,739
367: 3595,3305,4340
368: 672,4001,1782,4098,3924
369: 2105,1893,3091,4173
370: 3406
371: 3865,3362,2123,2965
372: 1247,198,3582,2496,2962
373: 1750,144,2350
374: 1559,2638,523,4309,2963
375: 407,732,3846,1670
376: 
377: 464,2774
378: 4271,3055,504,1912,1859,1424
379: 2286,1177,691
380: 4775,4031,3322,2150
381: 137,4599,4791
382: 1131,112
383: 2725,3544,2414,3467
384: 2632,1940,1602
385: 2578,1784,1506
386: 3320,2387
387: 1231,3142,2340,284,3232,2017
388: 
389: 4338,2521,1164
390: 3156,4350,1023,4803,177
391: 2180
392: 2795,2904
393: 4022,3960,2185,1323
394: 2950,4045,661,3367
395: 1290,1487,273
396: 1126,4233
397: 3753,248
398: 119,1242,1163,4791
399: 1012,4270,3691,4640
400: 3364,617,1766
401: 30,666,3605
402: 4399,3827,989,1134,2495
403: 635,3557,4481,4553
404: 962,1119,3722,2245
405: 1456,1237,4620,735,3056
406: 1146,190,478,254,1916,4044
407: 732,375,50,1670,3815,3097
408: 3859,2756,2318
409: 2504,4232
410: 1942,2620
411: 4049,1196,1051,1028,2722
412: 2023,3326,2671
413: 2222,1007
414: 4402,1123,3850,2860,4608,816
415: 857,2279,3750,673,2072
416: 3174,687,1309,3004
417: 593,4285,3499,4668,239
418: 3257,1669
419: 2817,4036,2311,2408
420: 2198,1639,3245,3212,16
421: 4140,4193,4005
422: 316,654,4050,2210,4703
4722: 4917,1983,1500
424: 294,4627,1616,3299,4002,3200
425: 
426: 824,1643,2890,669,1407
427: 2052,4116,1243,4337,183,4201
428: 550,3993,3896,4074,4577
429: 4144,2024,1180,692
430: 3326,3244,1946
431: 3019,3625,3874,2325,3908
432: 889,2571,3550,2155,1087
433: 4980,2886,3251,1994,888,2137,2191
434: 3796,2367,944,4220
435: 4307,1828
436: 13,2391,699,3690
437: 2706,1508,4359
438: 2641,1354,2293,1112,4438
439: 2165,4502,4432
440: 4671,1661,3220,1931,1328,717,1173
441: 3399,995
442: 1394,755,4898,4057,4408,664
443: 578,4467,4624
444: 3788,3020,1945,3351,3323
445: 4022,3960
446: 3087,3697,4709,1016
447: 3889,4674,2034,708,121,2336
448: 
449: 4290,1809,3597,460
450: 803,3540,4314,2441
4740: 4626,4667,1327,475
452: 
453: 2339,1037,784,2005,1302
4733: 4929,610,3253,939,3173,3484
455: 3956,1192,113,664,1394
456: 200,4005,1029,3722
457: 2118,4293,1674,3080
458: 3724,1654
459: 2275,108,725,2129,2871,2664
460: 3579,2951,4290,449,1056
461: 4147,1106
462: 1353
463: 178
464: 377,2923
465: 337
466: 1245,3508,4106,1377,3468
467: 3039
468: 321,1854,3716,4061,2204
469: 2075,2306,1862,4183,2478
470: 4814,761
471: 505,3622
472: 2917,1489,3840
473: 2266,678,785
474: 558,4138,2750
475: 1327,1803,4740
476: 136,1892,2166,1252
477: 1020,1802,4559,1767,531
478: 1146,190,406,4533,2596,1948,1895
479: 1859,4437,504
480: 3453,4379,515,3576,2653
481: 3948,1925,3784
482: 4482,1908
483: 4403,2586
484: 2607,2113,965,2419,4032,2552
485: 2179,4424,1796
486: 584,3403,1512,2257,4341,1745
487: 2211,2874,171,1408
488: 3092,4755
489: 2604,4291,2649,4076,1541,1570
490: 1986,2369
491: 4398,1620,971,1441,1419
492: 2037,4810,3331,2104
493: 2327,1388,1022,3178,4542,3723
494: 4163,1855,1713,3374,3543
495: 909
496: 724
497: 4382,3533,2488
498: 163,2053,3607,1684,3335,4384
499: 2768,4267,1746,3072,3554
500: 2650,4130,1905,2326,2631
501: 3537,815,778
502: 1991,2658,3689,792
503: 2210,3358,4766,2804
504: 165,4224,1859,479,378
505: 2692,3622,471
506: 4562,3669,1750,4218
507: 3044,2497,2981,639,4258
508: 1545,1440,1896,2977,4182
509: 4785,4751,4081,4297
510: 1859,1424,4386,3519
511: 3794,846,4036,2311,2922,1704
512: 819,3789
513: 1702,3551,237,4547,4289,3581
514: 3361,3586,1548,1070
515: 3576,2653,480
516: 2524,1665
517: 1912,4224,2399,1133,564
518: 713,2877,50,660,2209,2346
519: 4115,4512,3799
520: 4255
521: 4363,987,1076,2995,57,1410
522: 3187,3679,266,1610
523: 2638,979,73,374,2963
524: 3288,2092,4177
525: 892,625
526: 1481,2383,1628
527: 2256,1882,3806,242,165
528: 729,153,4178,933,4193,1600
529: 4072,2589,3744,1506,4714
530: 1176,2819,1803,3191
531: 2646,1120,477,1982,1767,4490
532: 830,1599,2263,1763,649
533: 3246,222
534: 3085,340,988,2938
535: 3401,3740
536: 3812,3842,921
537: 2463,1128,3773
538: 3306,2398,2731,2904
539: 2505
540: 3710,2615,1425,1952,1341
541: 1721,1079,658,3693,3832
542: 805,3970,1311,2838
543: 979,73,1937,236
544: 3420,1373,3911,3677,1748,968,333
545: 2786,2778
546: 3276
547: 4821,4494,4184,2748,3604
548: 265,4355,1898
549: 1923
550: 428,1638,826,4074
551: 4750,707,1315,2630,2582,2474,102
552: 2920,952,2328,3279
553: 1590,1081,2896,587,1814
554: 3535
555: 883,3997,2551,3859
556: 342,3133,321,3716,4257
557: 886
558: 474,2750,1201
559: 2319,308,1526,2595,4598
560: 4152
561: 4600,4062,3780,2049,1226,907,4503
562: 1578,2252,4286
563: 
564: 1996,1133,4822,204,517
565: 4734,4686,3310,3771,3438
566: 1930
567: 3273
568: 4096,307,3158
569: 1425,1952,2647,3472
570: 1711,11,3545
571: 2273,4484
572: 3418,3692,3698
573: 2853,3759,1884,3893,1257
574: 1043,3127,1680
4803: 3259,2151,2715,1023,390
576: 3609,3199,1985,868,4534,2931,3280
577: 1564,3300,2915,712
578: 443,4624,3104
579: 2678,1068,2250,4505,2889
580: 939,1198,2133,2697,1677
581: 4739,3485,4312,1878,3968
582: 178,145,4500,4315
4699: 4053,3686,3036,3400,3914
584: 486,3403,2614,4533,1745,4647
585: 1400
586: 588,2199,1927,3171,4198,1241
587: 2737,3629,1081,553,1814
588: 586,2199,4112,4198,3777
589: 277,1603,3829,3250
590: 344,3977,3154,663
591: 103
592: 3799,4160
593: 417,4551,4285,3071,4665
594: 2639,161,1935,3061
595: 1596,1960,1821
596: 2016
