0: 2691,4006,165,3731
1: 1491,2066,3642
2: 4204
4812: 391,2269,2930,3221
4: 
5: 4499,2480,3349,1381
6: 1002,792,4206
4620: 405
8: 4137,4519,3403,1492
9: 933,1864,3709,939
10: 3318,925,143,646
11: 1885,1204,2601
12: 1711,3470,4334
13: 373,4591,20,1770,816
4608: 77,2613,4670,708,927
15: 1944,844,2840,2611,4310
16: 4221,1476,818,2848
17: 4109,2543,2307,1802
18: 3722,766,2581,2127,459
19: 3378,1621,441
20: 373,13,816,3227,2712,2528
21: 1577,4369,3357,1001
22: 1382,2301,4376,4386
23: 3239,2777,4816,644
24: 2315,2139
25: 1827,561,1397,654,2346,4494
26: 1215,3232,1465,3691
27: 1654,3614,1360
28: 1669,2534,4065
29: 
30: 3086
31: 369,4407,848
32: 4070,3970,3713
33: 2277,4815,3379
34: 4655,1738,1980,4343
35: 879,2435
36: 1310,1617,3418,890
37: 2412,1233,2173,3187
38: 2019,1780,930,2536
39: 4529,2252,562,4606
40: 3395,304,4339,3734,3355,832,4222
41: 3592,2751,2362
42: 
4669: 2704,4434,1485,2155,1850
44: 4240,3805
45: 142,3516,1357,2217
46: 118,3223,4171
47: 3692,374
48: 1838,3812,4283,4257,1458
49: 1277,1767,2788,4139,64,1080
50: 4174,1114,2533,2451
4776: 2892,228,1782,1325,4043,2465
52: 1207,3296,2749,1120,590,1633
53: 3408,58,2726,4587,3136
54: 3732,1829,2372,848
55: 618,3225,664,308,1059
56: 351
57: 349,469,380,1461,2351,2305
58: 53,3408,3478
59: 2614,178,923
60: 3542,3661,571,1157
61: 3425,2268
62: 2045,83,1773
63: 594,1924
64: 3259,846,1080,1277,49
65: 235,1223,1406,783
66: 153,871
67: 1015,1484,4539
68: 3496,1558,1396
69: 437,3107,1303,3659,2841
70: 
71: 1556,2424,4517,788
72: 298,111,2415,3269,1307
73: 519,3433,3226,4613,1004
74: 
75: 2095,4158,285
76: 4540,1741,1234
77: 4079,4608,4486,4258,2613,878
78: 1555,2395,604,653,1394
79: 2953,2347,2999,310
80: 4798,4314,4602,4062
81: 575
82: 2368,3552,4609,2083,2987
83: 1680,62
84: 2797,2610,1253,3089
85: 375,1687,1873
86: 3939,2468,4514,3053
87: 2010,2975
88: 1129,4171
89: 4270,1577,2552
90: 3861
91: 4459,2113,1168,2670
4616: 1927,319,4193,1648,1198
93: 3574,3588
94: 2829,2453,2252,4120
95: 471,1224,2725,918,2054
96: 356,2163,4292,2671,1889,3656
97: 445,1756,1308,906,3915
98: 4805,4535,671
99: 3156,2208,4198,2560,2672
100: 2670,1550,3471
101: 2688,1745,567,1490,1793
102: 4687,4758,152,3182,3458,1279
103: 3452,1081,2147,963
104: 4092,4346,2583,4528,439
105: 4045,4108,2950,3222,3802,3413
106: 
107: 4571,494,3338,3492,4660
4768: 2469,4461,4741,1609
109: 998,1164
110: 3451,4272,3746,2350
111: 4149,72,3200,2106
112: 410,2806,1472
113: 4604,1149,2412,3187
114: 2467,501
115: 
4662: 4067,4480,1947
117: 689
118: 1167,46,4171
119: 3989,3557,4314,806
120: 2430,1304,2686
121: 2485,2013,4670,2068,3759
122: 2667,776,1852,4378
123: 4557,3108,1849,1123,628
124: 586,4183,1161
125: 4276,2676,4622
126: 855
127: 3476,4637,730,4668
128: 4767,955,2971,1628
129: 4495,3942,1538
130: 3205
131: 1806,175,2760,190,3550
132: 3834,1939,961
133: 2656,2041,5048,4148,4946
134: 3966,1620,1886,843,4518
4665: 1840,4343,3233,4135
136: 924,1324
137: 
138: 823
139: 589
140: 772,2628,1173,363
141: 4412,1456,757,1659,4286,1363
142: 1751,45,3128,3516
143: 925,10,4319,646
144: 1022,4488,3785,4391
145: 3117,2432
4802: 612,3389
147: 1626,2899
148: 1561,2386,4356
4787: 2861,2654,710,540
150: 1457,4590,183
151: 4687,1315,2606,2001
152: 154,4797,3586,1279,102
153: 66,871,3807,3977,576,1376
154: 152,957,2789,3586
155: 1288,3930,1028,2878,953
156: 4505,228
157: 1752,1539,421,2857,2426
158: 4236
159: 4469,2514,4348,1914,2159
160: 4518,4316
161: 237,453,2340
162: 4719,4649,4137,1492
4614: 3398,1652,866
164: 3572,1425,3359,3332,3869
165: 2523,2659,3335,3731,0
166: 3497,1423,2115,3408
167: 2480
168: 1263
169: 248,3994,3040,3371
170: 3415,521,2306,2961
171: 4704,3351,335
172: 2139,4814,1075
173: 1856,3355,1104,3746,3734,733
174: 4517,788,875,333,3573
175: 1806,131,3412,2117,190,3550
4798: 80,2414,3967,1367,4653,4543
4715: 
178: 2614,59,339,184
179: 4808,676,2361
180: 
181: 2358,1294,1486
5047: 2497
183: 4651,2424,150,3505
184: 1481,339,2614,178
185: 4026
186: 3931,3707,1561
187: 960
188: 4698,2723
189: 247,1450,1558,438,4036,4643
190: 1860,3550,1616,789,2117,175,131
191: 4552,2777,2883,3170
192: 2194,1876
193: 1202,1307,3405,3859,2415
194: 1759,1158
195: 3798,1817
196: 820,600,990
197: 2000,302,1680
198: 4207,3149,1183,1474,1970
199: 1003,1511,288
4558: 375,2659,2443
201: 1430,3914
202: 
203: 1961,3446,1390,1910
204: 1432,479,1256,860,2919
205: 2228,345,924,1779
206: 266,3463,1109,1297
4706: 
208: 1244
209: 1430,2880,1997
210: 1211,739,1465,3350
4753: 2575
212: 3150,2198,4595,1030
213: 2552,702,4263,4686,2908,2717
214: 2878,2866,4221
215: 2817,1016,2818
216: 1032,3416,4636
217: 4350,459,2581,1275,726
218: 3074,2904
219: 3711,2103,3214,2956
220: 4564,749
