0: 911,4464,4532,3455
1: 4476,1079,2258
4450: 1245,565,466,1337
4812: 
4: 2467,3805,485
5: 372,1465,739,2206,2051
6: 3689,792,1781,445,3653,3839
4620: 3059
8: 3240,3053,3424,1300
9: 124,3530,2857,528,3979,4668
10: 2854,772,3318
11: 2920,3101,2588,1477,2282
12: 17,4603,1386,4110,2545,817
13: 461,3959,229,2199,2664,3379,4726
4608: 2485,419,3227,3024
15: 4289,2611,1766
16: 1302,2241,818
17: 3470,4603,12,2493
18: 2497,3959,229,3722,373
19: 3194
20: 1257,419,2860,3227
21: 1395,4584,4212,2657
22: 3750,3806,4263
23: 1843,666,2883
24: 
25: 1668,3784,2962
26: 2926,3339,4048,1957
27: 3732
28: 3864,2331,946,4138
29: 
30: 1331
31: 3905,3560
32: 543,374,780
33: 3988,3657,1641,2559,121
34: 733,4222,3395,3355
35: 1531
36: 342
37: 2179,3269,1745
38: 3201,1569,1757,1922,2464,3331
39: 2184,81
40: 1706,2374,1145,3734,3262
41: 784,949,2848,1881,529
42: 
4669: 2159,218,801,1109
44: 1210,2281
45: 3772,1672
46: 2651
47: 1667,3184,4167
48: 2531
49: 4724,1704,2545,952,3794
50: 1873,4588,648,1967,3097
4776: 633,1869,2561,1325,2284,4313,3411
52: 3870,4057,2967
53: 57,3434,2351,774,2305,904
54: 3560,1135,2372
55: 2969,1414,3412
56: 1847,1422,1987
57: 53,3434,1888
58: 3510,2726,2351,3801,904
59: 815,2170,2869
60: 1618,3098
4539: 4290,2587,1809,1411
62: 1149,567
63: 1924,594,3056
64: 889
65: 3232,2995,1457,4046
66: 3095,791,3756,2119
67: 
68: 3014,373,3492,878,816
69: 416,2479,3107,2411
70: 2555,3327
71: 3243,1351,4203
72: 1248,164,2444,2415,2357,3403,809
73: 2220
74: 
75: 4723,3996,2346,366
76: 1046,2707,411,2770,1463
77: 3626,121,4571,1086,4258,2068
78: 2117,3108,507,3875
79: 1122,3400,3713
80: 2049,3632,3426
81: 2184,39,2650
82: 1126,1524,3103,3815
83: 2675,2380,4493,2328
84: 1693,759
85: 4663
86: 2254
87: 
88: 4427,3695
89: 165,4705,4785
90: 4507
4821: 1270,119,2368,1883
4616: 3827,3315,4102,4118,3777,2563
93: 
94: 3900
95: 2592,2054,4695
96: 
97: 764,3796
98: 2986,815,2224
99: 1388,2298,221,2072
100: 1168,3465,3822,3636
101: 1984,545,531
102: 977,4760,3915,3342,656
103: 862,3181,4352,963
104: 1420
105: 353,1014,1482
106: 1971
107: 1822,3543,3792
4768: 572,4309,125
109: 3439
110: 3372,1116,3734,1145,3619
111: 1516,2749,1633,3447
112: 3027,3491
113: 3240,4294
114: 2591
115: 1716
4662: 675,350
117: 
118: 3352
119: 1270,4821,2368,2987
120: 187,1484,2590
121: 77,3626,4571,1086,33,3657
122: 3783,128
4455: 2697,2015,1647,4659
124: 3102,9,3979,4668,896
125: 2218,523,4309,4768
126: 
127: 4589,723,3095,3756,402
128: 776,3783,122
129: 389
130: 1729,4325,797
131: 942,1588,632
132: 1659,3841,2473,3254
133: 4642,1964,1585,1777
134: 4587,1406,4285,4682
4665: 4252,4228,677,1022
136: 3812,2204,3363,2355,3567
137: 
138: 1332,1160
139: 
140: 3034,3720
141: 280,4259,2095
142: 2466,2376
143: 1591,4458,2789,3493,469,269
144: 935,1200,3556
145: 3098,4484,582,2132
4802: 3189,1426,1590,2838
147: 869,192,3631
148: 
4787: 4016,1736,1348,2239,2742,823
150: 1205,1141
151: 4319
152: 2789,3493,2702,2582,3458
153: 933
4449: 1137,4098
155: 4426,1449,1985,2751,1255,392
156: 3605,4291,2828,2344
157: 528,4381,1844,891,2857
158: 2829,617,2360,1686,2504
4482: 1304,1863,4624,3426
4429: 
161: 355,3150,894,1853
162: 3901,985
4614: 1652,2960,1478,613
164: 1248,2444,72,4701,1982,809
165: 89,213,4085
166: 303,1476
167: 561,2764,3047
168: 4496,4634,2501,547,4095
169: 2320,944,4807
170: 3801,2305,1476,2137,2198
171: 2938,1885,604,2920,3101
172: 2522
173: 3513,729,2168,3355,2420
174: 3322,400,3218
175: 3412,2970
4798: 2049,3632,3774,3642
4715: 
178: 1485,4151
179: 768,2524
4534: 3640,4637,1405
181: 2251,3384
4360: 1503,1095
183: 1556,1748,3135
184: 2109,778,3997,1332
185: 3606,1250
186: 1977,3707
187: 120,3660,2590,1645
188: 1803,4558,2723,556,720
189: 4280,1059
190: 477,2760,590,3065,618
191: 592,4552,196,4650
192: 1876,147
193: 276,883,3296,2032,1653
194: 4168
195: 2087,852,1817
196: 592,4552,191
197: 1300
198: 2758,1970,4640
199: 991,2720,1582,1203
4558: 1803,345,188,1382,4376,2723
201: 4380,4115
202: 
203: 1185,558,3616
204: 2608,3432,3647,1133
205: 890,1431,2819,1314
206: 1064,3858,3539
4706: 4249
208: 
209: 602,4658,2112
210: 1441,711,2926,357
4753: 
212: 932,1675,4279,3915,4770,656
213: 4006,2659,165
214: 1575,1051,640,730
215: 3910,1241,4406
216: 1433,643,3882,654,1063
217: 459,930,2497
218: 689,3437,4469,2159,4669
219: 1932,2123,1870,2211
220: 2661
221: 3873,2627,2127,99,2229
222: 557
223: 2856,4414
224: 646,1799
225: 4062,3989,3557,2441,1321,2757
4485: 2653,4477,3814
227: 290,2967,1449,3899
228: 2250,1325,1327,2409,4505
229: 13,3959,4726,3722,18
230: 2853,708,1662
231: 2910,330
232: 3486,2502,1253,810
233: 1846,2281
4394: 4291,4405,4166,3580,3050
235: 4333,3415,4708,4003,3571
236: 1623,1342
237: 906,3261
238: 2490,3214
239: 4725,3758,4159,2864,3667
240: 1111
4499: 357,1926,3644,2206
242: 2771,4029
243: 2874,1907
244: 752,1539,365,3287
245: 2109,3015,2457
246: 1649,4703,2374
247: 4680,4728,1228,4557,3161
248: 4743,1371
249: 519,1621
250: 1527,3576,2271
251: 2606,4275,1929,3212
252: 2097,1905,2012,2484,3573
253: 4267,4720,1875
254: 3045,2248,3712,4187
255: 2898,3350,3142,1841
4469: 2421,2159,268,218
257: 635,3147,1000
258: 3196,2574,2156,4330
259: 4689,693
260: 379,4136,3321,4271
261: 3373,2929,1199
262: 4565
263: 436,2719,1770,2213,1001,1180
4484: 145,3098,582
265: 2658
266: 4736,2341
4586: 1200,4682,4398,956
268: 2551,2159,2795,2421,4469
269: 2859,568,143
270: 2552,4369,3836,2100
4684: 
272: 1668,4634,4444
273: 2044,4794,624,844
274: 4749
275: 771
276: 883,193,406,884,2032
277: 4546,3428,2644,604
278: 4188,4369,1854,332,2552
279: 596,3634,2398,4767
280: 3633,141,3940,3618
281: 4370,1727
282: 4659,1174,1742,2477
283: 501,4066
284: 549,2530,2754
285: 4700,3477,2632,1238,898,1359
4637: 3640,3310,4534,4518,1406,2052
287: 3074
4355: 4693,2424,437
289: 3603,2313,1937,1884
290: 2738,227,2967,1028
291: 
292: 4337,4101,3110,1494,3436
293: 2317,2263,2973
294: 1136,3612,2570,3795
295: 1422,2200,3845
296: 1540,3817,2900,4622,2676,2338
297: 1198,1241
298: 2794,408,1653
299: 3367,3872
4680: 3875,4728,3374,247
301: 374
302: 4354,2775,3187,4719
303: 166,1476
304: 729,3355,4222,1413,1600
305: 398,3743,1827,2784
306: 
307: 4337,2062,1067,3144,2442
308: 2922,3018,1437,3475,2788,3225
309: 4166,4618,919,922
310: 
4523: 4489
312: 1693,413,3486,4796,2502
313: 335
314: 1249,1520,3811,1062,3788,1019,3941
4811: 1868,3790,1329,4365,2209
4507: 351,90
317: 865,4551
318: 1177,4512,468
319: 632,664,1343
320: 1132
321: 4461,3312,1724
322: 3888,4535,569,3710,1065,1958,3472
323: 1976,3494,4208,1566
324: 490,4281
325: 4330,3410,1678,2677
326: 1793,2248,3712,4094,2768
327: 1140,3662,1129
328: 1682,3911,1827
329: 1589,2429
330: 231
331: 1883,4091
332: 2552,1836,278,4306
333: 968,427
334: 3391,1685,475,4142
335: 2390,1595,313
4652: 1764,3362,3999
337: 2774,2365
338: 4806,2856,1034,3292
339: 522,486,849
340: 2311,1277,2117,3108
341: 1861,1567,795
342: 1617,36,4063,3724
343: 3214,3116,2418
344: 580,3530,1488,2857,4589,586
345: 1803,4558,1382,4376,2776
346: 4158,734
347: 3717
348: 1131
349: 2043,888,385
350: 675,4662,3906
351: 945,2988,4507
352: 2601
353: 105,3038
4564: 2242,1458,3894,2743
355: 4124,161,3150,1853,3645
356: 1027
357: 2078,1969,1926,2926,210,4499
358: 3592,742,2866,4508
359: 3060
4682: 4586,1200,3556,134,1406,4285
361: 
362: 
363: 440,1852,2628
4597: 2084,3218,4763
365: 244,1539,1198,1388
366: 4636,2346,75,1018
367: 4261,4171,1078
368: 3431,4679,1305,4282,917,2842
369: 2202
370: 4503,1144,3745,450,1930
371: 4511
372: 1381,1465,5,2480,3297,739
373: 3014,68,18,2497
374: 301,32
375: 4085,4386
376: 764,2979
377: 589,748
378: 3017,2947,1581
379: 260,1306
380: 1141,2198,1091,1998,2500,521
381: 2893,2414,695,3916,3106,1546
382: 4442,3114,3180
383: 2557,1708
384: 3565,675,1456,3446
385: 349,3825
386: 
387: 1127,888
388: 
389: 129,812
390: 1677,891,2212,723
391: 4184,2720
392: 2353,1288,432,2751,155,913
393: 
394: 2138,1921,4568,2674
395: 2463,2413
396: 3745,806,450
4398: 2062,956,4586
398: 3743,305,3675,1827
4568: 2674,394
400: 3322,174,3630,2989,2841
4741: 769
402: 1051,3231,3756,127
403: 811,1432,4154,2077
404: 3968,3024,2968,4580,4312,3793
405: 
406: 276,1425,1307,4149,1632
407: 1133,2111
408: 298,1653,3296,3200
409: 1761
410: 3828,2806,3491
411: 1046,2707,76,4714,3209
4623: 1479,451,2129,1183,1738
413: 312,759,1369,3067
414: 3711,4086
415: 4198,2280
416: 69,2424,4203,437
4464: 911,0,2228,1276,1190,2256
418: 
419: 4486,20,1257,3227,4608
420: 3502,1399,2722,1315
421: 871,4118,3827
422: 4142,2804
423: 2073,2894
424: 3333,4557,3161,4280,1059
425: 2045,2358,595,2309
426: 
427: 3005,3232,2572,968,333
428: 4270,2823,4386
429: 4377,3715,1168,1550,3636,2181
430: 1027
431: 4077,3625,918
432: 2353,392,2182,1196
433: 971
434: 2402,3207,440
435: 4037
436: 263,2275,2719,1770,1569
437: 1009,2424,4355,416
438: 1312,3591
439: 
440: 363,3207,707,434
441: 994,519,1529,4661
442: 
443: 3913,1131,4814
444: 1294,1793
445: 3653,3839,792,6
446: 2817,3287,2818,752
447: 3987,4740,3823,615,541
448: 1790
449: 3234,3321,2325,4764
450: 4777,3745,396,4503,370
451: 4623,4733,2129,493,4488
452: 2162,2912
453: 2479,3382,4310,2779,2411
454: 1900
455: 1616,1806,2393,1080,2715,3230
456: 4591,931,4219,3714
457: 2575,3773,2914
458: 3866,2638,2333
459: 217,930,2249,2734
460: 1276,1190,3091,1424
461: 13,3959,3492,2664,4554,4079
4396: 
463: 
464: 3121,4088,574,2412
465: 2257,2292,3563,2626
466: 4440,1789,4600,4450
467: 4336
468: 4512,3303,3115,318
469: 4468,1816,2789,143
470: 2107,3383,822
471: 
472: 641
473: 2751,1146,569,3559,1196
474: 2346,3677,4801,2086
475: 1973,2839,2918,3832,1118,334
476: 
477: 3550,190,2794,590
4487: 2087,1817,3561
479: 4562,3419,3178,2533
480: 
481: 1687,1232,2443,1874
482: 4365,1868,1670
483: 2315,2997
484: 4591,4625,3964
485: 3805,4
486: 339
487: 2014,882,3279
4719: 1512,3982,302
4699: 1105
490: 4281,3741,324
491: 2359,2868,2758,670,3268,4531
492: 673,2678,4253
493: 4135,4488,2540,3314,4733,451
494: 1842,3546,4239,2069
495: 3279,2486
496: 1781,932,1675
497: 829,3916,4106,1655,4621
498: 3987,4806
499: 
500: 2150,2584,3132,1303,2116,2870,2084
501: 2774,283,2281
502: 4277,1702,2779
503: 670,3268,1604,4213
504: 3832,4409,2523,1118,3109
4619: 839,937,701,3488,2607
506: 1789,4600,2609,2310,1638
507: 889,1277,78,2117
508: 1359,2396,4700,3064
509: 3579,1092
510: 4532,4081,1845
4387: 2211,1870,1676
512: 1697,744,3628
513: 2518,2264,1053
514: 1234,710,4797
515: 
516: 3872,2291
517: 4766,2131,4712
518: 2047,732,2310,860,1638
519: 249,1529,1621,441
520: 
521: 1127,1998,380,1141
522: 339,849,2637,4671
523: 4309,1782,3970,125
524: 714,4204,4249
525: 4664,2236
526: 3651,4090,1698,873,2647,3663
527: 704,2110,2464,4475,4578,3331
528: 157,4381,3979,3530,2857,4010,9
529: 1010,41,1881,1436,2115
530: 2793,3584,4414
531: 545,1984,101
532: 4527,4015,2187
533: 2953,2798
534: 3843,3151,631
535: 1718,3128,1335,946
4461: 321,3312,990
537: 
4622: 2892,2900,1627,296
539: 3489,1347
540: 4439,2861,1436,908
541: 4806,2856,447,3987,615
542: 995,1421
543: 4404,32,780
544: 3416,3907,1567,4041
545: 101,531,2688
546: 
