0: 2919,4006,1189,428,3125,2089
1: 1664,3172,2652,2047,4194
2: 1934,4464,563,431,264
3: 3958,2949,3903
4: 
5: 3737,670,1886,1637,4003,956
6: 2943
7: 467,1509,3134,3593
8: 2132,2159,2114,4240
9: 2478,4668,1194,640
10: 2449,3661,92,4192,3137
11: 4234,3211,3169
12: 1743,4024,3412,2545,3727,2922
13: 1025,3655,163,2761
14: 2279,4322,1684,564,2167
15: 2800,2754,4646,4355,4359
16: 3966,214,3199,166
17: 2309,1408,1097
18: 1103,1395,2885,974,2344
19: 2010,447,3417,4079
20: 673,2019,1001,3500
21: 2885,2102
22: 2560,729,3793,4339,2483,2245
23: 4783,2798,666
24: 1269,1889
25: 366,4138,3358,1956
26: 4531,4196,3350,210,3781
27: 
28: 2940,1050,3740
29: 3520,4564
30: 3840
31: 413,4143,4376,4107,492,1013
32: 1325,3490
33: 4724,2151,2882,3792
34: 2272,4276,3267
35: 991,3141,2099,4811
36: 1999,2181,4253,2677,2443,853
37: 2144,4354,1543,464
38: 1069,1180,1116,3714
39: 391,1487,771,1345,2184
40: 2915,583,2958
41: 2702,1010,1449,66,1332,3336
42: 
43: 1282
44: 465,2440
45: 4547
46: 1707,2842,661,394
47: 2487,1631,611,592
48: 2338,369,1634
49: 2787,3854,584,4305,618,984,738
4807: 2979,2589,4632,1815,4319,3510
51: 4527,2834
52: 4805,101,3821,1984,3296,1948,4149
53: 2630,893,1862,3110,2859,1205,2500
54: 2169,1892,1724,2046
55: 3290,1016,2563,1879,3470
56: 
57: 150,3037,4223,783
58: 3497,1134,4072,3337,871,663
59: 184,92,2321
60: 233,3463,1328,2910
61: 4512,3686,1489
62: 2243
63: 771,3573,575,2130
64: 315,2558,3266,2887,4094
65: 4284,2326,3037
66: 1563,2191,41,2702,433,1332
67: 348,4550,3998,1808
68: 177,1388
69: 558,1172,698,594,2450
70: 
71: 1880,2342,3218
72: 4055,4659,3530,610,4102,2934
73: 1621,3782,236,919,2964
74: 2810,3433
75: 3879,3825,3174
76: 4039,1901,1900,1695
77: 1475,1019,633,419,4680,4036
78: 2486,3116
79: 4684,2446,533
80: 328,1404,280,1910
81: 2210,3596,1392,503
82: 1329,3669,3647,3204,1276
4711: 2731,1328,2239
84: 4818,2980,3732,4154
85: 3163,1382,3335,1999,2181
86: 1514,444,3856,326,1592
87: 293
88: 230,3924,2876
89: 2072,1980,965,4369,3355,2627,2836
90: 4666
91: 2712,4312,1413,2168,3619
92: 4192,59,3661,10
93: 
94: 4811,4606,829,3208,2515
95: 1478,2377
96: 2790
97: 1002,2128,4485
98: 3859,2647,1372,4187,1288
99: 874,1375,4252,4573,1289,229
100: 874,1375,3488,3685
101: 4805,3403,3351,52,1984,3323
102: 2031,385,4758,3665,2462,1756
103: 
104: 1746
105: 2485,3861,963,830,3452
106: 3598,3683
107: 1029,3550,2562,588,3822,3087
108: 364,1113,900,2129
109: 425,1826
110: 2004,1980,3164,3832,965,2836
111: 3697,3068,455,4678,2850,3154
112: 4610
4791: 3868,149,443
114: 
115: 2453,3383,3286
116: 2057,480,892
117: 1157,4736,1914
118: 557,1244
119: 1144,4467,146
120: 396,986,1304,1350
121: 295,2274,3282
122: 2848,4694,3346,4090
123: 1641,3333,917
4680: 3496,1396,2125,77,4036
125: 837,1325,4306,1671
126: 736,3219
127: 2442,4161,4451,4691
128: 514,529,3592
129: 
130: 2008
131: 3712,3359,3534,1906,1288
132: 1125,637
133: 721,3367
134: 1613,3654,3342,4119,2479
135: 1348,730,4381,2878,1647,3930
136: 2136,3716,837,1757
137: 3059,381
138: 2267,3122,526
139: 3120,4720,4385,4417,1490
140: 1644,2417,1429,231
141: 606,654,1524
142: 827,4289,3804
143: 2680,2198,4064,2203,3608,4595
144: 3227,930,2535,2229
145: 1355,828
146: 1144,119
147: 496
148: 2394,897,1057
149: 4791,3868,2806,2252
150: 57,4223,2150,3785,235
151: 4687,1971,1254,3741,2854,4325
152: 4779,2992
153: 4135,4524,4399,4591
154: 3895,1749,1698,2591
155: 2481,4668,3314
156: 4188,1782,3014,2275
157: 971,1648,2426,1990,3715,1720,1794
158: 3990,2074,3030
159: 1544,4066
160: 3051,3751,2362
161: 3278,4657
162: 439,910,302
163: 2858,2761,1008,13
4762: 4585,1318,2685,3808,3362,835,1164
165: 2037,334,4428,4330,3553,3115
166: 908,16,214,4388
167: 4252,4573,404,4536,4655
168: 1185,844,1686,4259
169: 2182,2992,3193,3606,1453,3192
170: 292,2306,3839,3209,3754,2316
171: 2844
172: 356,744,2809,1915
173: 1856,3882,3451,3674,3571,3395
174: 453,1074,3645,2459
175: 3353,1307,3794,3068,1632
176: 1953,4507,2891,981
177: 68,1780,1388,891,2408
178: 520
179: 4105
180: 2811,797
181: 3370,3971,3206
182: 3744,1862,2351,2031
183: 3377,2572,2056,1032
184: 59,2949
185: 
186: 2727
187: 3913,2232
188: 3780,838,2100,3577,3981
189: 2581,2711,2277,573,2178
190: 1520,3296,2224,3821,2778
191: 3933,2046
192: 1580,3119
193: 889,3108,2543,3985,3811
194: 2643,2916,4561,4137
4771: 3770,2235,4250
196: 601,2634,2939
197: 
198: 1200,3438,4161
4796: 1252,2909,3874,1938
200: 2898,1738,4686,215,1840,826
201: 1627
202: 3307,3651,1451
203: 
4794: 1359,879,3630,4182,609
205: 4692,2499,3445
206: 1785,287,2756,809,339
207: 2346,3641,2067,4756,3846
4785: 3824,1630,2324,4297,4189
209: 4428,3553,3512,2696
210: 3936,1479,3781,4213,26,3350
211: 4314,4482
212: 765,3453,2463,355,1536
213: 4038,4185,3523,701,4821
214: 2369,4049,16,3966,908,166
215: 200,2898,4686,1840,2672,826
216: 2767,3911,795,4823,3881,2864,1905
217: 4625,2015,3975,4524,4733,4709
218: 1598
219: 3313
220: 4552,2093,1147
221: 4709,2015,1319,451,1136
222: 3904,631
223: 2999,2996,4820,2250,498,3217
224: 227,710,2967,4209,1234
225: 2441,3234,1039
226: 3277,4520,4403
227: 1998,224,647,710
228: 2200,3057,2603,3050
229: 3771,1289,1375,99
230: 88,2519,3924,1725
231: 4176,140,2417,4484
232: 1133,1824,4539
233: 60,2628,2910,3537,3306
234: 4644,2368,2107
235: 4316,1933,2305,3142,4223,3785,150
236: 523,2964,73
237: 2754
238: 2679,2780,1467
239: 935,4488,1583,4665
240: 4307,1349
241: 4257,2752,770,4085,3905
242: 2847,3806,2683,1369
243: 487,3545,4139,1595,2600
244: 2508,493,1720,1794,3102
245: 4137,3634,1796
246: 2918,2609,1247,255
247: 3038,4449,2640
4698: 4383,3842,530,4218
249: 
250: 3082,2356,1807
251: 4090,715,434
252: 1991,2800,3825,624
253: 4502,1064,3856
254: 2742,2353,1384,2106,2751
255: 3523,246,1247,4185
256: 918,4473
257: 2422,973,2171,3393,2980
258: 572,4768,2136,3344
259: 1596,623
4693: 1448,357,1494,1974,1265
261: 4307,4672
262: 2236,445,3270,448,3148,1626
263: 4242,494,4643,3893,2570,2013
264: 1824,4029,2
265: 4201,3232,513,4101
266: 2243
267: 
268: 845,569,2514,1255,2753,3663
269: 513,3608,4042,1469,1243
270: 2024,3139,4218,3955
271: 739,4091,4621
272: 3180,4644,2368
273: 1186,418
274: 350,1546,4480,3540
275: 
276: 4780,985
277: 552,4742,2158,1802
