0: 3600,2416
1: 1955,4476,648,4588
2: 4473
4812: 4771,2852,575
4: 
5: 1441,711,2051
6: 1580,3518,1308
4620: 682,2700
8: 1512,2775,4649,984
9: 1864,896,3979,66,124
10: 2537,3744,3751,4439,4027
11: 2120,4368,2920,1885
12: 1767,4239,817,340
13: 2581,4633,373,5047,461,217
4608: 4402,77,4486,2485
15: 3382,3654,2479,4597
16: 2878,358,1661,1184,3460
17: 78,1555,1394,2311,1277
18: 3171,4193,3878,2293
19: 1439,2407,4684
20: 1412,2485,4596,3626
21: 4428,3191,270,492
22: 4376,4386,1874,4085
23: 2777,4552,1360
24: 
25: 605,1507,366,2370
26: 1465
27: 4268,3170,861,2998
28: 3473,4331,624,1669
29: 
30: 1213,2832
31: 369,4564
32: 3970,2880,2094
33: 927,2613,4258,4486,2485
34: 40,3513,1145,3355
35: 4200
36: 4461,3303,1724,1609,2204,2460
37: 984,2328,4604,1512,1149
38: 3636,1180,2885
39: 562,2504,4454,4120
40: 34,3513,832,304,2496,4623
41: 2339,2362,818,1775
42: 3140
4669: 3298,4132,2551,1651
44: 501
45: 3740,1672,2376
46: 1727,1167,87
47: 1311,1667,1631,3692
48: 3133,2793
49: 889,1228,1767,1608
50: 1337,2111,1955,1114,2258
4776: 523,1869,4276,228
52: 3870,2738,4805,2230
53: 2726,3434,1476,4014,4714
54: 3032,4564
55: 1249,2969,1372,3811
56: 3226,472,4613
57: 2351,170,1783,1998,3801
58: 4913,1998,4587,1620,2351
59: 1175,138,815
60: 3098,4484,3117
4539: 4553,2067,4764
62: 738,3424,1225,2045
63: 594,976,575,3254
64: 1606,1608,1588
65: 3009,912,333
66: 1418,3979,1161,1864,9
67: 1435,1434
68: 878,4036,4726,4554,4079
69: 3630,1309
70: 
71: 2411,4823,3236
72: 3572,164,2444,883
73: 3664
74: 
75: 1659,346,341,864,4259
76: 529,1881,4540,2241,1010
77: 4608,2830
78: 2493,17,1555,2146,3956
79: 2542,1681,4380
80: 2757,3522,2441,396
81: 609,1238
82: 1546,2893,3675
83: 2328,1857,4417,1542
84: 3486,1601,312,3912,1774
85: 1687,2691,2804,510,4170
86: 3053
87: 1167,4666,46
88: 3929,1129,367
89: 213,2024,702,1577
90: 1132
91: 223,655,2785
4616: 3290,1496,1619,1016
93: 
94: 4236,4120,195
95: 
96: 
