0: 3846,4174
1: 1668,1118,3419
4450: 2764,1682,3524
4812: 
4: 
5: 3030,561
6: 1061,448
4620: 735
8: 
9: 891,3976,4659,865,2549
10: 4767,16,2663,4797,772,3903
11: 4385,2674,2307,1960
12: 3413,4199,2190,2390
4264: 861
4608: 3792,340,3759
15: 3354,2735
16: 10,4767,3209,772,3903
17: 4416,2013,3108,1606
18: 3575,20,3733,3779,4377
19: 2034,2247
20: 1412,3733,3779,18
21: 1145,573,4697
4015: 1937,4642,2464,3893
23: 1636,4768,1730
24: 4516,2143
25: 4091,4344,694
26: 3136,1879,1316
27: 301,3732
28: 976,2504
29: 
30: 458,3914
31: 3548,2487,1458
4108: 3183,1676,1318
33: 4234,3956
34: 1031,3363,3133
35: 
36: 3411,1838,1464
4088: 589,2713,2468
38: 3987,447,1941,429
39: 827,562
40: 2717,4271,3745,2443
41: 4363,1315,2459,1799
42: 996
4669: 2514
44: 
45: 2217
46: 2867
47: 
48: 228,1540,615,270
49: 3360,685,1842
50: 1733,1491,4804
4776: 1782,342,498
52: 1633,4809,1196,2015
53: 4725,933,2321,1888
3914: 2884,30
4306: 1256,1693,924
56: 886,3340,2871,4197
57: 3623,1532,1181,1598
58: 1620,888,214
59: 3783,2369,4767
60: 4034
4539: 4373,1581
62: 4604
63: 346,362,4700
4228: 4002,1788,4548,3746,1380
65: 2496,3582,747,3465,921
66: 3081,392,3042
67: 2067,1484
4304: 2152,1026
69: 4727,3737,4103,712
70: 2221
71: 1385,3261,1781,4779
72: 175,2637,1207
4103: 69,712,698,2150
74: 4004
75: 1465,3659,3438
76: 3478,3251,3453,3037
77: 1257,4486,404,1871,4578,3830
78: 3985
79: 1068,3701,1681,2900
80: 2763,4777,3980,3909,119
4367: 2755
82: 1498,391,991
83: 4519,162
84: 413,1678,4123,2232
85: 2804,972,510,3849
86: 352,3120,2179,2775,545
87: 4730,1521
88: 3435,4171,3181
89: 3391,3335
90: 1452,2953
4821: 450,1217,4644,2564,4433,4233,3852
4616: 3728,727,124,3756
93: 
4041: 1545,4494,4231
95: 1224
96: 
97: 1717,4795
98: 529,227,2866
99: 456,215,4165,4406,1176
100: 4212,3191
101: 4262,3225
102: 150,4014,2654,1315
103: 3742,3705
104: 4800,2984,2452
105: 
106: 
107: 4585,4449,4819
4768: 1999,1705,1730,4638,3392,4291,2207,1636,633,23
4167: 
110: 1893,375,2659,550,4588,4785
111: 3888
112: 2324
113: 1773,3211,3269
114: 4168
115: 2700
4662: 3596,4087,4375
117: 423,4484
118: 3159,2651
119: 3320,3909,80,4365
120: 2921,4764
121: 3779,4377,2213,1770
4097: 4541
4455: 1341,586,4540
124: 2128,3756,4616,727,3800
125: 886,4197,4820,1421
126: 623
127: 282,4057,1742,4488
128: 1210,2910,596
129: 4105
4668: 1583,1494,2958,387,4360
131: 3328,1619
132: 3986,4259,3923
133: 1607,3452,2950,1822
134: 2864,1738,1161
4665: 4766,210
136: 2574,1310,1671
137: 1772
4325: 1152,1461,3538
4067: 3828
140: 3920,3818,1480,3193
141: 4412,2983,544
142: 827,4646,2800,1108
143: 2861,2654,2582,4439,2770,2744
144: 3825,355,2478
145: 2362,4424,432,2831
4802: 
147: 169,4275
148: 1323,3631,3814
4787: 
150: 4014,102,3751
4301: 
152: 3493,3478,4206,3414
153: 221,2127
4449: 3591,107
155: 540,1423,3408,2857,3640
156: 1778,447,2110
157: 1742,3974,4010,4805
4191: 4807,1971
4482: 3043,2947,2919,3103,3558
4429: 3364,3992,4425,3000
161: 2017,2503,863,2305,2038
162: 83
4614: 
164: 1204,302
165: 1967,635,1687,3607
4272: 2818,2471,3178,1722,4371
167: 711,1326,3394
