0: 1882,3731,2379
4486: 1677,3875,692
2: 2348
3: 3651,4367,571
4548: 1990,2958,1864
5: 3979,2126
6: 764
7: 4818,4075,3628,1041
8: 3256,4513
9: 3766,3685,4725,4005,4112,4140
4717: 4126
4739: 3970,2719,3194,4618,4613
12: 64,2860,2887
13: 3959,1445,699,2627,263,1412
4792: 2427,4045,3266,2938
15: 4556,4099,161,2639,1457
16: 2500,646,1127,3458
17: 3240,193,2773,1225,2026
18: 2600,3200,299,3470,4724
19: 3509,4679,4527
20: 3271,91
21: 429,2181,484,1732
22: 1730,3512,3479
23: 4113,2050
24: 
25: 1947,2278,4662
26: 1432,3771,3178
27: 54,4306,2793,530,741
28: 158,2074,4784,2852
29: 
30: 2160
31: 3905,2487,1843,32,1701,890
32: 2487,31
33: 4086,1080,2158,952,1059,3038
34: 4076,1569,3878,1501,3959
35: 1085
36: 3267,2669,3732,733
37: 3939,2106,1064
38: 1040,4128,4544
4433: 3789,1171
40: 4499,167,4050
41: 4396,4090,1741,184,3193
42: 
43: 4716,3684,2765
4461: 3625,1190,4641,1609
45: 4763,1833,4331,418
46: 2395
47: 401,2890,1221,3402
48: 1996,3933,4818
49: 4351,4591,1842,2178,4198
4628: 1434,2686,1362,2330,1873
51: 1452,3046,1342,426,3448,2409
52: 4187,3403,4057,478
53: 529,4213,1351,1373
54: 3725,4306,1407,27
55: 4416,290,289,2817,2512
56: 
57: 224,1799
4561: 
59: 1037,772,218,3137
60: 4168,4066,2532
61: 4020,4253,2487,2202
62: 2492
4622: 704,2019,1398,2785,4505
64: 4401,2231,2860,12
65: 3080,598,252
66: 593
67: 3600,207,383,1232,4297
4525: 3261,3295,897
69: 3581,675,134
70: 3954,328
71: 1880,307,141,1139,3420,3659
72: 2155,3176,3637,3298
4651: 433,3365,4206,2576
74: 4475
75: 912,1975,316
76: 218,392,873
77: 2068,726,459,3492
78: 3240,2773,2254
79: 2034,2317
80: 1578,168
81: 1748,3785,235
82: 4476,4754,3204,4503
83: 1984,298
84: 524
85: 125,4085,369,4143
86: 4155,1514,2444,1229
87: 359
88: 2287,2842,2963,1725,2896
89: 3714,2004,3822,3191,144
90: 
91: 1275,20
92: 4632,2320,940,2182,2789
93: 686,2166
94: 771,4662,4606,2435
95: 
96: 3092
97: 433,3665,1898,265
98: 2749,3456,2121,984,3272
99: 4048,1747,2670,1679
100: 3054,1993
101: 2146,4533,3424,1895
102: 3922,2017,4611,4491,2012,4597
103: 2010,2317
104: 465
4733: 4723,1441,4710,491,2898
106: 1416
107: 531,2175,3374
108: 816,3786
4491: 3645,102,4611,2530,4597
110: 1779,2416,527
111: 3728,3405,3640,1516,1520
112: 
113: 4097,1149
114: 3238,4669,2335
115: 3965,1954,1772
116: 3033,629,637,4119,2299
4626: 4655,3844,2113,2347,1455
4784: 2074,976,2852,28
119: 
120: 2809,1709,1768
121: 4633,3941,633,507
122: 4192,1519,2881
123: 726,2117,2871
124: 958,956,3827,1933,4391,1449
125: 85,4085,4143,1253
126: 2307,1858
127: 2420,3355,702,399
128: 3510,1480,4549,2182,2320,746
129: 1129
130: 932
131: 4438,2175,2098
132: 2195,2376
133: 3861,835,1837,2485
134: 3785,3297,3581,69
135: 730,2233,2477
136: 2847,3406
137: 2192
138: 1653,514,849,3720,1462
139: 2713,4372
140: 2109,2594,3539,1156,4315
141: 71,1139,3659,2097
4559: 1949,1100,4258,1713,1662,2882,1073
143: 3645,3917,894,3749,4611
144: 3191,4272,2004,89
4702: 4305,1277
146: 1737,2304,4200
147: 180
148: 1766,3457,1531
4576: 2015,4447
150: 474,1507,2078,1918
151: 1461,4668,4388,3002,387,521
152: 3688,758
153: 2958,4531,1864,3499
154: 645,2030
155: 2203,3005,1141,2589,4601
156: 1001,3512,974,3844,2347
157: 3750,927,4135,971,3287
158: 28,4487
159: 3503
160: 2170,3182,908
161: 2639,3931,4556,15,1457
162: 4780,2775,452,2546
163: 975,2771,1874,3830
164: 1692,4349
165: 2568,1851,2483,3017,1218
166: 4215,1205,1598
167: 2206,491,40
168: 3258,1404,80
169: 1332,781
4593: 3596,1926,1657,4588,648
171: 2193
4744: 3719,1383,2172
173: 365,3488,2100
174: 1781,2012,252
175: 1120,954,4235
176: 
177: 3169,4102,3328,1240
178: 2957,330,1158,1264,4146
179: 
180: 147
181: 4244,909
182: 358,1461,4668,4101
4477: 1352,265,1383
184: 41,4090,1741,3818
185: 
4732: 611,3655,741
187: 3540,234,225,4373,1472,3647
188: 2889,2136,336,3486
189: 1136,390,1493,3612,1788
190: 584,1016,1249,3290,3550,2212
191: 3129
192: 3598,2862,4325
193: 3240,17,2026,789,1745
194: 2457,3554
195: 2829,718,4104
4521: 3092
197: 1543,2296
198: 2140,373,456
199: 3364,3847,3345,1787
4786: 3956,4109,2573,817,3190
201: 1011,4291
202: 
203: 1456,410,4812,2720,3616
204: 1863,2301,2077,2002,2207
205: 3067,1093
206: 4168,4066,3858,2625,3006
207: 67,3600,4756,1299
208: 
4767: 3209,1756,1030
210: 1397,2488,4693,3649,2962
211: 4227
212: 987,2017
213: 475,4263,2102
214: 2582,2071,3002,521,3608
215: 2230,3154,576,4161,1058
216: 2473,2116,2386,859,1406
217: 263,2456,2981
218: 392,59,1037,3137,76,1931
219: 1396,3595,4635,2521
220: 3520,2469
221: 2127,832,4125
222: 
4618: 4613,3255,602,3194,4739
224: 57,1799
225: 3790,4373,187,814,899,3647
226: 1133,3700,2982,1829,1696
227: 2848,2329,1618,1295,3710
4780: 162,452,485,3187
229: 573,461,1322,4625,3750,4135
4441: 810
231: 
232: 312,1824,4154,1041
233: 
234: 3540,187,4804,325,3229,4373
235: 2926,1539,3232,81
236: 3226,542,592,1621
4520: 4194,2710,2023
238: 367,721,1078
239: 3071,4049,1243,4587,2722
240: 1360,2525
241: 2379,3335,270,1092,2410
242: 4300,3716,2921,3933,1824,3628
243: 1495,2358,1936
244: 573,461,3195
245: 3463,4132,778,4736
246: 278,2256,4562,2047
247: 3112,1386,1588
248: 1881,4508,3318
249: 1574,631,1585,1107
4581: 
251: 2239,1328,815,2869
252: 598,65,174,1469,1781
253: 4513,2183
254: 1688,1195,432,2132,3833
255: 1883,1042,911,3674
256: 709,2925,4160,3874,1765
257: 1218,3523,3577
4693: 3649,1397,210,3883,3341,1961
259: 3219
260: 4212,1374,4698,2399,2171,2461,4006
261: 2397
262: 
263: 2456,217,13,1412
4501: 3501,3255,1590
265: 97,3260,4477
266: 4800,4145
267: 
268: 949,3231,3704,4426
4691: 319,2562,891,3156
270: 1882,3035,2410,241
271: 3618
272: 1285,3064,3001
273: 3740,1251,4169,1125
274: 1908,4210,4227
275: 1942
276: 2514,2637,1688,2937
277: 1907,4511
278: 2256,246,2608,1789,4707,4185
279: 4288,2916,4800
280: 2815,2453
4612: 3634,3862,3643
282: 4534,3476,2478,2280
4633: 1100,4258,121,3941
284: 3347,1091,4823,1095
285: 1545,1336,4794
4470: 1791,1640,1309,1675
287: 2768,1810
288: 
289: 1780,4616,55,2817,2512
290: 4438,4416,55
291: 1830
292: 2306,1556
293: 3843,696,3332
294: 308,1855,1526,3065,300,2850
295: 
296: 4527,1422
297: 2941,1575,1136,1475
298: 4267,83
299: 4554,3200,18,3038,4724
300: 4492,1170,3065,294,2850
4813: 1512
302: 2970,4385
303: 3493,2305,3801,2961
304: 404,1738,2672,4003,1375
305: 1018,1961,4116,3111
306: 3724
307: 71,1139,3420,3188
308: 4789,1855,294,1062,1526,3769
309: 4806,3057
4608: 3763,2490,532,4063
311: 3052,2752,435,4070,4330
312: 232,759,4154,3912
313: 762,1097
314: 4385,1680
315: 1045,1676,487
316: 3258,4696,75,3158
4554: 299,4724
318: 1314,1612,3578
319: 446,4691,2562,3087,891
320: 557
321: 3301,1594,2186
322: 2114,2009,2647
323: 3130,1219,3808,534
324: 2591,2402
325: 4804,803,2766,1220,234
326: 1420,4267,4216,2778,3932
327: 2064,1707
328: 3059,70,1582
4572: 
330: 178,2957,1158
331: 2605,2404
332: 1042,1750,1079,911,2919
333: 4316,3755
334: 1999,3553,3316
335: 2211,1483
336: 3357,188
337: 4137,2335
338: 4455,1720,3723,2140
4657: 1975,4096,2484,3562,795
340: 4058,3085
341: 4431,3798,2852
342: 3993,1329,2616
343: 2006,4171,2622,4148,1719
344: 4209,4640,1319,2878
345: 2942
4665: 4285,4228,3975,766
347: 765,3502,3689,4422,4753,549
348: 2387
349: 1009,4714,797
350: 941,1392,4357
351: 2429,1017
352: 1330,4535,3447,1178,3885,2257
353: 700,4568
354: 3394,3263
4595: 3322
356: 2227,1263,4314,4210
357: 2342,4201,1351,4009
358: 3294,182,774,4101
359: 2058,87,3865
4649: 555,1610,1492,3679
361: 
362: 
363: 671,2510,1010,3071,4049
364: 4778,601,1530,2176
365: 173,3102,2199,711,4339
366: 547,1474,2918,3882,3097
367: 3159,721,238
368: 1044,3587
369: 2065,85
370: 4290,1809
371: 2733
372: 1108,4106,4051
373: 3873,456,198
374: 1439,672,4474
375: 1970,4602,3784,648
376: 1744,2008
377: 3256,3947,3517
4794: 1110,3589,2816,1545,285,3834
379: 4822,714,2222,2232
4545: 2976,2946
381: 1825
382: 3059
383: 4189,1232,67
384: 1754,4295,1955,3216
385: 1532,671,2615
386: 2428
387: 3002,2305,1315,4388,151
388: 
4718: 1764,1447,841,2157
390: 1136,3087,189,1493,1844,1788,1496
4637: 4118,1957,2553,3497,3670
392: 218,1037,873,76
4560: 2326,4284,1991,558,802,1723
394: 988,2177
395: 3547,4084,2152,657,1672
396: 577,1245,694
397: 1089,3162
398: 2396,3441
399: 2804,3178,127
400: 4232,3364
401: 47,1221,4404
402: 742,871,1647,1341,1476,4534
