0: 1617
299: 4615,2041,2288,534
4804: 3912
4769: 1293,3530,4288,1429,3016
4659: 340,1719,1570,367
303: 4587,3366,540
304: 100,729,1747,292
305: 3993,4705
306: 
4577: 518,3372,2066,3109,479
308: 1871,2429,653,1842
309: 3580,3418,854
4582: 2384,1434,4081,1013
311: 4077,556,3639,3968,1829,4093
312: 3620,3348,4300
313: 4362,4719
314: 4528
315: 2307,343,3611
316: 225,2757
317: 444,836,1904,1595
318: 4768,241,3698,4093
4015: 2714,683,77,2649
320: 
321: 1601,4564,4069
322: 206,3901
323: 4171
324: 
4592: 1979,2017,4419,4022
326: 133,1216
4680: 197
328: 400
329: 1725,1311
4100: 701,3781,1114,81
331: 1670,1638,2379,2089,860
332: 1706,1882,198,2310
333: 1856,583,3420
334: 4376,4461,1693,2015
335: 
336: 509
337: 2556
338: 4444,2526,1200,2403,732
339: 914,2775,2866,455
340: 2711,4659,1719,4241,111
341: 
4786: 2644,4559
343: 3611,2307,315,782
344: 4517,2635,1161
345: 3198,3621,978
346: 28,3589,3624
4049: 3751
4333: 654,1657
349: 1091,3365,4274,1315
350: 2445,3632
351: 4453,3627,2302
352: 785,1372,4346,4288,3359
4203: 636,3388,4775,758
354: 3111,3582,4734,2225,864,4784,2052
355: 834
356: 1438,1696
357: 4064,2931
358: 920,4790
359: 1442,4757
360: 1386,3024,2041
361: 
362: 3401,2977,2727,1703
363: 473,2911,122,2654,3891,4014
364: 917,2793,708,4163
365: 3756,4252,4391,4531
366: 1284,4360
367: 4659,1719,243
368: 1086,1107,3629,38
369: 1052,626
370: 
371: 2845,2103,4715,1149
372: 2877,2083,4481
4070: 
374: 1501,2752,4527,3987
375: 948,3358
376: 
377: 3947
378: 412,4543
4194: 4441
4325: 130
381: 4755,3407
382: 70
383: 3905,1232
384: 4771,2534
385: 1074,3107,3814
386: 3946
4654: 3648,3629,1107
388: 3455
389: 4819,3279,2588,3926
390: 3290,3391,3156,3315,4542
391: 3820,793,4454
4387: 1692,3809,3810,1753
393: 1352,4419,627
394: 628,995,3705,1044
4801: 4547,1172,1556,2520,844
396: 982,3642,1551
397: 2894,192,3207
4110: 4761,2311,2088
399: 2510,1972,551,2553
400: 328,2983
401: 4143,4152,3952
402: 432,939,730,294
403: 2669,4383,4121,924
404: 1619,484
405: 4529
406: 4125,4161,2230,3795
407: 172,2387
408: 2213,2230,1943,1982
409: 562
410: 1238
411: 590,1046
412: 378,2776,3092,4543
413: 1306,1458
414: 4618,2842,2371,2965
415: 1643,1607,3198
416: 1672,847
417: 3873,2004,1200,2403,3755
418: 4103
419: 4724,2830
4085: 3398,2610,4283,1
421: 3331,911,1517
4274: 3144,493,349
423: 3361,2580,4013
424: 4399,853,947,49
425: 830,3926,634,1858
426: 
427: 
428: 936,3055,874
429: 2444,4118,747
4484: 3041,3265,4298
431: 1724,3813,27
432: 402,4789,294,868,1573
433: 1748,4485,1880,521
434: 2541
435: 749,2349,1652
436: 21,3700,3164,3204,3693
437: 3770,3221,1992,1571
438: 1174,2963,1413,3138,66
439: 3343,2558,3856
4326: 2148
441: 1078
442: 4729,2637
443: 4091,895,2404
444: 836,1261,317
445: 1451,2402
446: 3523,2443,3350,4573
447: 4229
448: 
449: 3874,3043
450: 3368,3642,4754
451: 1706,2416,2053,2024,3335
452: 
453: 1622,4551,1448,57
454: 
455: 1952,227,2866,339
456: 18,3290,1034,3674
457: 4575,3037,2530
458: 2681,1601
459: 3156,1993,2444
460: 4077,4617,4428,597
461: 2168,732,3722,2526,593
462: 3205,2862
463: 4711,873
4463: 4562,2732,99
4054: 1426,3509,2935,4802
466: 4727,3826,1918,899,275,1390
467: 1587,2929
468: 4069,3090,3086
469: 138,3051
470: 4579
471: 3118
472: 3489
473: 2911,363,3136
474: 1390,1956,4314,4520
4710: 3432,599,3426,1215,1491,1375
476: 2884
4748: 2503,636
478: 2695,1595,1492,3854,1904,175
479: 2051,3109,4577,4222
480: 515
481: 1362,4798
482: 2375,1795,234
483: 4227,2692,2238
484: 1619,404,3734
485: 
486: 
487: 4217,4446
488: 
489: 3955,3806,3019
490: 
491: 671,1575,2070,3728,4767
4351: 2853,2753,4809,1084
493: 3182,4274,4388,3365
494: 3190,762,817
4495: 
4005: 2944,1628
497: 3012,1303
498: 3191,655,4806,2759
499: 1096
500: 2078,4116,1853,284
501: 4132,233
502: 3890,1718,2907
4196: 506,1604,4252
504: 2856,3553
4391: 2080,4531,1864,1563,365
506: 4196,1604,4536,3173,40
507: 4761,1370,963
508: 1212,28,1524
509: 1166,336,1401,3196
510: 870,1366,3978,3544,1697
511: 1080,762,902,1780
4344: 3578,3745
513: 150,4009,3940
514: 60
515: 480
516: 1814
517: 550,4173,2460
518: 4577,3372,3468
4539: 3797
520: 3634
521: 3080,433,1880,265
522: 1773,2675,1274
523: 680,1535
524: 
525: 151,2035,4201,4318,2326
526: 4021,2831,4656,3231
4161: 586,406,2230
528: 678,1715,2213,4381
529: 4112,2339,276
530: 1118,4188,1750
531: 3646
532: 1819,833,2371
533: 4699,805,2785,196
534: 1976,4615,299
535: 71,4657,3221
536: 1459,3938
537: 
538: 4240
539: 
540: 3366,1141,303
541: 241,2355
542: 1584,4418,4160,2876,3817,2604
543: 1922,2883
4675: 3763,3788
545: 2912,2412
546: 
547: 4653,1048,1564,4106
4793: 3373,3344
549: 598,1315,3645,183
550: 1253,517,1424,4173,3196
551: 3232,399
552: 1680,3240,193,830
553: 4728,4086
554: 1365,2074,1335
4022: 4592,4419
556: 311,4077,1829,2574
557: 3194,4370
558: 575,3382,1153
559: 4443,2178,4047,1307
4268: 3765
561: 2748,3935,1841
562: 409
563: 3574
564: 4212,2066,2877,4481
565: 255,1432,3750,13,1479
566: 4516,1269
567: 2897,1526
4414: 2104,2536,4404
569: 939,845
4455: 4159,4193,4219,18
571: 3634,923
572: 1734
573: 963,1148,1073
574: 4478
575: 558,1153,3416
576: 3412,1850,2629,263
577: 1682
4423: 1597,3279,193,2196,2588
579: 2871,2313,247,1019,3225,649
580: 3480,1583,3154,3081,155
4402: 3255,1004
4281: 
583: 333,3420
4093: 1829,3968,241,311,4768,318
585: 4817
586: 4161
587: 3802,3509,2437
588: 4678,2769,3559,4486
589: 595,4248
590: 1046,3202,1741,1436,411
591: 2147
592: 2802,4418
593: 2478,4450,461,2168,3722
594: 1335
595: 589
596: 3753
597: 1757,4428,460
598: 549,3319,940,183,2185
599: 3432,4710,1346,3451,1215
600: 901,1029,3842
601: 3676,3897,2042,3431
4323: 282,2098
4652: 867,4819,3085
604: 752,3769,1475,2712
4314: 474,1956,4707,4472
606: 654,1397
607: 3965
608: 
609: 2620,4812,991,3491
610: 4190,3020,3195
611: 3823
612: 4312,2094,2719,3423,2950
613: 136,4017
614: 4363,160,1243
615: 1859,2892,4276
616: 2636,4496,4506
617: 
4076: 974,2990,4686,1072,4578,1788
619: 254,1796
620: 3624,3649,1301,3589,1263
621: 2178,3108,4443
4269: 4556,2235
623: 3525,891,1020,2665
624: 3077,2433
625: 
626: 1470,369
627: 3377,3295,393
628: 3413,394,995
629: 
630: 3614,1159
631: 
4439: 2971,3783,4687,2306
633: 4079,1588,2563
634: 425,1858
635: 4386,3824
636: 4203,4748
4540: 791,2949,1775,1134
4754: 2757,450
639: 3351,2335,3858
