0: 3714,4562,3198,1733,428
1: 4716
2: 3123,43
3: 3356,2663,2957
4: 520
5: 3737,2959
6: 445,130
7: 3894,2349
8: 520
9: 2477,939,904,677
10: 1255,3833,818
11: 2695
12: 2724,3727,2357,3068,4390
13: 2759,3303,228,3461,1011
14: 3393,2443,163,2574,321,1431
15: 237,548,2116
16: 1026,3388,2598,2312
17: 1486,2850,1477,1054
18: 4459,2013,846,1501,289
19: 3255,3073,3386,2429
20: 930,4078,4428,615,1176,3191
4820: 799,2288,2638,4613,4254
22: 475,930,3750,2464
23: 2166,1252,2884,686,476
24: 1899,761
25: 2746,793,4158,1507,2342,2374
26: 1042,3468,3513
4624: 858,2081,4425,2586
4800: 3187,1481
29: 4418
30: 1777,3742,2516,1311,4501
31: 2502,3874,4407
32: 4397,4404
33: 3210,4427,762,2711,3374,570
4767: 1348,1037,2984,2578,2503,2137
35: 2360,2814,1754,508,3907,328
36: 1650,4578,4414,2542,2065,1533
37: 2498,1960
38: 4163,3657,4438
39: 
40: 3667,2206,2959,565,3524
41: 3088,4540,730
42: 1027
43: 810,2
44: 3634,4021,2183
45: 3937,657,4084
46: 3352,1719
4592: 2517
48: 1499,3607
49: 953,2140,4725
50: 4481,1114,860
51: 320
4591: 317,2760,723,402,135
53: 2203,1695,3337,3884,2826,1563
54: 2093
55: 1112,263,1396
56: 
57: 3951,134,4451
58: 1284,183,3623,1405,1974,1141
59: 3796,2992
60: 717,3566,2738,3220,3006
61: 472,1342,542
62: 664,2282,1043
4773: 3896,739,316,1491
64: 2146,1486,1267,882,3332,1743
65: 183,4274,4101,4003
66: 2306,1862,888
67: 3569,4756,3600,4785,4214
68: 3496,2127,3636
69: 1032,4150
70: 
71: 2128,843
4759: 2373,2631,4065,3473
73: 2186,4512
74: 602,3145
75: 1877,694,740
76: 1463,4192,949,4439
4668: 1985,1227,4880
4721: 296,3819,2437,3338
79: 3189
80: 4411,112
4609: 4051,2370,2597,1245
82: 1551,1203,1670,4593,4062
83: 522,883,499,2546
84: 1966
85: 1959,3035,527,3639,2430
86: 1510,406,190
87: 291
88: 3431,3181,4465,2830
89: 3935,832,4623,110
90: 2622,2603,118
4709: 290,1240,1742,2787
92: 1089,717
93: 1587,2222,1093,3732
94: 4266
95: 260,3548,4706,691
96: 4452,866
4640: 2298,2736,4734,956,2496
98: 1952,663,2246,1196,1598,1194,3408
99: 747,4536,935,1496,4625,3685
100: 270,1873,3357,4329
101: 3370,2970,3169,3214,1084,4559
102: 3653,4470
103: 3662,1017,4666
104: 
105: 1521,4652,2867
106: 856,2862,4026,3205
107: 1788,3878,725,2990,4280
108: 4740,1455,1086,1412,3873
109: 4704,3256,2468
110: 4686,4360,4623,89
111: 3169,3214,4559
112: 80
113: 1646,4408,3269
114: 
115: 1444
116: 3654,1979
117: 2314
118: 3375,2603,90
119: 1304,1155,3477
120: 3326,3660,982,4233,1400
121: 2288,2638,523,1179
122: 2911,791,3318,3366,1209
123: 4058,2711,3210,4217
124: 2888,3923,2510,4665,3284
125: 3987,1636,492,3860
126: 
4652: 4237,2867,1521,105,2624
128: 2628,1214,4012,1963,772
129: 3362
130: 920,6
4811: 2227,4480,803
132: 3329,3474
133: 3580,2938,3108,3225,4643
134: 3951,57,1528,4595
135: 1993,4591,1016,402,4567
136: 4311,1369,1324,2333,3090
137: 2107,4175,1155,1217
138: 
139: 
140: 2353,2869
141: 2107,149
4661: 3130,2780,394
143: 4714,251,385
144: 1116,3355,3669
145: 1328,526
146: 
147: 4677
148: 
149: 4442,4175,2107,141
150: 3377,4318
151: 2290,3192
152: 955,2554,2848,2954
153: 491,1600,2857,4542,3149
154: 2795,1214,1154
155: 1215,3071,2021,357,3499,3284
4683: 952,2243,171
157: 3715,239,2230,4398,1957
158: 2620
159: 3542,322,4413
160: 2137,4656,251,1099,385
161: 4359,3061
4511: 
163: 3725,2443,2037,14,2422,321
164: 
165: 378,4532,3824,1434
166: 4451,1091,1933
167: 4700,503,3283,1326,366,2804,4494
168: 1301,3416,1150,1839
169: 1903,3148
170: 2191,1994,2961
171: 2243,4387,4683,952
172: 2077,2982,2258,1883
173: 1067,4010
174: 3888,4337,1974,1284,3476
175: 2601,3708,3020
176: 
177: 1354,2851,1023,4803,2151
178: 
179: 2291,4808
180: 
181: 4317,4702,813
182: 2321,3665,1099,4363,224
183: 65,3623,4048,4274,1405,4003,58
184: 791,2449,2881,4090,1929
185: 1353,4632,856,4026
186: 1690,1334,2875,4119
4776: 995,4613,3399,4254,2112
188: 2566,4165
4684: 1489
190: 2571,4151,86
191: 426,2880,611
192: 2703
193: 3971,3926,947
194: 3943
195: 1050,879,4130
196: 2525
197: 2556
198: 3935,2918,3451
199: 4529
200: 1927,4616,3315,1119
201: 4527,1454
202: 1931,815
203: 3114
4598: 1294,4724,2231,1764
205: 709
206: 3437,2643
207: 658,2523
208: 
209: 4322,1617,3292,1025,1765,3860
210: 1181,4708,3009,1223
211: 
212: 3377,3689,4775,1744,3135
213: 4371,1145,1836,4263,2359,4562,2483
214: 1091,1215,2021,4116
4651: 3319,349,2017,387,3341
4483: 667
217: 1459,4193,4125
218: 1173,3168
219: 3779,3942,2950,4737
220: 261
221: 1319,4531,2672,3715,1419
222: 4052
223: 4282,3682,1871,436
224: 4363,385,182
225: 1863,4550
4606: 1772,4286
227: 2647,3447,1234
228: 3461,4578,4414,13,4162
229: 1393,857,1165,1008,4626
230: 4392,3338,1281,3431
231: 596,3528
232: 2980,2776,1938,1253,4271,2847,4085
233: 3599
234: 4373,1498,4653,398
235: 513,4318,4560
236: 805,650,1627
237: 15
238: 1521
239: 3715,157,4548
240: 1349
241: 1314
242: 658,3055,2683
243: 2486,3695,2558,559
244: 1031,3391,2004,2941,2072
4512: 2022,1166,73
246: 1567,2540,2758,3054
4790: 2369,4770,3458,1480,2503,977
248: 2226,397
249: 3904
250: 
251: 2137,160,4714,3245,143,385
252: 2097
253: 4681,1071
254: 3328,2547,3710,4799
255: 3806,2813,2089,2523
256: 1007
257: 1253,2847,1424,1959,3125
258: 3933,4772,3620,2822
259: 2956,867
260: 95,3548,3894,3912,3140
261: 3724,220
262: 4807,1790,4565,1320
263: 55,1112,3259,1396,2715,1819
264: 1402,3735,996
265: 3581,284,1613,4289,2779
266: 
4734: 2758,956,2298,4640
4538: 2034,2842,4475,2068,4571
269: 2500
270: 100,1079
271: 1260,403,4707,1735
272: 2370,4184,2215
273: 4525,2721,2235
274: 398,3743,1115,4653
275: 
276: 2036,2507,3637,3901
277: 4190
278: 839,3993,1706
4654: 1292,4045,4603,3929
280: 2087,391,1110,3573
281: 835,3439,4635,3942,2059
282: 358,3609,1376,4787,1227,1539
283: 4694,2292,2937
284: 3037,4223,1613,4289,1265,265
285: 4590,3009,3341,4316,3787,968
286: 
287: 2507,2742,3515,2335
4491: 3630,2055,740,4284
289: 2612,1501,4258,438,18
290: 3899,4726,4709,1742,3697
291: 87
292: 2208,565,2955
293: 2058,807
294: 3982,4792,3727,2596
295: 2569
296: 4721,3819,368,3705,3255
297: 1878,1884,2336,3485,3603
4582: 4037,2410
299: 603,903,2972
300: 1599,3470,4110,1849
301: 592,1559,799,4008,1987
4595: 4629,1622,134
303: 1476,1046,3280,469,4049
304: 2958,2480,3436
305: 1433,4823,1474,4821
306: 
307: 3659,1694,4357,547
308: 4139,2231
309: 3698,3418
4805: 3976,2749,3550,2545,1170,4792
311: 3170,4380,3560,2372
312: 1635,4136,4504
313: 1595,696,3161,2090,1764
4642: 1081,4148,3375
315: 817,2543,3972,4815,2319,950
316: 2416,1491,3669,739,4773
317: 2760,4591,3087,723,4659
318: 3567,3115,345
319: 1106,2013,1395,726
320: 51
321: 2422,4330,163,3393,14
322: 4413,159,3015
323: 3305,2682,4737
324: 3205
325: 1946,1845,4227
326: 3752,2844,2837
327: 2060
328: 3907,3871,35,508,1975
329: 
330: 1156,3511
331: 2879,2522,3062,1126,2142
332: 
333: 4727,1992,894,3243
334: 1779,3335,2102,4584,1873
4662: 4634,4138,1582,607
4625: 1174,3766,610,99,1496
337: 2577
338: 3873
339: 2910,4508,1914,3463,1384,2421
4612: 463
341: 4065,4284,3630
342: 2204,3514,3981
343: 1500
344: 953,891,3231,3069,3405
345: 770,318
4486: 3844,3786,4128,673,2712
347: 1740,3730,4345
348: 1908,4631,1350
349: 3319,4651,2868,1181,4708,3341
350: 986,808,3980,4765,1126
351: 
352: 3269,1806,4774,2155,4432
353: 833,3863
354: 1896,3158,3001,606
355: 2413,3707,4630
356: 2404,4473
357: 155,1215,3499,1972
358: 282,3609,4637,1376,1741
359: 862,1625,2064,1464
360: 3886,2871,1034,1386
361: 
4490: 1080,2698,887,1606,2493,419
363: 3884,4279,490,1051,3337
364: 4497,3845,2098,2842,1257
365: 1375,3755,4360,3691,1419,4207
366: 1326,167,2804,4494
367: 
368: 4253,4638,296,3819,3255,2429
369: 3177,2324
370: 3602,3348,2684,2382
371: 4347
372: 3109,1694,4185,3325,3618,3513
373: 1116,3577,428
374: 3676,2288,4225
375: 4074,1256,4526,1970
376: 
377: 2079,2412,638
378: 165,2430,4532,1959,2732
4580: 1275,4740,3500
380: 1243,1888,4601,4201
381: 1021
382: 
383: 3998,4817
384: 1511
385: 224,160,251,1099,143
386: 1130,2428
387: 427,2017,3319,4651,3232
388: 
389: 516,4423,3776,3454
390: 1354,2851,1704,4199,846,4459,1395
391: 3394,1723,1110,1336,4277,280,2087
4605: 2140,2101,953,3155
393: 645,3453,448
394: 2988,3130,4661,2935
395: 657,3004,2721
396: 4764,4227,2740
397: 462,248,2667,2554
398: 3477,274,4653,234
399: 3451,4071,3849
