0: 4006,4558,4804,2669,4617
1: 4462,1118,3610,1955
4450: 3790,4609,4445,4496
4812: 2875
4: 
5: 1503,3644,1326,561
6: 2134,2544,4470
4620: 4324,735
8: 1831,999
9: 3640,4725,774,580,3314
10: 3720,1399
11: 2395,3210,2123,2193,887,1870
12: 1121,4627,2579,4704,3811
4264: 476,837,4300,3593
4608: 4643,1662,927,3897
15: 2611,2735,2466,625
16: 514,2582,2589,1620
17: 78,2970,3956,3230
18: 2019,1922,3714,3171,1257
19: 4802
20: 4163,2981,77,2581
21: 573,2391,2712,3191
22: 3198,1377,2471,40
23: 3782,4622,2883
24: 4814,1085
25: 2987,1329,1868
26: 2758,491,3438,3142,357
27: 374
28: 562
29: 4594
30: 995
31: 1159,1033,1701
32: 4650,3845,2160,2892,3970,780
33: 2559,1555,632,4416,652
34: 670,4703,921,3465,4323
35: 2124
36: 1999
37: 1149
38: 527,4078,4459
39: 508,3820,4700
40: 4272,22,3198
41: 2866,1661,473,227
42: 4572
4669: 4235,3334
44: 3099
45: 2747,3261,3295,1117
46: 4338,2622
47: 2638,3866
48: 3812,978
49: 340,4571,2603,1558,3657
50: 2368,378,3468,2111,599
4776: 4397,1101
52: 1146,3011,2794,4399,2615
53: 3071,1405,767,3801,57
54: 4300
4306: 492,1324
56: 3073,3189
57: 3801,3530,53
58: 1288,679,1302,2742
59: 1206,2383,432,2895
60: 3346
4539: 1411,1362
62: 2583,72,1610,4348,101,2415
63: 3186,1669,3056
4228: 3706,3156,2426,4252
65: 3571,1969,2062,2078
66: 2655,528,1341,3816,1134
67: 2557,1959,4553,449
4304: 2030,140,3538
69: 3864
70: 
71: 1672,3132
72: 2583,62,4348,2415,1120
73: 
74: 1834,4522
75: 4284,2566,1880,1940
76: 469
77: 3289,404,4679,20,2981
78: 17,653,4792
79: 4352,2064
80: 907,2163,1664
4367: 
82: 1915,2991,2453
83: 3703
84: 3548,1593,3089,413,1252
85: 4588,860,2215,4174
86: 2063,984,1514
87: 
88: 2824,3352,2739,807
89: 1874,3806,2908,3178,2804
90: 3397,1502,2838
4821: 225,2602,3815,450
4616: 1488,4198,1575,4589
93: 306
94: 
95: 1708,3134
96: 1899
97: 2914,4325,3270
98: 569,2224,3199
99: 446,1539,4626,3612,2401
100: 832,4222,3619
101: 62,4187,2415
102: 1461,212
103: 2963,2366,3189
104: 2109
105: 4401
106: 1446
107: 3972,2151
4768: 854,1981
4167: 4820,2585,4380
110: 375,2508,1600,1706
111: 2205,877,2794,2021
112: 4320,928
113: 3269,1543,164,4533
114: 1210,1852
115: 274
4662: 3596,2748,3258,1910,4106
117: 
118: 1820,3611
119: 1551,4091
120: 872,2936
121: 878
122: 
4455: 688,3777,4605,4057,3088
124: 3042,411,3754,775
125: 3799,523,1533,4063
126: 
127: 2266,1642,1295,4010,1341
128: 1353
129: 4205,2651
4668: 1215,4637,3294,1879,2128,2958
131: 4416,652,766
132: 4331,2473,2852,844,341
133: 3452,1447,1976
134: 1284,2510,1738,307
4665: 3149,2758,491,1316
136: 3894,4296,1052
137: 
4325: 1903,3270,97
4198: 1488,4616,891,157,3974,1575,989
140: 938,3342,4304,4279,1929
141: 252,1861
142: 1057
143: 3245,1453
144: 1406,1738,2478,956
145: 2992,279,3634
4802: 359,19,951
147: 192
148: 2463,1357,1702
4787: 849
150: 3377,2878,2137,3453
4301: 
152: 3581,3002,3414,548
153: 4165,415,244,1788,1720
4449: 2849,587
155: 2339,1196,2164,671,2224
156: 2719,223,1325
157: 3231,1418,4198,891,3974,785
4191: 4612
4482: 806,4033,3660,1645,3764
4429: 1115,3364
161: 1091,3453,1933
162: 1603
4614: 
164: 4533,4604,113,2775
165: 2659,2717,3836
4272: 702,40,1377
