0: 1033,4309,2660,4816
4486: 927,157,484,4536
2: 3614,2092,136
3: 881,4378,1089
4548: 904,4005,2191
5: 774,4587,3314,4118
6: 
7: 232,312,973
8: 2583
9: 685,2100
4717: 
4739: 1430,519
12: 1477,4719,1526,2120
13: 4078,2347,3836,3682
4792: 2189,2177,2860,3211,1837,676,1044,4808,18
4186: 2940,3825,976
16: 3979,3202,1181
17: 1526,3788,477
18: 4122,4792
19: 3352,4745
20: 4538,3164,4596
4119: 1536,946,4345
22: 2858,3987,3153,3485
23: 2927
24: 
25: 4200,2451
26: 1789,4138
27: 4407,3301,4732,4563,3716
28: 3798,1962
29: 3373
30: 4783
31: 4070,4061
32: 1634
33: 1241,4643,2161,3545,1704,3259,3496
34: 3292,2830,579,3690,922
35: 2784,1085
36: 518,4369,2024,2167
37: 2296
38: 3066,1412,922
4433: 4335,512,2201
40: 843,1841,643,1794,1567
41: 776,434,1480
42: 370
43: 566,120,96
4461: 4085,3812,369,3762
45: 4491,457,551,437
46: 3279,3085
47: 1691
48: 3035,3048,4428,3312,3316
49: 2928,2108
4628: 
51: 1342,4584,88
52: 1842,3869,2695,2794
4319: 4363,2421,1028,411,4468
54: 3584
55: 3941,3169
56: 
57: 154,3960,1848
4561: 2546,4669
59: 3168,1881
60: 1628,3643
61: 4407,3301,4313
62: 2165
4622: 1854,468,4291
64: 1764,3085,2860
65: 2466,1956
66: 4710,832,2140,3497,2374
67: 3912,1438,2483,1617
4525: 625,2529
69: 1840,4323,3297,3737,3188,357
70: 4133
71: 3562,1686
72: 2155,1192,2596,3747
4651: 265,2731
74: 1379
75: 2700,1110
76: 140,4298
77: 2646,3164,3156,459
4378: 1544,1089,3
79: 3165,963,1140,1590
80: 668
81: 4103,1212,4134,3533,1706
82: 3577,4403,1792,4442,4558
4354: 1271
84: 
4172: 4563,3716,4143,4322,3184,1765
86: 1064,914,4389
87: 4342,4774
88: 4501,51
89: 2249,4589,446
90: 1025,1439,3008,3189
91: 4394,1878,3929
92: 2729
93: 1360,3344,4004
94: 3949,2269
95: 
96: 386,43,4292
97: 1030,1234,1006
98: 2477,344,717,473,742
99: 390,4147,3171
100: 989,4161,2959,1957
101: 3206,2874,817
102: 4379,1385,2914,1383
103: 3889,4679,2069,807
104: 2079,1505
4733: 474,2078,2730,4531,2690,1507
106: 2185,3661,3212
107: 1198,2133,2558,2108,1471
4241: 2395
4491: 457,45,4823,4795
110: 2461,1835,1116,4746
111: 344,2878,3728,742,3855
112: 
113: 2458,2601,1592
114: 499,910
115: 3345,2396
116: 3576,4458,347
