0: 1189,4263,1693,1965
1: 4644,1304,3790,3916
2: 3874,1314,3393,3625,2105,3410
3: 2755,4251,2654,3958,4424
4: 1543
5: 2898,1145,1888,1474,598
6: 2943
4620: 2423,4286,3847
8: 206,2114,2109,3307
9: 1958,3088,3710
10: 2707,3081,815
11: 2734,111,846
12: 2307,2120
13: 3553,2113,2528,1008,415
14: 345,4006,2686,3806
15: 4289,134,2582,2433
16: 2510,4640,679,1783
17: 2425,4541
18: 2552,4162,726,4219,878,1867
19: 994,2641,230,2619
20: 4384,4322,2443,3139,2024
4585: 2867,2588
22: 1180,3746,4538,110,1720
23: 2634,261
24: 1709,488
25: 2764,1032,366,3105,2636
26: 3524,3604
4626: 1732,4283,3962,1869,4253
28: 
29: 3721
30: 
4553: 2671,2067,4688
32: 1941,2286,3344,1609
33: 3897,2593,1386
34: 2609,4558,270,429
35: 4019,4581
36: 4257,2410,673,2752,504,2696
37: 634,2912,4519
38: 2121,865,1069,1648,692
39: 852,4082,4529
40: 670,4708
41: 1332,433,128,2967
42: 798
43: 1565,2348,2454
44: 
45: 2662,2779,3132
46: 2437,3934
47: 2681,476,669
48: 1124,3166,1734
49: 1307,1120,3976,555
4807: 888,3665,3365,707,2362
51: 3448,220
52: 1087,298,4149
4476: 2991,4207,1018,1735,1362,272
54: 560,136,3363,3762,125
55: 3854,77,4680,2734,4351
56: 1953
57: 2078,3350,3188,2225
58: 3318,3280,2630,2995
59: 3903,2911,2795,665
60: 954
61: 3189,3742,4658
62: 1274,595
63: 4444,2930,1507
64: 4083,4088
65: 4485,3608
66: 2339,2881,1563,913,4192
67: 4624,4716,2066,207
68: 1619,4542,1388,1413
69: 4231,4295,1359,606,2210,4333
70: 
71: 968,3547,1853,3677,75
72: 3353,3253,877,455,3405
73: 3423,3282,2429,2060,950
74: 4056
75: 1009,3547,71
76: 4014,1047,1805
77: 55,3854,2734,1575,2851
78: 2558,4737,277
79: 995,3226,1502,4747,3423
80: 2799,1582
81: 1108,1397,2520
82: 2167,4822,3669,1424
4711: 2628,3235,794
84: 2701,1835,572
85: 2003,2761,2676,1168,209
86: 2296,1294,2803,406,4362
87: 4730
88: 2274,230,3495,2064,4583
89: 1090,144,3612,3315
90: 291,4666
91: 1750,4526,2392,4193
92: 3661,3074,2795
93: 1966
94: 4175
95: 2994,2716,4287,3548
96: 
97: 1385,2463,548,4195
98: 1520,2647
99: 4544,4538,3844,3755,475
