0: 1999,1643,369
4486: 1034,1180,1974
2: 3118,4717
3: 3137,169,4632
4548: 282,3768,871,1647
5: 2126,3310,3979
6: 1923,147
7: 48,992,4330,4818
8: 2309,850,197
9: 4734,4391,2199,3827,1862
4717: 2
4739: 533,4618,3145,543
12: 1059,1164,4401,4742,4139,4199,4058
13: 3417,1550,2275,3153
4792: 3808,2291,1763
15: 3740
16: 385,957,2795,2306,1316
17: 3206,2640,4701,3018
18: 4728,4571,3543
19: 1590,1902
20: 2872,2068,3612,1575,2853,816
21: 2659,2401
22: 4772,2110,2712
23: 666,4783
24: 
25: 1203,4295,1313
26: 3178,4196,3468
27: 3860,1407,1310
28: 1110,4259
29: 
30: 773
31: 1593,54,3166,2018
32: 2998,2505
33: 4815,950
34: 1501,922,1275,2313,3878,91
35: 2946,1582
36: 965,2181,1980,4573
37: 1064,748,1229,836
38: 685,461,4135,3164,1322,4576
4433: 4467,2740,3569
40: 739,304,2730,2955,3524
41: 873,1994,4304
42: 3134
43: 2617,1389
4461: 4322,2696,2169
45: 1117,2116,2152,1586,3453
46: 3591,4660,2157,1447,2291
47: 1430,519,4253,824
48: 7,992,3067
49: 3550,107,1870,2922
4628: 4032,207,1685,204
51: 990,523,3494
52: 1195,1255,1904
4319: 2503,2825,3744
54: 61,1253,31
55: 3612,1113,3112,4479
56: 
57: 896,4651,2630,3665
4561: 619
59: 1156,1462
60: 4315
61: 3052,54,3090,1253
62: 1984,377
4622: 3338,4505,4311,489
64: 3454,495,3595
65: 2055,3188,1050,964,4158
66: 3497,4734,775,2374
67: 1056,1428,3993
4525: 1251
69: 3583,3297,3080
70: 3286
71: 2566,3420,4019
72: 688,1683,3727,1120,3176,4057
4651: 57,2782,3665,97
74: 1623
75: 
76: 3858,1109,2911
77: 4625,2512,3786,3492,3603
4378: 2273,1894,3440
79: 2485,4679,3302,3802
80: 2977,4708,795,4360
81: 3218,1539,3649
82: 4106,4409,4403,2209,3784
4354: 4092,2482,1658
84: 2349
85: 4143,1013,3055,205
86: 1597,1745,3809,2803
87: 2808,2524,4757
88: 2996,2287
89: 417,373
90: 804
91: 4740,1275,34,2871
92: 1480,1353,434
93: 644
94: 3482,1115
95: 2710
96: 4467,926
97: 1254,1383,4651,2658
98: 4002,3408,4399,1146
99: 692,4272,4589,221,958
100: 2553,711,4003,3781
101: 4294
102: 2316,457,143
103: 1725,835,4527,2010
104: 3529,555
4733: 2056,2426,3173,1265
106: 4781
107: 3550,49,618,2545,4567
108: 4538
4491: 551,4595,2316
110: 3693,2568,4569,2813
111: 4005,4725,3910,1058
112: 
113: 1543,4389,2296,1592,1801
114: 1492,4092
115: 3345,698
116: 445,1640,728,1433,4797
4626: 1327,3066,3981,2037,2113,163
4784: 4431,1956
119: 4631,3441
120: 2617,4764,566
121: 2039,2885,4658
