0: 4804,4532,4194
1: 4463,1551,4476,1079
4450: 1392,1245,466,4440,2488,4600
4812: 3589,1578,2800,2852
4: 2467
5: 372,1465,3524,1637
6: 445,792,1781
4620: 735,4545
8: 3424,4649,984
9: 124,3979,1161,1864,2857
10: 2854,772,2369,3318
11: 3101,2588,4368,2644
12: 4724,1555,3470,2545
13: 4079,4554,2199,2664
4608: 2485,1501,2613,3024
15: 502,3278,1766
16: 2770,76,1010
17: 653,2493,1386
18: 373,3959,4726,229
19: 945,3194
20: 4486,1257,419,2068
21: 1031,4584,2657
22: 2136,2419,2813
23: 1843,1667,3692,780
24: 
25: 4175,3047,1392,2812,272
26: 711,4499,1441,2926
27: 3765
28: 1050,1335,4759,4138,2639
29: 
30: 1331
31: 3125,3402,1584,2993
32: 374,2218
33: 121,3657,3988,4571,77
34: 3355,1022,733,173
35: 2799,3457
36: 1587,4732
37: 621,3269,2357,567
38: 3201,1569,1778,2719,3331,1395
39: 81,3477,2184
40: 110,1706,3262,965,2374
41: 529,2241,949,4508,2848
42: 1389
4669: 3958,2114,1485
44: 2467
45: 3295,3772,3726,4289,1672
46: 2651
47: 4397
48: 3874,4296,1609,2531
49: 3259,4239,2311,3546
50: 1882,1873,3097,2608
4776: 4313,3411,1325
52: 227,2967
53: 3434,2351,2305
54: 3620,2372
55: 190,3065,2969,2788,1414,3412
56: 1847,2268,1590,1415
57: 3623,1888,3136
58: 1783,3510,2351,3209,4714,2726
59: 98,2986,2984,2224
60: 279,2398
4539: 3846
62: 3947,836,444
63: 4259,4771,1924,3056
64: 1588
65: 2572,4046,3232,427
66: 3095,4659,791,3231,1174
67: 
68: 816,3014,878,3492,373
69: 453,2411,3243,4203
70: 879,1761
71: 1351,2424,437,4693,3243
72: 809,3359,1785,164
73: 1700
74: 2832,2917
75: 1032,3996,2346,4723
76: 2770,16,1463,3408
77: 4258,3626,33,121,2646
78: 1123,340,2117
79: 1951
80: 4716,3632
81: 617,39,3216
82: 2893,1524,1126,3103,2414
83: 4493
84: 759,1671,1033,3548
