270: 1577,1168,4655,1619
271: 2099,4707,3936,2764,3158
272: 2441,713,2142
273: 4657,879
274: 4299,1655
275: 1094,1728,350
276: 3958,845,3231
277: 700
278: 334,924,1973,3019
279: 1173,2663,4799,4298
280: 3243,3236
281: 1221,2274
282: 1058,1165,1762
283: 3539,690,1644,1160
284: 4158,964,3596
4530: 3214,3165,2656,2981
286: 
287: 
288: 3990,4579
289: 3500,2858,1980
4695: 1617
4614: 1798
292: 3785,4041,3677,2080
293: 
294: 98,2803,3353
295: 
296: 2619,4291,2950,1011
297: 1029,1042,1871,2392
298: 253,983,326,836
299: 683,4334,243,360
4804: 1673,2092,3089,1273
4769: 2335,1192,3932
4659: 3374,2714,2734,2277
303: 540,1302,1864,614
304: 1794,4444,727,1562
305: 1841,1083,1918,3936,2501,2373
306: 1811
4577: 316,4371,4437
308: 3211,1616,952,942
309: 3292,2347,4414,498
4582: 260,2716
311: 1374,3316,2204,4768
312: 1996,1366
313: 3351
314: 
315: 4803,2641,3695,2965
316: 4577,2156
317: 3858,3646,1188
318: 3567,2531,3196,1509,1431
319: 66,3612,4740,108,3836
320: 
321: 2409,3607,2042,2917,196
322: 1065,3447,3720,2514
323: 4410,2968
324: 
4592: 
326: 4321,4490,298,983,439,3083,3332
4680: 4752,1054,993,2493
328: 1238
329: 3145,1535,3340,3293
330: 
331: 3745
332: 255,1116,937,732,2403,1118,702
333: 4243,3524,81,3670
334: 278,924,3019,1693,2256
335: 
336: 205,3567
337: 2937
338: 4329,1118,4071,2136,3750,1116
339: 3932,1065
340: 628,3848,2311,1719,394,2711
341: 
4786: 3788,4302,64,1711,4652,867
343: 3387,3308,4108
344: 1598,1194,2128,4518,4750,3484
345: 916,1803,2104,936,3079
346: 3906,620,3702,3218
347: 3377,2433,1781
4333: 561,1185,4050,599
349: 3825,265,1469,1748
350: 1094,1728,275,4788
351: 3742
352: 559,3273,621,531
353: 2737,3387
354: 2864,3581
355: 3518
356: 2997
357: 958,1783,269,3608
358: 715,1639,4714
359: 3742
360: 3546,243,299,573
361: 1061,3270
362: 2406,3535
363: 76,3137,3957
364: 2935,1976,2642
365: 1604,3054,2526,1200
366: 26,4213,4360
367: 3545,2237,1771,4639,902,3413
368: 2189,2041,414,3591
369: 3455,2610,2997
370: 870
371: 3498
372: 1970,972,4723,1266,3335
373: 2443,2659,3471
374: 3048,3014
375: 1375,2216,1405
376: 3598
377: 3572,1773
378: 4746,3147,1428,396
379: 257,509,1013
380: 4629,2062,3816
381: 1242,2252,3062,2396
382: 3013
383: 510,635
384: 4480,3491,2323
385: 1613,3615,4195,1053
386: 
4654: 1964,2263,2287,2935
388: 3797,2023
389: 1102,1676,78
390: 1704,3112,2872,553,3185
391: 829,3871,1201
4387: 2920
393: 3377,3555,2433,2995
394: 963,1719,2711,340
4801: 1301,695,1003,2149,3702,3906,3649
396: 3092,1551,3147,378,1428,2201
397: 2894,4781
398: 1910,4653,3477
399: 2758,3715,3882,3571,4391,3173
400: 3945,2534,822,3345
401: 1135,3429,4474
402: 818,1982,4215
403: 3097,2804,1730,1706
404: 484,4332,456
405: 
406: 2108,4215,2101
407: 895,1088,1868,450,3628
408: 3299,528,4406,1982
409: 2435,2285
410: 771,3561
411: 4141,2028,2246
412: 443,4463,4543
413: 
414: 2981,1909,368
415: 4306,2683,4698,615,4376,4667
416: 2376,3077,3890,3857
417: 1262,1856,2004
418: 4356,1571
419: 853,4728,3733
420: 2554,957,4325
421: 927,188,4384,3271
422: 1303,3042,1468,3940,4259
423: 4565,4396,4549,4039
424: 1588,4660,1113,2952
425: 1149,1294
426: 2034,2785,2511,3686,543,2308
427: 1385,2662,1784,1002
428: 1882,4121,4383,21,165,3577
429: 4135,3139,1327,1395,3964
4484: 4349,3,3566
431: 240
432: 2769,4809
433: 4485,549,2989,1748
434: 1473,4080,2855
435: 2286,769,4464
436: 3832,3271,2272,931
437: 2087,3937,1979
438: 1207,3875
439: 326,3332,2742,4346
4326: 1761,1359
441: 2996,4278,591,3509
