299: 4635,4745,3183
300: 1762,263,917,2817,3214
301: 1594,1636
4595: 2770
303: 1958,501,4809,3884,2707,785
304: 246,188,2230,3771,292
305: 1433,3350,2062
306: 1306
307: 2650,474,740,751,35,4259
308: 2938,4786,4673,3343
309: 3690,2833
4805: 2545,86,1895,444
311: 2018,1369,136,3418
312: 3600,1133,1278,4437
313: 123,2674,3222
4642: 3165,2347,4465,4747
315: 88,1422,3972,4079
316: 3938,3669
317: 1241,4426,1136,4334
318: 2557,3140,345,2610
319: 3875,2127,2922
320: 4069
321: 2465,1540,1607
322: 453,3712,1295,1642
323: 343
324: 3265
4123: 1593,1314,2204,1838,1398
326: 3876
327: 1951,862,3778
328: 2326,948,694
4374: 4164
330: 3099,231,2289
331: 3684,1546,4442,4194,3916
4413: 
333: 4359
334: 1893,3650,3514,2325,1874,2136
4662: 1754,3449,3124,1153
4625: 2477,3559,98,953,2769
337: 3143,276,4298
338: 1068
339: 1875,619,60,1810
4612: 
341: 2829
342: 2338
343: 323,1764,2558
344: 2543,1045,2361,2640
345: 3166,318,3140
4486: 1570,163,4428,1730,4562
347: 4743,4575
348: 2453,4403,2107
349: 2611,2172
350: 3616,2149,3815
351: 1213
352: 1084,3617,3550,2545
353: 
354: 1474,668,372,497,2750
355: 
356: 482,1220
357: 3280,65,710,1783,3951
358: 871,868,4787
359: 3317
360: 1450,2213,1049,3636,1327,1040
361: 3895
4490: 4239,3982,294
363: 3704,3314,1715,3663,490,2826
364: 419,1608,2842,108
365: 739,2823,1965,255
366: 4180,1659,4184,3158,3163
4384: 838,2089,2709,2523
368: 4465,1964,1370,4435,1814
369: 2936,1966
370: 3560,1177,2286
4364: 224,2662,4279,2385
372: 4634,4213,1474,354
4447: 978,4768,1869,2759,3817
374: 3664,4229,4783,2996
375: 278,4698,2337
376: 4436,3516
377: 1248
378: 3806,479,541,2047
4580: 4622,579,4741,4713,3898
380: 3623,3758,3341,1998
381: 
382: 2924,899
383: 2723,1938,3519
384: 4301
385: 3322,4388,774,160
386: 
387: 2095,718
388: 
389: 867
390: 3845,3485,38
391: 1387,2326
4605: 2760,2635,4024,49,2121,1842
4403: 2453,348
394: 1318,2950,4737
4267: 1846,2273,3515,2912
396: 1845
397: 1963
398: 578,2605,2214
399: 2566,1459
400: 2217,2504,1444
401: 1310,756,1650
402: 2850,4492
403: 660,4218,3989,2597,271
404: 1008,2272,4596,3227
405: 4358
406: 3323,2000,3956,1680,2775
407: 4663,2310
408: 526,2726,287
409: 
410: 1954,1336
411: 1227,3979,935,3816,4586
412: 2960,1428,3660
413: 3738,458
414: 2737,4058
415: 1068,2889
416: 617,2781
417: 3087,3200,3484,4551,1879
418: 2433
419: 489,364,1608,1878
420: 3396,1848
4533: 2756,954,2654
422: 271,1018,3838,4765
4722: 179,3808,46
424: 2161,4109,1293,3370,1713,722
425: 
426: 1541,1601
427: 4201,843,2868,2316
428: 2420,2416
429: 1990,4112,1136,692
430: 
431: 460,1635,2156
432: 1633,3526,4561
4713: 1001,2883,4741,4580
434: 3862,3943,2383
435: 3732,1671
436: 2669,4778
437: 3132,1309,2989
4233: 4452,120,450
439: 1109,1680,1633,2699,4146
440: 2647,4424,2514,4469
441: 
442: 4443,175
443: 1682
444: 1249,4805
445: 525,1729,4206,3075
446: 4221,1562
447: 2903,1727,4111
448: 3295
449: 1959,264
450: 4233,1039
4740: 1909,244,1119,107,1180,2277
452: 
453: 322,1295,1642,2452
4733: 913,2233,4574,2280,469
455: 4742,4774
456: 1388,3095
457: 
458: 413
459: 916,3057,1378,1176
460: 4214,2156,431
4665: 710,1783,4637,3202
4450: 2130,565
463: 3783,2236
464: 522,883,3526
4451: 4223,3758
466: 4700,3100,3283,4357
467: 
468: 1999,258,921,2443
469: 2707,2280,2967,4733,913
470: 1304
471: 597
472: 
473: 845,935,3816,4574,4235,3408
474: 2650,307,3001,740,2746,2730,751
475: 2364,4093,2649,4768,3170,3981
476: 1360,3713,4816,2397
4337: 1532,2770,1223,58,3042
4596: 1008,404,4280,3227
479: 3806,378,1313,2047,2732
480: 1399,2008,2811,2134
481: 744,1697,2066,860
482: 3172,356,2083,1220
483: 1126,1235
484: 85,2823,2207,2809,937,766
485: 4132,3528,2768
486: 3020,2239,1255,3069
4574: 3408,4733,913,473,3816
488: 
489: 419,1608,1884,3636
490: 3663,3665,2826,3704,363,2203
491: 1191,3087,1346
492: 3393,3217,921,556
493: 3582,1957,4391,3583
494: 2543,628,2361,4199
495: 2173
4510: 2315,80
497: 1839,1032,2750,354
498: 2072,3883,1104,1493,840
499: 985,809
500: 2829,1910,1186
501: 1958,303,785,2339
502: 3581,2225,2084
503: 4050,2566,0,4369
504: 1721,1803,1517,658,1431
505: 2209
506: 2655,2070,775,3178
507: 2842,3112,622,2366,2593,108
508: 2055,3907,847,1962
509: 3735,996
510: 1434
511: 294,723,891
512: 3552
513: 2052,3414
514: 1488
515: 
516: 4261,612
517: 3894,3692,14
518: 1551,272,4091,4473,1670
519: 1540,4613,2633,1607
520: 2778,1274
521: 3137,3576
522: 464,2507,4047
523: 4054,824,3386,2389,2029
524: 
525: 445
526: 2726,408,4315,2276,1462
527: 2683,4705,936,1256
528: 4270,3766
529: 3677,2630,3377,3645,3983
530: 1165,3267,2908,2359
531: 4702,1408,3167,2300,3068
532: 2366,2593,3763,1771,2391,2511
533: 
534: 1500,4661,4745
535: 2386
536: 837,3410,2399,4322,31
537: 1365,1236
538: 1628,2628,3481
539: 
540: 914,933
541: 2980,2047,378
542: 1361,2945,191
543: 3145,2917
544: 4274,4041,968,2305,788,3986
4410: 
4327: 3228
547: 1655,4496,167
548: 1751,4158,1935
549: 1236
550: 100,1393,270,2089
551: 679,4758,1070,2578,2369
552: 
553: 3509,4721
554: 4400
555: 3679
556: 924,492
557: 2548,805
558: 607,2597,1657,1212,4218,606
559: 3811,2158,2938,2014
560: 3738,2027,2372
561: 4210,3063,2632,1270
562: 1611,2620,3589
563: 
564: 2980,4818,973,1382
565: 1679,4450
566: 1899,2400
4653: 3954,4707,1217,1404
568: 1861,2852
569: 940,2910
570: 1599,4618
571: 3511,248,2482
572: 2110,2487,2513
573: 177,2117,3959,4258,3760
574: 1683,4502,3885
4803: 2293,2969,2787,3428,18
576: 3923,2825,3294,3280
4823: 1706,1012,4185
578: 2605,398,2214,806
579: 1011,4580
580: 2535,4531
581: 3733,1559,3213,3812,228,3271,890
582: 
4699: 4666,4757
584: 2155,3859,4671
585: 
586: 2048,3391,2229,2918
587: 2068,3988,4076,3972,2437,3423
588: 3759,4258,3657,177
589: 2309,4443
590: 3609,670,1864
4397: 1360,4793
592: 4638,2810,2719,73
4466: 1129,3843
594: 1935,284,964,3319,3009
595: 
596: 3437,3187
597: 471,4181
4566: 
4770: 2203,3665,1028,1046
4383: 3745,1189,4663
4570: 1124
602: 2147,1452,3501,4684
603: 1870,3266,3413,4139
4552: 
4531: 1031,580
606: 2632,1212,607,558,3063
607: 2597,558,3838,606,3063,1390
4514: 909,2956
4572: 966,4029
610: 2769,2818
4161: 2888,1284,3102,3071
612: 3206,4261,516
613: 2694
614: 1279,2954,3963
615: 1455
616: 1301,3477,3820,2764
617: 2781,416
618: 4230,2108,4239
619: 339,60,809,2457,4769
620: 3649,1268,1880
621: 3120,2165,2844,4248,2412
622: 3112,507,1699,1662,2593
623: 4728,4139,2644,3413
624: 132,1942
4276: 257,1435
4222: 1841,1247,4619
4155: 1610
628: 2543,1045,494,2393
629: 1323,3058
4477: 
631: 2042,2287
632: 3975,290,3230
4679: 4523,1193
634: 3703
635: 2586,137,2304,662
636: 
637: 2517,1250,1128,4022
638: 
639: 200,3290,2581
640: 663,2861,1661
4197: 4394
642: 
643: 2609,4462
644: 2634
645: 2863
646: 1695,1173
4480: 
648: 4532,4569,1278
4528: 2492
650: 3840,196
651: 3561,112
652: 1583,1651,3974
653: 3360,1408
654: 1965,2416,4526,3896,2420
655: 2464,2094
656: 
4245: 3337,679,2578,3919
658: 1517,504,3335,2574
659: 3179,4294
660: 4218,403,1042,3989
661: 1107
662: 2586,635,4521,137
663: 3403,2353,640,2547,1661
664: 3885,4649,117
