0: 407,648,3639,1218
1: 1362,986,1940
2: 4353
3: 206,3704
4: 1429,2267
5: 4256,2017,2857
3996: 3153,475,1175,2350,2245
4620: 1487,4581,2184
8: 4155,1628
9: 4348,231,1209
10: 1852,3472
11: 4416,674
12: 1608,2563
13: 1324,2752
4276: 4093,1176
15: 1296,292,888
4153: 1584
17: 
18: 2712,2344,3706,2456
4157: 3717,1979
20: 2422,4804,2461
4585: 2938
22: 1720,1241,1165
23: 3237,4816,3933,3166,4746
24: 
25: 2530,3037,4693,3527
26: 1397,1465,346,3105
4626: 1424,2024,2847
28: 4794,946
29: 
30: 249,1755,1331,2247
4553: 2652,4403
32: 1893,4818,4796,3519
33: 1412
34: 1424,89,3607,2256,2536
35: 1766
36: 3716,2752,242
37: 4317,2468,2251,4216
38: 1175,4447,244
39: 4412
40: 366,1200,235,2540
41: 4640,3801,2589,1423
42: 4706
43: 
44: 1320
45: 2097,3430,1561
46: 951,1623,323,3757
47: 321,1823,673
48: 1612
49: 2178,243,1396,4416
4807: 2028,4308,2553,2052,647
51: 611
52: 730,2551,1437,432
4476: 3761,4788,2210
54: 3698,2792,1401,1871
4039: 4671,151
56: 1489,4594
57: 3409,2800
58: 2119,4770,1205,2478,4209
59: 3307,3173,451
4333: 4051,213,2496
61: 3448,2900
62: 2388,4137
63: 4472
64: 2211
65: 1816,2043
66: 3307,3720,4187,2109
3915: 1818
68: 2670,209
3966: 92,1900,1469
70: 3633,3969,3770
71: 183,2530
3816: 610,2731,2955,1783
73: 2856
74: 
75: 3986,3012,4100
76: 3365,376,292,143
77: 2259,2129,1566,904
78: 4652,2158
79: 2579,329
80: 4628,418,115
81: 1970,3451,3188,157
82: 1836,3035,1289
4711: 2967,2663,1332
84: 2771
85: 2250,2709,1999,1068
86: 2314,748,1294
87: 
88: 1060,4578,644,4739,2505
89: 1424,34,729,2024,3607
90: 3934
91: 4821
92: 3034,3966,1749
93: 3574
94: 234,803,1317
95: 3380
96: 
4014: 2030
98: 4605
99: 2403,4544,3758,1993
100: 4142,1851
4134: 3940,2623,272,508,562,606,859
3808: 4603,4635
103: 1589,539
104: 
105: 2656,3863,1044
4652: 4729,78
107: 633,3714,2599
4220: 2352,3075
109: 442
110: 4709,2327,2822,2664,4455
111: 2497,2646,2872
112: 
4791: 1827,751,1487
114: 
115: 1545,607,80,2924
3964: 4178,3315,4278
117: 2329,4800
4429: 3103
119: 4260
120: 4194,2062,4599
4232: 2192
122: 3884,1695,2578
123: 1016,3714,1380
4680: 2853,4815,1927
125: 1324,1310,415,1705,1550
4532: 4641,1369,4822
127: 3974,4534,3577
128: 1462
129: 293
130: 3058,4468,3434
131: 4308,2553,2955
4099: 1383,1365
133: 2138,2039,1045
134: 3532,3652,2299
4596: 1103,1636,2603,4778
136: 666
137: 
138: 815,3663
139: 
140: 159
141: 2439,3109
4361: 1945
143: 76,376
144: 1588,865,2280,2922
145: 954,4500
146: 3234
4319: 513,3923
148: 802,4771,2153,2843
149: 
150: 2864,1956
151: 4039
152: 671,1986,4304,3925,2863,869
153: 1927,1413,1501,2836,1086
154: 184
155: 1261,511,2571
4065: 1115,1304,1664
157: 4734,1604,81,3451,2004
158: 2285
159: 140
160: 1749,3631,2203
161: 3107,4359
162: 3829,2556,2243,619
163: 1643,2204,602,1103
4762: 674,2562,3379,3727,4109
165: 1607,4420,725
166: 224,3199,1141
167: 4608,4728,1704
168: 4310,3457,210,2750,1363
169: 4508,1265,671
4201: 3753,2030,529,3814
171: 
172: 2047
173: 1350,2156,1685
174: 1423,958,2264
175: 2922,2794,4144,1715
176: 
177: 1575,3759,344
178: 
179: 359
180: 4797
3843: 
182: 4551,265,2359
183: 4101,71,3986,2530,3037
184: 154,3235,3537,2904
185: 3586,2854,3510
186: 4575
187: 2790
188: 4623,1241,3873,2607
4295: 4636,1212,3561
190: 3405,3412,3697
191: 
192: 2385,881
193: 1592
4166: 
4771: 4180,802,1339,2747,2153,148
196: 4330,997,1701,4204,4336
197: 3424,1796,2282
198: 1783,2553,1647
4796: 3519,1854,4818,2701,32
4048: 4693,3350,3175,3012
4634: 3771,1968,3557,4764,2776
202: 3117
203: 1456,1035
4794: 941,2618,1877,1303,4727,4243,3772,4499,1309,946,28
3997: 3599,1157,276,1916
206: 2722,3
207: 1329,1411,1915
4785: 2156,829
209: 936,3492,3612,2670,68
210: 3847,168,1363,2184
211: 
212: 285
213: 4207,4129,1169,4333,4051
214: 1591,4770,1205,4209
4507: 1331
216: 2350,2245,4193,4252
4420: 165,1607,1414,725
218: 1506,4787,2881,3168
3831: 3613,2848
220: 1631
221: 891,1380,1191
3811: 738,3065,590,1651
223: 4783,4674,4115
224: 2635,166,1974,4490
4613: 
226: 1313
227: 1010,4787,1653
228: 3698
229: 1165,2627,704,4147
230: 1788,4778,1361,436,1025
231: 777,4348,9,1209
232: 2671,3632
233: 2755
234: 4765,1660,803,94
