0: 1874,1965,876
1: 4550,3172,2107
2: 4189,2384,2105,918
3: 1089,8,4251,1065
4: 4478,574
5: 1474,1200
6: 4068,1726
4620: 3847,4277,4326,2504
8: 2114,1384,1096,3
9: 710,3231,4027,3681,1532,2749
10: 772,1024,251,3903,160
11: 2497,4724,1575,2734
12: 2177,674
13: 2752,85,1570,3519
14: 345,4437,4085,2889
15: 143,2433,2086,3080,719,2582
16: 4601,2630,4049,3337
17: 
18: 4626,1001,4596,1577,2552,1867
19: 994,3495
20: 853,3842,1999,1176,2181
4585: 1281,3044
22: 3709,3910,2327,4524,4406,2392,1747
23: 1650,2684,1333,861
24: 3735,1075
25: 2566,40,2764,4003,1012,4823
26: 670,1381,2764,2484,1201
4626: 18,878,1001,857
28: 3937,1094,4812
29: 
30: 176
4553: 4292,1581,2671,2616
32: 3170,4796,3724
33: 4792,2600,4036
34: 1031,2256,4804,2536,732
35: 3416,2438,80,2784
36: 1499,3584,2858,1779,4505
37: 4408,2912
38: 2280,3391,3975,4455
39: 2504,651
40: 25,2566,4048,1474,2958,4003
41: 2722,3199,4439,4209
42: 3597
43: 95,691,449
44: 
45: 4359,3132,4206
46: 4446
47: 4699,2112,2487
48: 3177,2925
49: 3697,3069,3323,618
4807: 2001,888,4744
51: 1681,1454,1379,2539
52: 4502,576,4390,801,1307
4476: 3687,1392,2370,1795,272
54: 2355,3363,1913,1594
55: 1806,3108
56: 
57: 3350,71,1465
58: 473,3280,411
59: 2339,3661,3193,1563
4333: 4636,4231,1655,822,3180,1359
61: 
62: 1274,3703,139,1233
63: 4382,793,3541
64: 1885,2920,813
65: 3464,4517,2479
66: 1028,2005,3155
67: 1581
68: 4623,3227,89,332
69: 606,1359,4158
70: 
71: 3012,1465,57,3350,1032
72: 4228,3405,3154
73: 2010,533,2964
74: 
75: 3719,3505,549,150,4116,2017
76: 3631,4014,1900,1848,151
77: 4258,3328,2497,4724
78: 2486,277,882,4097
79: 919,787
80: 1363,2784,35,3416,3327
81: 372,3882,3111,2488
82: 3204,2207,1424,3639
4711: 4671,152,3481
84: 4445,4810,1438,2364,369,1854
85: 1779,4505,13
86: 4385,2380,1294
87: 
88: 3495,2519,2263,2737,3024
89: 4623,3227,68,3793,2391,2456
90: 4661
91: 2672,4440,167,3746
92: 3155,3661
93: 749
94: 4599,1827,4019
95: 43,4717
96: 3913
97: 1791,1385,774,2611
98: 3747,190,1372,1120
99: 4526,110,167,3746
100: 1503,4569,429,4270,4121,1459
101: 1300,2296,3370
102: 2086,3080,3749
103: 2489
104: 
105: 367,4163,2436
4355: 212,3835
107: 3786,3156,891,2098,1319
108: 1713,1112,1016
109: 621,1514
110: 2990,99,632,167
111: 3108,2549,2734
112: 
4791: 803,928,3568,149
114: 2154
115: 4120,3906
116: 4157,892
117: 206,3563,337,954
4429: 3027,1839,694
119: 2219,1039,2227
120: 2107,4765,4756,1304,2877
4529: 2875,2184
122: 2992,3034,2848,781
123: 930,1086,373,3964,3315
4680: 1677,3200,1080,1396
125: 1617,2792
4532: 4697,3948,1232,1893
127: 3623,3723,752,2526,3349
128: 3658,529,893,1046
129: 3390,3152
130: 3730
131: 2233,785,2212,3534
132: 
133: 945,4205
134: 3342,3608,2565,3532
4596: 2885,3959,4283,1577,18
136: 1823
137: 362,381
138: 4187,245
139: 62,3703,1233
140: 
141: 4134,4211,4621,3047,3940
4361: 4097,3788,1097
143: 2411,2433,15,2086,1323
144: 3185,332,1090
145: 
146: 4631,1171,370
147: 
148: 1703,2180
149: 4791,3568
150: 4223,3689,2225,4116,75,3505
151: 1848,938,3631,76,906
152: 4711,251
153: 2125,900,2655,927,2629,3807
154: 715,185,1453
155: 2969,688,4490,4809,1471
156: 1275,3603
157: 493,766,1479
158: 771,4382,2690,3841,3215
159: 
160: 665,1024,10,3903,2578
161: 1853,3677,827,237
162: 4813,2772,4321,4216
163: 2670,2892,2019,2113
4762: 2088,4774,4058,4401,1495
165: 498,3706,4622,2344
166: 3336,1598,4388,2726
167: 4440,632,110,99,91
168: 2438,4662,3446,497
169: 4315,2944,596,3481
