0: 2997,714,2348,1000
1: 2587,2384,2156,403,3642
2: 3739
3: 1759,689,60
4821: 503,1940,26,547
5: 2442,2839,4041,3677
6: 180,2118,3915
7: 4075,4818,1996,3196
8: 2778,3821,3155,2415
4728: 1995,1123,4226,3792,2830
4688: 3467,2692,4516,2232
11: 17,193,2558,559
12: 3259,1743,4399,2117,2493,604
13: 246,1079,3262,4193,1750,3619
14: 4121,415,3955,1973,1859
15: 2650,4491
16: 4775,2537,1074,2031,940
17: 11,193,2571,664,2850
18: 1103,581,853,1770
19: 4684,2519,3226
20: 4505,4076,3512,4578,3968
21: 2471,4218,3335,2677,4121,1031
22: 4188,1636,556,4461,924
23: 4018
24: 1402,1285
25: 1637,474,976,3124
26: 1268,4821
27: 1360,205,2460
28: 718,2044
29: 3672,468,3029,2634
30: 61
31: 3584,1593,1540,848,1033
32: 2469,1101,1734
33: 830,1080,1073,2151
34: 319,1119,2327,3612,1275
35: 3965,3441,698,4606,4579
36: 3812,321,3490,498
37: 
38: 3733,4291,633
39: 508,1115,991,1795
40: 2898,4360,3882
41: 1051,202,540,411
42: 2023
43: 3118,2527,264
44: 4515
45: 1009,3527,3505,2989,827
46: 2682,4347,4108,2622,1244
47: 2409,4613,3686,3386,1937
48: 2743,1765,1823,318,258
49: 2358,189,111,639
50: 3451,3149,1638,481,1649,479
4657: 3218
52: 1952,914,2756,3833,2155,4424
53: 4656,1448,871,1695,3499,134
4638: 587,1081,1897,1820,3934
4711: 823,3203
56: 2542,2042
57: 212,4708,1957,894,4611
58: 958,1423,2305,971,3816
59: 2789,1154,1332,440,3592,4790
60: 3
61: 30,1364,1361
62: 1984,779,3932,1300,1192
63: 2852,1992,4059,3533,4355
64: 3266,1054,2956,4702,3273,4786
65: 3409,4046,4223,4096,1969
66: 576,1844,4542,4625,4228,1069,221
67: 4327,187
68: 
4666: 3387
70: 
71: 4180,195,802
72: 4434,4469,478,2794,3403
73: 995,2366,4197,1529,1725
74: 4776,4328,543,2802,2838
75: 3630,2868,1139,2153
76: 4192,4027,2971,4012,3586
77: 4199,2277,3225,4815,1822
78: 507,2161,2158,1764,4737,4241
79: 1143,3226,2389,329,2519
80: 3949,2285,2784,2221,470
81: 2316,4243,3670,968,859,4116
82: 4185,1925,1657
83: 1300,985,4155,1514
84: 
85: 3731,2337,2686,1959
86: 2775,1505,3127,4372,4719
87: 
88: 1415,2259,2058,3757
89: 1393,4626,3267,3938
90: 
91: 2941,2559,1040,622,1780
92: 4016,3663,3957,4367,717,1184
93: 3348,3933,4564,3666,4395
4631: 4233,2404,4181
95: 2506,3548
96: 3868,866
97: 1053,1352,3275,387
98: 1904,3531,2637,2753
99: 4663,255,4440,100
100: 3993,1738,4440,99
101: 4155,1514,2205
102: 4714,1091,2578,3919,4587,2859
103: 3705,3861,4674,1590
104: 
105: 591,1100
106: 2904,1812,3892
107: 4660,3087,2117,390
108: 2048,3878,459
109: 3279,2844,693,552,4340
110: 4398,3722,1262,1840
111: 2358,49,2714,639,2120,247
112: 1317,3383,2932
113: 2808
114: 910
115: 735
116: 1513,2576,4099,437
117: 4561,1875,2016
118: 222,4435,2973,1426
119: 3013,2192
120: 1235
121: 4008,3050,2761,2793,2275,1398
122: 4298,3193,784,815,3041,3884
4733: 2230,3294,663
124: 1289,4709,1720,747,456
125: 848,3813
126: 2251
127: 4668,155,3709,200,3173
128: 3162
129: 3223
130: 3131,2565
131: 4486,2140,3807,2249,652
132: 4169
133: 1267,4675,1641,1599
134: 3499,4124,908,53
4566: 3390,4690,2418,2901
136: 4296,2683,4397,1609,527
137: 
138: 772,4039,1024
139: 
4640: 4551,1067,2670,3571,2070
141: 2488,3906
142: 2584,4748
143: 2598,4042,3434,214,4468
144: 2015,3191,338,974,4263
145: 
146: 4755
147: 
148: 554,2541,1561,3857
149: 3114,275,2620
150: 1827,1969,2767
