0: 2865,3935,365,144,3674
1: 1930,450,137
2: 3398,3445
3: 4484,2755
4: 2577
4202: 
6: 831,2517
7: 4706,42,260,3363
8: 1821,1753
9: 2115,1449,3088,1372,940,818
10: 1661,1341
11: 1917,4094,4789,3727
12: 1418,3169,4725,3974,1240
13: 3057,2619,68,3553
14: 468,4441,2399
15: 1076,3236,3443,3547
16: 2385,3502
17: 2300,1603,664
18: 2357,1588
19: 3494,1727,3289,820
4334: 1780,1112
4820: 4638,4352
22: 3512,1721,3981
23: 4143
24: 4133,2805
25: 2095,3188,3825,4821
26: 654,3896
4624: 3368,2716,2960
4800: 3901,287,276,1658,4092,3517,2295
29: 
30: 1342,3429,3402,220
31: 837,4006,4818
32: 4004,805,191
33: 494,3285
4767: 955,3361,3744,1099
35: 795,1560,2814,1479,568
36: 4053,2903,1281
37: 4689,3927,3703
38: 3657,622,360,1608
39: 2933
40: 3499,1972,3436,4337,1223,3110
41: 742,2831,1423,2878,1598
42: 4706,7,2461,3363
43: 95,4287
44: 4294
45: 2180
46: 2965,1164
4592: 2576
48: 3603,1412,1068,338
49: 1534,933,3534,1170,2549
50: 4754,3998
51: 2838
4591: 4238,1647,2724,3747
53: 4586,3704,3951
4341: 584,2551,3220,3264
55: 789,943,3299
56: 
57: 2052,2754,3497
58: 4048,2995,1532
59: 2663,3207,152,4304
60: 3651,619,3947
61: 2186
62: 442
4773: 4369,503
64: 4607,1579
65: 3704,2075
66: 469,3839,2636,4209,4439,2329
67: 1973
68: 13,916,3968
69: 547,734,4609,3940,2520,620
70: 2244
71: 2630,2128,788,3415,1935
4380: 2487,572
73: 1166,3029
74: 824,1987,295,3889
75: 3996,387,2852
76: 2911,3892
4213: 2758,864,2130
4721: 4108,674,1100,4045,4246
79: 805
80: 1155,384,2602,1238,4266
4609: 547,69,3940
82: 3815,4480,4503
83: 1543,522,2916,1857
84: 
85: 4344,4577,1912,1162
86: 1895,3982,4709
87: 833
88: 2657,2511,414,4079,587
89: 4222
90: 2064,4819
4709: 86,1895
92: 2726,4187,526,2352
93: 
94: 203
95: 43,4287,870,3288
96: 3642
4640: 1211,1841,1567
98: 750,2233,3408,473
99: 4551,4140,153
100: 2256,2419,2167,270
101: 1395,4608,2117,3760
4468: 665,1852,2667,2474
103: 
104: 
105: 2891
106: 3330,2848,4319
107: 1844,2670,2277,2528
108: 364,3112,4667
109: 2837,1831
110: 752,4398,173
111: 219,1870,2595,4728
112: 158
113: 352,1146,984,4030,4805
114: 3805,1746,4515,3594
115: 
116: 1340,3382,4310,3931
117: 589,3729,4443,3885
118: 3662
119: 3954,1511,4707
120: 
121: 1650,1166,401
122: 3537
123: 1287,1294,2644
4365: 2671
125: 4461,2833,990
126: 1107,841,3711
4652: 1244
128: 3207,538
129: 
130: 764,4677
4811: 4764,1845,396,1946
132: 2541
4280: 1455,3465,2952,1770
134: 1028,3314,490
135: 2724,4426,2121
136: 4810,1854,2169,1025
137: 2987,1
138: 3187,1628,2432
139: 
140: 2273,3006
141: 2396
4661: 3808,3183,1855,2972
143: 2589,521
144: 3674,3669,0,739
145: 1850,2775,3220,2869
146: 
147: 4124,2899,2680,1002,1399,4430
148: 4454,1703,250
149: 2107,443
150: 2706,3581,548
151: 1971,2848,1580
152: 218,3207,59
153: 4140,1879,610,1520,4551,99
154: 776,4013,3318
155: 1436,3922,3136,1563,1994
4683: 1907,3360,3971,1806
157: 1769,3110,3436,1215
158: 405,112,1108,2700
159: 2583,4711,2726,4187
160: 3365
161: 4775,2225,594,896
4511: 
163: 1873,1981,3830
164: 1821,1208,2778
165: 3600,509,2439,4095
166: 3923,576,469,1715
167: 366,1655,3533
168: 1956,2750
169: 1807
170: 385,1689,707
171: 4702,3811
172: 4804,4817
173: 3935,316,110,4398
174: 3737,1141,4316,1769
175: 1054,3146
176: 3999
177: 3760,1501,4122,3657,2034,360
178: 
179: 3843,661
180: 
181: 
182: 4048,958,2770,2080,4183
183: 3983,3510,3037,1351
184: 2986
185: 
186: 1259,4646
4776: 3129
188: 775,2480,4391,1604,2298,3582
4684: 359,1830
190: 3428,1588,3214,3807,1606
191: 4004,32,542
192: 
193: 
194: 3503
195: 3186,4065
196: 542,3549
197: 
198: 2208,3358,210,4071,4106
199: 3111
200: 2562,3878,1380,729
201: 1349,2567,3984
202: 2881,2971
203: 94
4598: 854,3130,4648,1837
205: 2701,2202
206: 
4405: 468,4441,1093
208: 
209: 4580,3170,2649,709,3217
210: 3877,4686,198,3358
211: 
212: 3917,765,1515
213: 1145,4329,2072,937
214: 4101,4337,1223,4595,3105,1748
4651: 968,3341,3986,4601
4483: 1728
217: 3640,3287,4270,2655,1732
218: 3207,538,4026,2625,152
219: 111,1870
220: 30,1430,3402
221: 1022,1860,3881,2199
222: 
223: 2669,3191,436
224: 4790
4232: 2406,2184
4606: 3907,1110
227: 2878,3884,785,1423,2967,2949
228: 672,4225,4578,1871
229: 3153,4576,4739,4571
230: 4633,2193,3242,3387
231: 596,842
232: 2696,658
233: 3099
234: 1217,1404
235: 3518,3635,1640,1675,3175
236: 
237: 1391,1991
238: 3421
239: 1375,3395,2126
240: 2909
241: 256,2951,2686
242: 2523,1517,4445,4584,3035
243: 3776,4242,3872
244: 2858,1445,3227,404
4512: 592,295
246: 1139,2955,1769,1141
4790: 251,1279,224,4064
248: 2482,571
249: 3226,3094
250: 2708,148
251: 4790,1279
252: 
253: 2614,2546,432,1633,1109
254: 4434,1632,1062,2205,1087,3977
255: 2181,4074,766,2809
256: 2610,241
257: 1811,4697,4276,1435
258: 2443,3393,492
259: 1102
260: 7,3134
261: 306
262: 2731,944,4034
263: 4199,917,2715,3259,4086,2817
264: 3597,2686,992
265: 1702,2580
266: 
4734: 3233,1794,1679,1139
