0: 4074,241,4386,1893,1835
1: 3522,4175,1735
2: 3096
3: 233
4: 104,3943,2577,1138
5: 2056,1265,1886,2572
6: 1901,4770,1254,4325,2462
7: 3894,3762,4692,4504
8: 3072
9: 4548,451,5043,4488,66
4717: 4265,1760
4739: 2436,1246,4618,1605,2828
12: 570,33,2189
13: 1123,1867,4312,4449,1272
4792: 3808,323,841,2187
15: 2841,4431,3221,3944
16: 2459,160,41,1741,647
17: 2543,3273,2357,3475,4303
18: 4728,3546,846,3085
19: 2903,88,1976,2223,4246
20: 2871,708,2627,725,2313
21: 978,3139,4218,2401,213
22: 2552,2691,4383,4276,2245,2419,1884
23: 4793
24: 2139,1889
25: 4636,350,643,1926,3422,1511
26: 3536,3468,4703,1567,1925
27: 3170,31,3490,2202
28: 2781,3770,2095,1686,2977
29: 4113,731
30: 4069,236
31: 1594,4306,27,4816,3490
32: 669,3698,2487
33: 4058,817,4109,12,570,4752
34: 338,1414,1040
35: 4606
36: 936,3048,2836,2136,541,3500,3607,2889
37: 3572,2783,3939
38: 685,1090,4128,2664
39: 1336,2814,4696,562
40: 2206,3488,4536
41: 4027,363,1024,303,1741,16
42: 4817
43: 2710,3673,4695
44: 555,690,266,2532
45: 4169,1561,1833,3804,3077
46: 394,299,969,2950,1219
47: 804,61,1621,1342
48: 3032,1765,4257,4818,759
49: 2724,2277,2851,1943,1240,2133
50: 1967,1377,4577,1114,1638
51: 
52: 1633,984,4057,1175,1683
53: 4388,3144,2961
54: 3418,136,1823
55: 4616,652,1475,2817,3550
56: 
57: 433,224,4601,1315
58: 3645,1461,3787,4714,774,2995
59: 3458,2795,3252
60: 138,3511,4132,4012,2625,1628
61: 47,804,1621,995
62: 4681
63: 4412,1440,609,948,4812
64: 3545,2887,3018,1743,1526
65: 2035,235,3414,3677
66: 723,9,4548,4725,5043
67: 4473,4415,3585
68: 1072,1541,4658,919,2649
69: 1992,1406
70: 1301
71: 3394,4708,4801
72: 4151,1632,1372,2108
73: 4056,1621,3189
74: 3664,458,760
75: 2852,4759,1303,3061
76: 2954,3892,2984
77: 573,4538,2570,2015,3156
