0: 2732,2416,1232
1: 2873,2111,3228,2605
4450: 972,1337
4812: 2534,3589
4: 520,1666
5: 2865,2926,711,26,2206
6: 1784,2290,496,1026
4620: 3059,3561,1531
8: 4604,984,1512,162,985
9: 4589,344,2857,971,4668,1488
10: 540
11: 2282,1945,2920,4368
12: 653,3794,1555,1386,4234,1123
13: 4554,3626,4596,3959,2559,461
4608: 1257,2613,4486,3014
15: 2479,2779,2840,437,1303
16: 1661,3336,1184,358,4540
17: 1394,4789,2146,2493
18: 1412,2664,4726,2408,2199,2581,816
19: 1292,3778,90
20: 68,77,878,4554
21: 4459,270,3292,3139,2889
22: 4376,2301,2813
23: 1101,1843,3520,191
24: 1130
25: 1392,4600,3882
26: 1095,1851,711,3142,5,2206
27: 1135,2998
28: 1962,2406,1050
29: 
30: 4522,2042
31: 3402,54
32: 2880,2218,301,426
33: 3492,3601,4258
34: 1022,832,2508,2420,304
35: 
36: 4043,321,1981,1617
37: 3809,3901,4604
38: 2275,1395,1569,436,2719
39: 158
40: 173,1706,3734,4323,1145
41: 3710,818,2241,784
42: 388
4669: 2514,2551,755
44: 
45: 1672,625,142,2376
46: 2975
47: 4650,804,4793
48: 4093,1838,2531,890
49: 340,2151,4815
50: 2258,1278,1955,2111,1551
4776: 1869,1464,228
52: 2021,4235,1633,4659
53: 2351,904,3510,3801,3434,1888
54: 31,3905,4563
55: 2969,3299,3811,1806
56: 1004,3433
57: 1888,3623,904,1998
58: 3434,3173,2726
59: 815,3366,2984,3651,1348,823
60: 279
4539: 2686,3660
62: 738,1826,4294,1543
63: 1336,3969,1238
64: 1606,1588
65: 4333,2888,912,3186,1969
66: 2697,390,3231,282,3530,1844
67: 2592,2054,1434
68: 20,77,3492,4079,878
69: 4203,4693,2841,416
70: 1761
71: 3527,3236,4517,875
72: 164,3359,883
73: 3672,2802,4523
74: 
75: 598,4180,3573,1567
76: 2878,358,4540,3209
77: 68,20,3492
78: 1555,3470,1608
79: 1430,3701,3713,2022
80: 2757,1260,3989,225,2991
81: 1578
82: 2149,695,3852
83: 4417,2328
84: 1774,312,2242,1938
85: 1432,2443,510,4154
86: 197,2173,2045,3424,3053
87: 2913,4722,4171
88: 3282,3662
89: 1522,4006,4386
90: 790,19,3778
4821: 168,1883,607,2142,4095,1126
4616: 3315,4193
93: 
94: 3900,4236
95: 4695,1696,1630
96: 4247
97: 3796,2122
98: 1065,2869,4151,4434,2986
99: 2298,1539,244,365
100: 2401,2660,1176,4625,3195
101: 254
102: 4760,4797,2001,2503
103: 963,3181
104: 4354,4408,1071
105: 353,2418,4340,4718
106: 3260,1717
107: 3360,2780,3185,4241,2603
4768: 3799,4397
109: 768,3439
110: 4323,2918,1008,975
111: 1207,2749
112: 1947,4543
113: 2165,4262
114: 3529,202,1157
115: 274,4483
4662: 2690,1003,898,3906,3446
117: 2432
118: 4761
119: 3815,2602,331
120: 2023,3998,187
121: 3492,4079,2013,4036
122: 
4455: 290,3756,791,2101,1742,584
124: 4381,2857,528
125: 1533,1454,2218
126: 1911,2524
127: 3728,723,640,1448
128: 776
129: 
130: 2030,1894,1729
131: 2872,2629,942,664,632
132: 3409,2095
133: 4427,4148,2389
134: 4587,4691,3816,3294,3966,2961
4665: 3786,4198,3233,4536,2672
136: 936,2819,658,4121,1859
137: 1716
138: 1160,849,1384,184
139: 
140: 4176,1698
141: 3409,1659,2095,4259,2875
142: 3740,2376,4186,4119,625,45
143: 1453,2001,746,4318
144: 1067,1373,3144
145: 2341,3537,4484
4802: 1452,3226,1193,641,3433
147: 3960,1416
148: 3295,2025
4787: 3903,1320,2369,1986,2188
150: 1933,349,4103,2959
151: 251
152: 2321,2702,4797,2001
153: 4161,2280,3534,1788,871,1346
4449: 1137,4098,4782
155: 913,1288,2329,785
