0: 3912,1177
1: 2673,3288,2716,635
2: 1478
3: 3566,3238
4821: 2484,3047,668,1637,3297
5: 3677,1515,968,3881,843
6: 906,420,1726,724,3915,2312
7: 3666
8: 2162,3472,3437,1297
4728: 2189,1606,1550,900
4688: 648,225,1920
11: 2571,3068,3273
12: 263,2646,4228,1762,725,3287
13: 739,4398,2627,1319,2350
14: 2856,4309,489,4461
15: 3012,3996,3849,422,1969,757
16: 2043
17: 2882
18: 3139,108,438,2599,1079
19: 2446,79
20: 1878,2392,3714,2272,4384
21: 530,2015,4121,4626
22: 4276,2761,3066
23: 2525
24: 2219,1126
25: 1567,2720,1145,333
26: 1145,4360,3111,1567,3268
27: 1458
28: 4462,795,2044,2623,1440
29: 3765,2434
30: 804
31: 4768,1601,3091,2900
4419: 4760,3541,457
33: 4217,2311,1771,2493,3545
34: 1119,2168,3844,733
4478: 1233,4248
36: 990,3725,3584
37: 
38: 2019
39: 1498,3675,858
40: 4551,127,399,4531,3009,4640
41: 3015,1196,4016,2866,2795
42: 2454
43: 3519,3096
44: 910
45: 
46: 1566
47: 680,2366,4115
48: 2465,3620,3560,541
49: 4724,177,3087,2714
50: 4222,518,1845
4657: 2130,558,4324,3416
52: 245,823,4348
53: 1620,3476,908,166
4638: 3742,3778
4711: 2452,3437,4799,1628
56: 4328,1132
57: 643,1515,968,3839
58: 4637,1775,4750,3756,1805
59: 1099,3478
60: 
61: 
62: 1596,1064,1916
63: 657,3931,237,3464,624
64: 867,4302,3788,193,1711
4324: 864,558,4657,3416
66: 459,4740
4608: 4402,4291,2223,2019,296
4318: 2735,1315,2185,1591
4666: 1358
70: 651
71: 4236,75,3278,1935,1513,4009
72: 3016,294,3353
73: 2176,756
74: 3696
75: 4180,71,4236,3453,2086
76: 3460
77: 4660,4308
78: 2923
79: 1725,1631,19
80: 2323,4579
81: 3670,3596,3124
82: 4703,1841,4496,1955,3781,2373
83: 339,3045,245
84: 
85: 3558,2089,1190
86: 2146,2026,4073
87: 674,179
88: 
89: 3832,4263,3164,436,2836,2822
90: 3696,2389
91: 1241,1713,4726
92: 4027,2654,3891
93: 2689,1273
4631: 398,1910
95: 1617,1537,3445,2909
96: 4091,3007,4773
97: 1237
98: 4434,3800,3646,3858
99: 518,2066,4481,3149,479
100: 3793,1747,173,255,446
101: 4155,545,1916
102: 3182,3144,1243
103: 886,3988,862,1004
104: 
105: 3387,3308,3360
4346: 943,1642,326,3332,3855,2596,3564
107: 2698,588,3101,1919
108: 18,438,3836
109: 113,1895,2970,2850,2956
110: 2359,1200,3102,200,3785
111: 1558,177,4199,219
112: 119,2252,2396
113: 2844,109,1895,2956
114: 
115: 
116: 1309,513,3236
4503: 4644,3647,2368,4409
118: 359,641,2060
119: 112,4301,2278
120: 3407,1798,2740
121: 854,1454,2603,3626
122: 3661,2306,3957
4733: 4102,1289,3975,1532
124: 4789,3640,4102
125: 4000,3520,4816,4564
126: 4361
127: 40,399,4640
128: 2071,863,4034,707
129: 3776
130: 2708
131: 1227,2133,663
132: 4581
133: 2724
134: 3710,202,3801,3209,715
4566: 4261,4690
136: 2552,4093,1705,1056,379
137: 1772
138: 2707,3663,772
139: 
4640: 1957,3009,40,127,4041
141: 3422,2602,1582,2620,3100,1082
4410: 4819,4679,323
4368: 2190,3769,1599,4659
144: 4505,927,901,931
145: 4281
146: 2238,488
147: 
148: 1057
149: 899,2602,1582,4812
150: 4046,3382,4119
151: 1469,1091,4560
152: 3260,4013,2385
153: 221,2391,2712,4238,263,4228
154: 815,1320,4456,3606
155: 2749,678,1067,4540,3071
4701: 4678,905,175
157: 438,704,3878,4447,3682,319
158: 1404,400,1817,3841
159: 2154,3515,1429
160: 1410,1971,2474,2264,2544,2859
161: 3199,2582,2578,1243
162: 531,559,2665,3323
163: 3055,2471,213,2310,2364,1393
