0: 1882,3908
221: 4010,4339,244,4178,215
222: 4435,472,3378
223: 3392,4043,2785,4820,1398
224: 3681,1488,2726,3199,4601
225: 3735,2214
226: 2765,2905,814
227: 2191,4948,1348,2164
228: 3073,4111,2793,2186,3050
229: 1750,3262,4071,729
230: 3718,1727,2519,4479
231: 2491,2467,4145,159
232: 3196,1409,1996,2673,3455,597
233: 781,2910,4298
234: 1260,1546,2304,4644,1203,1664
235: 4337,3505,2326,1433
236: 3742,3399,3145
237: 2530,4801,2841,2342,4359
238: 4401,1814
239: 3766,904,580,528,1319
240: 1333
241: 4330,3410,2410,1401
242: 257,3335,4283,4445,4697
243: 1917,1949,2120,4073,1595
244: 4339,221,1496,2327,2508
245: 2447,3529,2583,3526
246: 1375,3451,3468,1247,2568
247: 1855,604,2311,3941
248: 3192,1298,1852,4565,4245
249: 790,2891
250: 2907,1833
251: 3137,1302,3306,2170,3207
252: 594,4491,3449,3770
253: 2144,4341
254: 2614,2654,2738,3334,2109,4146,2353
255: 1189,1266,2310,518,213
256: 4204,3628,1774
257: 242,4785,4697,4617
258: 4374,1093,3933,4061,709
259: 
260: 
261: 1135,780
262: 3205,445,3753,3688
263: 2581,2277,1608,2048,1704
264: 3398,870,691,1635
265: 549,4795,4597,4629,387,4685
266: 37,1274,2183
267: 2222,43
268: 1642,1255,1618,1518,2076
269: 1074,3951,4587,2035,349,1448,3923
270: 4698,1218,2256,3357,4383
271: 1657,4634,4444
272: 3446,4788,620
273: 1094,2244,3457
274: 3092,2238,667
275: 3281,682
276: 1785,2159
277: 4097,2248
278: 213,826,1118,2216,975,3993
279: 955,3862,2957,1353
280: 698,976,3907,3589,3680
281: 87,2668
282: 1161,4221,9,3979,528,4929
283: 1156,582,3851,4561,1160
284: 4284,437,4421,4517
285: 4186,2977,3533,3770
286: 3134,2379,2909
287: 2546,206,2388,337
288: 
289: 1257,3759,1909,4670,2512,3185,2613
290: 1616,3550,3290,1240,4102,4659,653,511
291: 2302,1105
292: 4534,2115,2052,58,1620,3816,4451
293: 2975,4511
294: 1993,153,3807,2928,2715
295: 1137,533,3627,2407,3008
296: 4001,3924
297: 3227,2272,4219,4459,2607
298: 3160,1984,3269,3982,2768
299: 3695,2972,4568,1521
300: 2543,1806,2174,2146,3545
301: 1621,4166,3289,1430,2112
302: 3572,1208,1692,197
303: 469,2537,2369,646,3919
304: 2730,1419,4450,3571,4710,1067,1856
305: 1153,3906,941,141
306: 3952,4307,2684,2661
307: 3911,1373,568,795,474
308: 4598,2151,2161,4639
309: 1033,4461,426,703,611
310: 4291,1530,1607,2250,3461,4008
311: 2284,3860,2204
312: 95
313: 3381,2956,909
314: 1486,3856,181,3370,1330
315: 988,952,2120,2595,2358,1932,882
316: 3283,583,4593,4211,2488,3297
317: 1712,1084,3756,576,4567,1534
318: 3588
319: 2664,1072,3959,1086
320: 1890,2255,1379,3489
321: 2234,3698,2513,666
322: 4251,3515,1429,1481,954,339
323: 2780,2682,1928,4585
324: 1098,869
325: 3998,4798,3790
326: 3250,567,4408
327: 2538,1142
328: 3965,2784,3561,3063
329: 1415,3662,2651,3387
330: 526,3122
331: 4550,1915,1304,2987
332: 3844,4369,21,2245
333: 2326,2411,3263,216,4708
334: 163,3079,2889,2813,978,1031,4218
335: 2405,1204,623,2665
336: 2683,3393,4376
337: 3634,4021,287
338: 4015,2559,2871,708,1275
339: 823,954,2756,4251,322,2132,1485
340: 2090,4639
341: 617,3215,4537
342: 4395,492,4296,3620,2701
343: 4205,3843,3648,3865
344: 4945,1534,3095,1762,1084,3559,3728
345: 4330,3812,2709,2471,1401,3905
346: 2623,2215,3241,1970,4621
347: 2134,932,2517,496,4775,831
348: 1182,2387,4543,899
349: 3645,4201,2035,1205,269,3923
350: 2304,2149,2368,2991,1611
351: 3304,3400,650
352: 738,3384,1294,444,1982
353: 4171
354: 2746,1139,3218
355: 4753,4206,2705,2299,3493
356: 3735,2740,578,3426,1088
357: 968,4223,3012,1933
358: 3754,1620,679,3497,2722,2052
359: 2082,1358
360: 4076,704,3690
361: 2575,4379
362: 1817,3364,4581,1531
363: 4677,4279,1848,764,3434
364: 633,390,3333,4571,414
365: 729,3395,4686,4252,167
366: 1440,81,734,2484
367: 2058,1081,833
368: 1100,2685,4762,1447
369: 3344,1314,4692,2461
370: 1865,960,1282
371: 1665,2123,126
372: 2420,3468,4723,1789,4663,3523
373: 3227,2272,2941,4162,475
374: 1951,4783,1311,4650
375: 2451,1970,4634,4476,3980
376: 2134,2796,932,2118
377: 
378: 3978,4688,4441,67,1946
379: 2921,4796,2379,3398,1934
380: 3816,3499,4451,417,3349
381: 137,4411
382: 4200,1242
383: 449,4817,4136,3647
384: 3491,4788,2149,4480
385: 102,2680,143,1816
386: 2791
387: 4685,3749,265,549,3922
388: 798
389: 2190,4635,4427,219,2090
390: 364,633,2293,4571,917,4258
391: 4696,2930,3573,675,1766
392: 2132,1485,4535,1451,849
393: 636,3275,1887,1714,1117
394: 1599,4347,2177,4568,2682,1129
395: 1309,718,1939,2473,1050,1703
396: 4067,120,2414
397: 1929,2385,2984,3361,1320
398: 3309,430,4814
399: 2599,725,1119,1619,1069,692
400: 4620
401: 3046,4778,47,4461
402: 2495,2770
403: 561,3745,1362,3558
404: 157,3734,3793,931
405: 1804,2504
406: 3854,1916,3351,4701,1895,4305,3403
407: 4756,2325,1959,3700,2156,2873
408: 777,4348,1846,2514,2704,1653
409: 4324
410: 3680,976,3761,1602
411: 1010,3051,647,2369,1488
412: 4033,2873,2692,4716
413: 4641,2942,1765,1601,4374
414: 4965,419,364,633,4633
415: 3191,2552,2003,3471,4626
416: 765,625,2025
417: 4834,3476,380,3349,1284,593
418: 4324
419: 414,2125,3333,2178,123
420: 1626,3631
421: 3138,4178,4125,215,3715
422: 4821,4462,2748,2915,2609,2566,503
423: 1355,4026
424: 1849,4992,3525,3328,3379,4036,438
425: 4372,109,2405,2665
426: 756,309,703,3713
427: 97,2128,4485
428: 1484,4263,4773
429: 2004,2660,3267,2419
430: 1144,1217,398,3309,4814
431: 3824,4017,3625,714,2105,1253
432: 1209,3712,4187,1736,845
433: 2635,1695,4027,2339,2537
434: 873,1024,4039,3458,76,3892
435: 460,3091,2980,992,3019,1912
436: 3690,2952,2828
437: 4421,4682,875,3322,284,1781,1461
438: 3496,1819,123,4036,424,4992,3525
439: 2775,634,4262
440: 794,4498,3663,3957
441: 1004,2389,1529,4684,3549
442: 1592,1208,4478,139,1192
443: 4777,1497
444: 1294,1486,2357,352
445: 262,1876,3598,3688,3330
446: 1119,1388,1619,1029
447: 2833,4583,2963,156,2903
448: 4275,3040,3270,4477
449: 1872,383,4817,872,1470
450: 3419,3368,3172
451: 832,2206,1319,4589,3766,935
452: 4,3703,619
453: 2306,2459,1141,3252,3209
454: 1527,3295,4592
455: 4805,584,2155,4469,4149
456: 1840,3734,1747,4252
4978: 3559,3977
458: 2085,4404,601,4225
459: 4238,4952,4416,3878,4112,2313,4144
460: 2171,435,3091,3125,3019
461: 4198,4709,3886,3612,933,1165
462: 2862,4168
463: 
464: 4354
465: 4676,2162
466: 907,3241,3180,2370,4621,1655
467: 2993,2338,1634,2777,3052
