0: 3577,4371,739,2865
1: 3540,3277,2345,3916
2: 3089
3: 571,3099
4: 266,3634
5: 1972,1620
6: 1128
7: 3912,2557,241,2349
8: 1776
9: 3252,2212,3979,1449,1906
10: 4141,4535
11: 1230,3068,1822,4308
12: 4805,2600,3169,1895,1240,4390,4102
13: 4667,1257,436,2871,2336,2761
14: 4405,837,3514,2204
15: 1791,1991,3107,4795
16: 1726,1391
17: 664,3250,1683,738
18: 1819,2125,4163,1395
19: 3242,3289,3705,2559
4334: 4351,1112,4680,1780,1228
4820: 592,995,4352,3029,73
22: 3968,4596,3830
23: 4816
24: 512,348
25: 594,1877,2746,2411
26: 2526,2771,3938,4369
4624: 4550,505,3486,3368
4800: 2742,4267,2295,2036
29: 
30: 4115,3399
31: 770,2061,1617
32: 4404,2085,2487
33: 917,1045,3374,816,3470,3266,494
4767: 1037,2321,1332,4770,1026
35: 4794,3001,1839
36: 4225,1533,3799
37: 4387,2173,3381
38: 2098,3959
39: 
40: 58,3071,1972,3608,3583,1284
41: 1297,2751,2949
42: 1224,3978,4287
43: 759
44: 1233
45: 2781,745
46: 394,835,603,4722
4592: 645,831,1525
48: 3626,1981,4093,1499
49: 750,473,1632,3405
50: 518,839
51: 
4591: 632,446,1712,3200,317
53: 134,3209,4209
4341: 4381,1518,4221,3756,1288
55: 4803,1112,726
56: 
57: 3758,1436,1528,3497,3322,529
58: 3339,3071,40,4116,1972
59: 2398,3034
60: 2295,1796,2036
61: 1953
62: 1984,2699,117,1773
4773: 4526,4619,3669,3674,732
64: 4109,2595,623
65: 1862,3839,4518
66: 3314,4637,4209,2306
67: 2111,4181,1798,1402
68: 1884,3759,1450,4739,4118
69: 1659,3879,4634,4106,643
70: 3961
71: 1373,4223,3986,3677
4380: 2513
73: 3029,4820
74: 592,523,4776
75: 4065,740
76: 3137,2578
4668: 868,2722,1376,2280,4586,3923
4721: 1964,963
79: 1342,805
80: 149
4609: 606,3604,366,1660,4142
82: 4593,3426,271,4707,4503
83: 3526
84: 4264
85: 1925,2258,407,2659,3639,4804,4577
86: 1216,4774,4408,1945,2257
87: 291
88: 854,3629,1662,2436,3255,2824
89: 2736,4196,4391,2958
90: 1964,963
4709: 4559,4239,2596,4055
92: 2432,3168,2273
93: 435,753,2701,1360
94: 3441,934
95: 3123
96: 
4640: 198,3582,1567
98: 2115,1741
99: 1993,1016,1198,3800,939,1600
100: 1733,4562,2284,4440
101: 2773,3259,2293
4468: 1320,1399,3753
103: 3194,1820,4819
104: 
105: 3587,3648
106: 1790,2367,1154
107: 685,289,2013
108: 3897,4538,1871,3636
109: 4387,959,2588
110: 2126,493,3297,365
111: 3854,1482,4308,344,3428
112: 2285,3633,4286,1363,2933,1578
113: 2000,4701,352,3273,3269
114: 1759
115: 
116: 1197,4119
117: 2020,2699,1330,62
118: 1830,951
119: 3684,4716,4194,398
120: 4452,3326
121: 4352,2288,523,1705
122: 3720,791,152,4781
123: 3285,4401,3108,3225
4365: 1709,1400
125: 3842,4768,1011,4741,4622
126: 4652,612
4652: 238,126
128: 248,4026
129: 4546,721
130: 3532,2141,4422,3148,3131
4811: 3062,396,2586
132: 
133: 243
134: 53,671,3460
135: 3855,3836,943,3975
136: 2018,3713,2333
137: 3022,483
138: 434,2992
139: 
140: 2114,2452,4469,1914
141: 203,2221,3462,2315
4661: 1107,1129
143: 1556,2203,1351,182
144: 3669,1262,1145,4263
145: 717,2032,4508
146: 662,3880
147: 4124,3963
148: 2708
149: 1908,80,2107
150: 2706,4325,4318,4289,3243
151: 797
152: 3318,1805,2402,122
153: 1879,2697
154: 4026,4012,4396
155: 3209,4209,2306,2770
4683: 4607,4720,2165,1054
157: 1794,1957,3755,1063,292
158: 
159: 3015,1462,1160
160: 3051,1205,1563
161: 718,894,2342,961
4511: 
163: 769,2419,4188,1079
164: 3729,2380
165: 1329,264,2439
166: 2636,4637,1783,1127
167: 4700,4496,2804,1706
168: 2966,1839,4129
169: 3652,3688
170: 182,1352,707
171: 999,2248,4317
172: 4577,1434,2723,2002
173: 2918
174: 3105,2820,2540,3583,3737
175: 3869,1477,3101,1514
176: 
177: 4280,1034,4475,1354
178: 
179: 1244,661
180: 
181: 3240
182: 170,143,707
183: 1998,3042,1076,4003,3232
184: 1173
185: 1901,2236
186: 2145,2807,1334,792
4776: 672,3448,2022,74,995
188: 365,4360,3771,2216
4684: 3696,3036
190: 3727,618,3370,3697
191: 3402,644
192: 4500,1812
193: 4105
194: 
195: 3555,2025,718,894
196: 3984,2945,542
197: 
198: 3347,4640,3582,4207,956
199: 1108
200: 588,1475,3878,1388
201: 4404,3549
202: 2341,2481,4413,3563,3307
203: 141,2221
4598: 3305,3929
205: 3032,3739,2900
206: 2281
4405: 14,2204,3732,3331
208: 1847
209: 1025,4257
210: 565,1223,4134
211: 
212: 4775,3581,284,1487
213: 4371,739,2813,2823
214: 1888,4048,4451,3499,4101
4651: 843,3936,3188,3464
4483: 4114,2244
217: 2535,4252,677,1022,3754
218: 2625
219: 4139,2682,323,3343
220: 1601
221: 4616,3881,677
222: 862,4052,1439,249
223: 228,4063,338,489
224: 1296,3002,2582,4790
225: 1735,383,3422,356
4606: 3907,771
227: 1028,742,1618,3447
228: 4583,2761,223,338
229: 3471,2627,2229,2277,1919
230: 4392,1370,2737,4474
231: 
232: 4344,4276,1411,1133,4822
233: 
234: 3180,1404,274
235: 4685,4750,1030
236: 2234,2634,1724
237: 2025,2989,284,3996,4775
238: 4652
239: 1375,3102,2298,2230
240: 
241: 431,7,2349
242: 1484,3017,4584,1678
243: 4340,1921,133
244: 2229,3822,1919,4272
4512: 2022,4435,3448
246: 1405,3667,1397,1211
4790: 1756,480,1296,224
248: 128,776
249: 1439,222
250: 2534,624,3890
251: 480,1279,2582,1209
252: 273,1309,3174
253: 1261,2282,1064,4354
254: 3617,1745,3203,3020,1425
255: 2072,1750
256: 3625
257: 564,4344,1959
258: 3292,2883,3905,1609
259: 1665,1495,4423
260: 2349,2684
261: 413,2681
262: 3521,1283
263: 2787,4332,1616,2497,2969
264: 992,165
265: 3175,987,3689,2841,2001
266: 4,2768,3851
4734: 1211,956
4538: 3897,108,573
269: 2979,2914,1674,2796
270: 2401,1008,3227,530
271: 4091,82,3426,4503
272: 4062,422,4481,1005
273: 252,1723,4277,1309
274: 4138,443,1404,234
275: 834,410
276: 985,2507
277: 2418,3026
278: 2301
4654: 841,2965,2177
280: 4491,341
281: 4635,3580,2558
282: 2495,2744,3681,417,610,3609
283: 3851,3385
284: 3581,896,4775,212,237
285: 4657,4041,3571,2730
286: 
287: 3517,3805,4092
4491: 280,2718
289: 685,107,4280,319,1060,2013
290: 3982,4055,1651,3974,4416
291: 87,4171
292: 3438,1503,157,2959
293: 1758,1707
294: 4094,1510,3976,1895
295: 441,1937,981,2890
296: 1422,4747,1605,3242,3289
297: 2853,2885
4582: 1671,1306,3348,4692
