,viability,Viability.1,Viability.2
0,100,100,100
1,98.2271831910702,98.2444590739522,98.2271831910703
2,98.5674025364021,98.5674025364021,98.2481060606061
3,98.4810126582278,98.459595959596,98.793944059533
4,98.5391400220507,98.3664579362919,98.5391400220507
5,98.6342042755345,98.3352803738318,98.6342042755345
6,98.7106918238993,98.53125,98.7681617182565
7,98.3811129848229,98.4212294255962,98.335597826087
8,98.989898989899,98.9902632527948,98.5823336968375
9,98.8026264967169,98.9583333333333,98.0911569925984
10,98.5944605208764,98.5944605208764,98.3256592716618
11,99.989898989899,99.989898989899,98.9634970707526
12,98.6641221374046,98.3809523809524,98.695652173913
13,98.3631713554987,98.3631713554987,99.2734820965231
14,100,100,100
15,98.2444590739522,98.2444590739522,98.2444590739522
16,98.5674025364021,98.5674025364021,98.5674025364021
17,98.459595959596,98.459595959596,98.459595959596
18,98.3664579362919,98.3664579362919,98.3664579362919
19,98.3352803738318,98.3352803738318,98.3352803738318
20,98.53125,98.53125,98.53125
21,98.4212294255962,98.4212294255962,98.4212294255962
22,98.9902632527948,98.9902632527948,98.9902632527948
23,98.9583333333333,98.9583333333333,98.9583333333333
24,98.5944605208764,98.5944605208764,98.5944605208764
25,98.75,98.75,98.75
26,98.3809523809524,98.3809523809524,98.3809523809524
27,98.3631713554987,98.3631713554987,98.3631713554987
28,100,100,100
29,98.2271831910703,98.2271831910703,98.2271831910703
30,98.2481060606061,98.2481060606061,98.2481060606061
31,98.793944059533,98.793944059533,98.793944059533
32,98.5391400220507,98.5391400220507,98.5391400220507
33,98.6342042755345,98.6342042755345,98.6342042755345
34,98.7681617182565,98.7681617182565,98.7681617182565
35,98.335597826087,98.335597826087,98.335597826087
36,98.5823336968375,98.5823336968375,98.5823336968375
37,98.0911569925984,98.0911569925984,98.0911569925984
38,98.3256592716618,98.3256592716618,98.3256592716618
39,98.9634970707526,98.9634970707526,98.9634970707526
40,98.695652173913,98.695652173913,98.695652173913
41,99.2734820965231,99.2734820965231,99.2734820965231
42,100,100,100
43,98.2444590739522,98.2444590739522,98.2444590739522
44,98.5674025364021,98.5674025364021,98.5674025364021
45,98.459595959596,98.459595959596,98.459595959596
46,98.3664579362919,98.3664579362919,98.3664579362919
47,98.3352803738318,98.3352803738318,98.3352803738318
